,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1820,8,-2.339,2.117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1820,9,-0.909,2.132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1820,10,-2.312,2.528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1820,11,-1.993,2.182,-0.459,0.884,NaN,NaN,NaN,NaN,NaN,NaN
4,1820,12,-2.528,2.524,-0.632,0.821,NaN,NaN,NaN,NaN,NaN,NaN
5,1821,1,1.386,2.312,-0.709,0.815,NaN,NaN,NaN,NaN,NaN,NaN
6,1821,2,3.230,3.778,-0.578,0.831,NaN,NaN,NaN,NaN,NaN,NaN
7,1821,3,0.989,2.624,-0.701,0.847,NaN,NaN,NaN,NaN,NaN,NaN
8,1821,4,-0.066,2.216,-0.668,0.909,NaN,NaN,NaN,NaN,NaN,NaN
9,1821,5,-0.396,2.282,-0.568,0.957,NaN,NaN,NaN,NaN,NaN,NaN
10,1821,6,-2.442,2.716,-0.453,0.968,NaN,NaN,NaN,NaN,NaN,NaN
11,1821,7,-1.127,2.317,-0.718,0.936,NaN,NaN,NaN,NaN,NaN,NaN
12,1821,8,-0.774,2.288,-0.874,0.871,NaN,NaN,NaN,NaN,NaN,NaN
13,1821,9,-2.381,2.467,-0.689,0.866,NaN,NaN,NaN,NaN,NaN,NaN
14,1821,10,-1.909,2.228,-0.651,0.881,NaN,NaN,NaN,NaN,NaN,NaN
15,1821,11,-0.797,2.755,-0.663,0.884,NaN,NaN,NaN,NaN,NaN,NaN
16,1821,12,-1.148,2.292,-0.544,0.927,NaN,NaN,NaN,NaN,NaN,NaN
17,1822,1,-1.799,2.886,-0.469,0.943,NaN,NaN,NaN,NaN,NaN,NaN
18,1822,2,1.362,2.153,-0.498,0.913,NaN,NaN,NaN,NaN,NaN,NaN
19,1822,3,3.207,2.892,-0.425,0.850,NaN,NaN,NaN,NaN,NaN,NaN
20,1822,4,0.390,2.563,-0.400,0.833,-0.756,0.456,NaN,NaN,NaN,NaN
21,1822,5,-0.533,2.071,-0.489,0.804,-0.743,0.461,NaN,NaN,NaN,NaN
22,1822,6,-1.024,2.178,-0.629,0.822,-0.676,0.474,NaN,NaN,NaN,NaN
23,1822,7,-0.223,2.127,-0.633,0.802,-0.603,0.496,NaN,NaN,NaN,NaN
24,1822,8,-1.119,2.102,-0.781,0.826,-0.601,0.504,NaN,NaN,NaN,NaN
25,1822,9,-1.501,2.530,-1.117,0.915,-0.607,0.492,NaN,NaN,NaN,NaN
26,1822,10,-1.616,2.304,-1.232,1.053,-0.619,0.487,NaN,NaN,NaN,NaN
27,1822,11,-1.862,2.412,-1.281,1.145,-0.619,0.484,NaN,NaN,NaN,NaN
28,1822,12,-2.825,2.525,-1.230,1.139,-0.606,0.488,NaN,NaN,NaN,NaN
29,1823,1,-1.853,2.369,-1.195,1.154,-0.630,0.481,NaN,NaN,NaN,NaN
30,1823,2,-0.416,2.752,-1.230,1.156,-0.623,0.477,NaN,NaN,NaN,NaN
31,1823,3,-0.826,2.802,-1.265,1.056,-0.632,0.481,NaN,NaN,NaN,NaN
32,1823,4,-0.986,3.025,-1.331,1.094,-0.616,0.498,NaN,NaN,NaN,NaN
33,1823,5,-1.125,2.551,-1.230,1.045,-0.572,0.503,NaN,NaN,NaN,NaN
34,1823,6,-0.408,2.380,-1.162,0.958,-0.552,0.496,NaN,NaN,NaN,NaN
35,1823,7,0.198,2.130,-1.025,0.965,-0.598,0.490,NaN,NaN,NaN,NaN
36,1823,8,-1.535,2.087,-0.912,0.987,-0.678,0.473,NaN,NaN,NaN,NaN
37,1823,9,-1.930,2.412,-0.823,0.926,-0.713,0.461,NaN,NaN,NaN,NaN
38,1823,10,-2.407,2.390,-0.679,0.876,-0.713,0.453,NaN,NaN,NaN,NaN
39,1823,11,-0.646,2.488,-0.548,0.887,-0.698,0.454,NaN,NaN,NaN,NaN
40,1823,12,-2.008,2.889,-0.561,0.867,-0.652,0.463,NaN,NaN,NaN,NaN
41,1824,1,-0.213,2.489,-0.577,0.886,-0.632,0.463,NaN,NaN,NaN,NaN
42,1824,2,0.943,2.956,-0.543,0.884,-0.643,0.460,NaN,NaN,NaN,NaN
43,1824,3,0.236,2.496,-0.476,0.897,-0.623,0.459,-0.594,0.353,NaN,NaN
44,1824,4,0.751,2.605,-0.393,0.918,-0.604,0.463,-0.591,0.349,NaN,NaN
45,1824,5,0.444,2.396,-0.352,0.892,-0.584,0.463,-0.593,0.350,NaN,NaN
46,1824,6,-0.565,2.863,-0.016,0.958,-0.551,0.457,-0.597,0.349,NaN,NaN
47,1824,7,0.009,2.566,0.084,1.007,-0.512,0.451,-0.588,0.350,NaN,NaN
48,1824,8,-1.135,2.249,-0.012,0.963,-0.508,0.456,-0.589,0.349,NaN,NaN
49,1824,9,-1.122,2.383,-0.105,0.933,-0.535,0.454,-0.600,0.346,NaN,NaN
50,1824,10,-1.410,2.276,-0.145,0.912,-0.534,0.445,-0.598,0.347,NaN,NaN
51,1824,11,-0.157,2.422,-0.143,0.888,-0.515,0.445,-0.590,0.350,NaN,NaN
52,1824,12,2.019,2.665,-0.065,0.902,-0.487,0.446,-0.574,0.355,NaN,NaN
53,1825,1,0.989,3.081,-0.198,0.879,-0.471,0.447,-0.531,0.366,NaN,NaN
54,1825,2,-0.209,2.192,-0.264,0.878,-0.469,0.450,-0.507,0.375,NaN,NaN
55,1825,3,-0.872,2.310,-0.292,0.884,-0.459,0.448,-0.512,0.369,NaN,NaN
56,1825,4,0.269,2.394,-0.290,0.883,-0.445,0.446,-0.523,0.368,NaN,NaN
