,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1750,1,-1.512,2.635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1750,2,-1.390,2.396,-0.802,1.109,NaN,NaN,NaN,NaN,NaN,NaN
2,1750,3,NaN,NaN,-0.794,1.138,NaN,NaN,NaN,NaN,NaN,NaN
3,1750,4,0.268,2.047,-0.731,1.157,NaN,NaN,NaN,NaN,NaN,NaN
4,1750,5,-1.810,2.127,-0.940,1.236,NaN,NaN,NaN,NaN,NaN,NaN
5,1750,6,-0.141,2.144,-0.913,1.255,NaN,NaN,NaN,NaN,NaN,NaN
6,1750,7,0.290,2.988,-0.965,1.298,NaN,NaN,NaN,NaN,NaN,NaN
7,1750,8,0.334,2.666,-1.120,1.268,NaN,NaN,NaN,NaN,NaN,NaN
8,1750,9,NaN,NaN,-1.160,1.271,NaN,NaN,NaN,NaN,NaN,NaN
9,1750,10,-0.769,2.150,-1.326,1.299,NaN,NaN,NaN,NaN,NaN,NaN
10,1750,11,-3.998,2.363,-1.262,1.254,NaN,NaN,NaN,NaN,NaN,NaN
11,1750,12,-3.058,2.867,-1.328,1.269,NaN,NaN,NaN,NaN,NaN,NaN
12,1751,1,-2.133,2.973,-1.240,1.248,NaN,NaN,NaN,NaN,NaN,NaN
13,1751,2,-3.255,2.017,-1.208,1.257,NaN,NaN,NaN,NaN,NaN,NaN
14,1751,3,0.922,2.112,-1.185,1.247,NaN,NaN,NaN,NaN,NaN,NaN
15,1751,4,-1.729,2.049,-1.230,1.842,NaN,NaN,NaN,NaN,NaN,NaN
16,1751,5,-1.043,2.008,-1.205,2.078,NaN,NaN,NaN,NaN,NaN,NaN
17,1751,6,-0.930,2.376,-1.184,0.847,NaN,NaN,NaN,NaN,NaN,NaN
18,1751,7,1.342,1.942,-1.172,0.874,NaN,NaN,NaN,NaN,NaN,NaN
19,1751,8,0.725,2.870,-0.788,0.816,NaN,NaN,NaN,NaN,NaN,NaN
20,1751,9,-0.292,2.358,-0.839,0.806,NaN,NaN,NaN,NaN,NaN,NaN
21,1751,10,-1.315,8.310,-0.800,0.818,NaN,NaN,NaN,NaN,NaN,NaN
22,1751,11,-3.691,4.491,-0.773,0.784,NaN,NaN,NaN,NaN,NaN,NaN
23,1751,12,-2.804,1.899,-0.577,0.725,NaN,NaN,NaN,NaN,NaN,NaN
24,1752,1,-1.990,2.190,-0.621,0.868,NaN,NaN,NaN,NaN,NaN,NaN
25,1752,2,1.348,1.924,-0.789,0.771,NaN,NaN,NaN,NaN,NaN,NaN
26,1752,3,0.313,2.352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1752,4,-1.257,2.710,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1752,5,-0.728,1.856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1752,6,1.425,1.803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1752,7,0.818,1.840,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1752,8,-1.295,1.893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1752,10,-0.385,2.546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
