,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1879,1,-1.150,1.449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1879,2,-0.996,1.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1879,3,-1.190,1.030,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1879,4,-1.117,1.009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1879,5,-0.179,0.888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1879,6,-0.404,1.025,-0.822,0.553,NaN,NaN,NaN,NaN,NaN,NaN
6,1879,7,-0.843,1.103,-0.894,0.557,NaN,NaN,NaN,NaN,NaN,NaN
7,1879,8,NaN,NaN,-0.975,0.574,NaN,NaN,NaN,NaN,NaN,NaN
8,1879,9,NaN,NaN,-1.025,0.617,NaN,NaN,NaN,NaN,NaN,NaN
9,1879,10,NaN,NaN,-1.083,0.656,NaN,NaN,NaN,NaN,NaN,NaN
10,1879,11,-1.102,1.036,-1.098,0.726,NaN,NaN,NaN,NaN,NaN,NaN
11,1879,12,-1.682,1.181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1880,1,-2.005,1.505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1880,2,-1.971,1.433,-1.069,0.762,NaN,NaN,NaN,NaN,NaN,NaN
14,1880,3,-1.795,1.461,-1.107,0.797,NaN,NaN,NaN,NaN,NaN,NaN
15,1880,4,-1.812,1.388,-1.113,0.799,NaN,NaN,NaN,NaN,NaN,NaN
16,1880,5,-0.359,1.625,-1.049,0.798,NaN,NaN,NaN,NaN,NaN,NaN
17,1880,6,NaN,NaN,-0.977,0.784,NaN,NaN,NaN,NaN,NaN,NaN
18,1880,7,-0.045,1.106,-0.879,0.794,-0.628,0.496,NaN,NaN,NaN,NaN
19,1880,8,-0.585,1.433,-0.776,0.774,-0.632,0.479,NaN,NaN,NaN,NaN
20,1880,9,-1.013,0.995,-0.726,0.791,-0.648,0.481,NaN,NaN,NaN,NaN
21,1880,10,-0.380,1.138,-0.702,0.842,-0.661,0.477,NaN,NaN,NaN,NaN
22,1880,11,-0.327,0.971,-0.747,0.829,-0.660,0.472,NaN,NaN,NaN,NaN
23,1880,12,-0.818,0.934,-0.799,0.887,-0.669,0.474,NaN,NaN,NaN,NaN
24,1881,1,-0.834,1.404,-0.934,1.026,-0.678,0.469,NaN,NaN,NaN,NaN
25,1881,2,-0.737,1.036,-0.927,1.060,-0.697,0.474,NaN,NaN,NaN,NaN
26,1881,3,-1.189,1.616,-0.859,1.083,-0.693,0.464,NaN,NaN,NaN,NaN
27,1881,4,-1.532,1.944,-0.818,1.051,-0.686,0.468,NaN,NaN,NaN,NaN
28,1881,5,-0.888,1.490,-0.832,0.974,-0.695,0.462,NaN,NaN,NaN,NaN
29,1881,6,-1.243,2.057,-0.758,0.879,-0.690,0.461,NaN,NaN,NaN,NaN
30,1881,7,-1.667,2.258,-0.647,0.783,-0.683,0.470,NaN,NaN,NaN,NaN
31,1881,8,-0.490,1.325,-0.528,0.680,-0.670,0.469,NaN,NaN,NaN,NaN
32,1881,9,-0.207,1.269,-0.498,0.656,-0.674,0.470,NaN,NaN,NaN,NaN
33,1881,10,0.112,0.825,-0.432,0.562,-0.670,0.468,-0.473,0.266,NaN,NaN
34,1881,11,-0.493,1.286,-0.398,0.536,-0.673,0.468,-0.473,0.267,NaN,NaN
35,1881,12,0.072,1.661,-0.350,0.481,-0.675,0.453,-0.466,0.267,NaN,NaN
36,1882,1,0.497,0.980,-0.268,0.424,-0.678,0.444,-0.471,0.268,NaN,NaN
37,1882,2,0.696,1.291,-0.242,0.412,-0.675,0.445,-0.471,0.267,NaN,NaN
38,1882,3,-0.837,1.733,-0.263,0.386,-0.682,0.446,-0.478,0.267,NaN,NaN
39,1882,4,-0.735,0.897,-0.368,0.394,-0.688,0.446,-0.471,0.261,NaN,NaN
40,1882,5,-0.477,0.975,-0.354,0.450,-0.685,0.440,-0.465,0.257,NaN,NaN
41,1882,6,-0.668,1.058,-0.418,0.573,-0.657,0.436,-0.470,0.257,NaN,NaN
42,1882,7,-0.691,0.975,-0.551,0.653,-0.633,0.425,-0.487,0.261,NaN,NaN
43,1882,8,-0.177,1.071,-0.612,0.684,-0.600,0.411,-0.499,0.260,NaN,NaN
44,1882,9,-0.460,0.847,-0.591,0.636,-0.583,0.399,-0.498,0.257,NaN,NaN
45,1882,10,-1.139,0.902,-0.555,0.595,-0.568,0.385,-0.503,0.255,NaN,NaN
46,1882,11,-0.332,1.120,-0.524,0.564,-0.565,0.352,-0.502,0.250,NaN,NaN
47,1882,12,-0.694,1.288,-0.481,0.511,-0.551,0.334,-0.502,0.251,NaN,NaN
48,1883,1,-1.093,1.260,-0.462,0.497,-0.540,0.322,-0.500,0.249,NaN,NaN
49,1883,2,-0.035,1.286,-0.541,0.474,-0.528,0.314,-0.502,0.244,NaN,NaN
50,1883,3,-0.594,1.255,-0.542,0.436,-0.513,0.313,-0.509,0.240,NaN,NaN
51,1883,4,-0.296,0.815,-0.476,0.424,-0.510,0.313,-0.519,0.239,NaN,NaN
52,1883,5,-0.103,0.798,-0.481,0.423,-0.511,0.315,-0.530,0.246,NaN,NaN
53,1883,6,-0.152,0.823,-0.476,0.395,-0.503,0.317,-0.540,0.252,NaN,NaN
54,1883,7,-0.463,0.890,-0.442,0.408,-0.499,0.316,-0.555,0.260,NaN,NaN
55,1883,8,-1.124,0.957,-0.462,0.404,-0.484,0.306,-0.557,0.261,NaN,NaN
56,1883,9,-0.478,1.039,-0.527,0.380,-0.474,0.302,-0.557,0.268,NaN,NaN
57,1883,10,-0.344,0.897,-0.577,0.378,-0.456,0.300,-0.552,0.268,NaN,NaN
58,1883,11,-0.394,1.024,-0.598,0.389,-0.424,0.299,-0.560,0.270,NaN,NaN
59,1883,12,-0.633,0.949,-0.632,0.391,-0.384,0.304,-0.557,0.268,NaN,NaN
60,1884,1,-0.692,1.320,-0.679,0.411,-0.350,0.320,-0.553,0.266,NaN,NaN
61,1884,2,-0.272,0.859,-0.597,0.409,-0.338,0.332,-0.542,0.267,NaN,NaN
62,1884,3,-1.371,0.883,-0.638,0.401,-0.336,0.334,-0.534,0.267,NaN,NaN
63,1884,4,-0.895,0.842,-0.664,0.405,-0.350,0.336,-0.525,0.267,-0.509,0.193
