,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1816,3,-0.805,2.059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1816,4,-1.230,2.844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1816,5,-0.456,1.920,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1816,6,-1.435,1.326,-1.659,0.881,NaN,NaN,NaN,NaN,NaN,NaN
4,1816,7,-1.910,1.796,-1.698,1.059,NaN,NaN,NaN,NaN,NaN,NaN
5,1816,8,-1.164,1.215,-1.444,1.064,NaN,NaN,NaN,NaN,NaN,NaN
6,1816,9,-2.170,1.493,-1.481,1.143,NaN,NaN,NaN,NaN,NaN,NaN
7,1816,10,-3.178,5.114,-1.402,1.140,NaN,NaN,NaN,NaN,NaN,NaN
8,1816,11,-2.290,5.976,-1.523,1.187,NaN,NaN,NaN,NaN,NaN,NaN
9,1816,12,-1.760,1.832,-1.627,1.170,NaN,NaN,NaN,NaN,NaN,NaN
10,1817,1,-0.540,4.151,-1.607,1.247,NaN,NaN,NaN,NaN,NaN,NaN
11,1817,2,-0.390,2.529,-1.577,1.214,NaN,NaN,NaN,NaN,NaN,NaN
12,1817,3,-1.244,2.269,-1.661,1.264,NaN,NaN,NaN,NaN,NaN,NaN
13,1817,4,-0.283,1.636,-1.594,1.088,NaN,NaN,NaN,NaN,NaN,NaN
14,1817,5,-1.917,1.764,-1.524,0.931,NaN,NaN,NaN,NaN,NaN,NaN
15,1817,6,-2.680,1.890,-1.551,0.977,-1.480,0.466,NaN,NaN,NaN,NaN
16,1817,7,-1.672,1.514,-1.554,0.934,-1.522,0.453,NaN,NaN,NaN,NaN
17,1817,8,-0.802,1.578,-1.641,1.023,-1.541,0.519,NaN,NaN,NaN,NaN
18,1817,9,-3.178,1.821,-1.584,1.019,-1.526,0.508,NaN,NaN,NaN,NaN
19,1817,10,-2.375,2.522,-1.540,0.887,-1.502,0.513,NaN,NaN,NaN,NaN
20,1817,11,-1.444,2.183,-1.392,0.775,-1.491,0.504,NaN,NaN,NaN,NaN
21,1817,12,-2.089,3.073,-1.229,0.822,-1.462,0.507,NaN,NaN,NaN,NaN
22,1818,1,-0.576,2.744,-1.205,0.873,-1.469,0.525,NaN,NaN,NaN,NaN
23,1818,2,-1.433,1.965,-1.221,0.919,-1.481,0.529,NaN,NaN,NaN,NaN
24,1818,3,-0.563,1.827,-1.170,0.969,-1.484,0.514,NaN,NaN,NaN,NaN
25,1818,4,0.252,5.242,-1.167,0.950,-1.479,0.487,NaN,NaN,NaN,NaN
26,1818,5,-0.150,3.203,-1.169,1.073,-1.468,0.489,NaN,NaN,NaN,NaN
27,1818,6,-0.723,3.694,-1.112,1.184,-1.459,0.486,NaN,NaN,NaN,NaN
28,1818,7,-1.375,2.281,-1.256,1.212,-1.453,0.475,NaN,NaN,NaN,NaN
29,1818,8,-0.998,1.903,-1.286,1.377,-1.384,0.491,NaN,NaN,NaN,NaN
30,1818,9,-2.561,1.306,-1.379,1.047,-1.373,0.516,-1.161,0.322,NaN,NaN
31,1818,10,-2.349,2.577,-1.574,0.859,-1.357,0.502,-1.165,0.321,NaN,NaN
32,1818,11,-1.470,4.391,-1.663,0.812,-1.355,0.496,-1.181,0.324,NaN,NaN
33,1818,12,-1.397,1.532,-1.730,0.829,-1.346,0.480,-1.177,0.320,NaN,NaN
34,1819,1,-2.303,2.918,-1.716,0.864,-1.327,0.469,-1.168,0.313,NaN,NaN
35,1819,2,-1.801,3.566,-1.745,0.987,-1.322,0.462,-1.161,0.320,NaN,NaN
36,1819,3,-1.678,4.986,-1.659,0.872,-1.322,0.459,-1.140,0.333,NaN,NaN
37,1819,4,-2.083,1.670,-1.579,0.783,-1.296,0.447,-1.128,0.333,NaN,NaN
38,1819,5,-1.224,2.219,-1.555,0.794,-1.272,0.444,-1.112,0.326,NaN,NaN
39,1819,6,-1.528,2.262,-1.613,0.706,-1.254,0.442,-1.108,0.326,NaN,NaN
40,1819,7,-1.201,1.495,-1.702,0.729,-1.232,0.447,-1.093,0.324,NaN,NaN
41,1819,8,-1.348,1.727,-1.724,0.883,-1.203,0.418,-1.091,0.325,NaN,NaN
42,1819,9,-1.531,2.097,-1.661,0.687,-1.151,0.397,-1.083,0.328,NaN,NaN
43,1819,10,-1.380,2.044,-1.497,0.689,-1.159,0.389,-1.083,0.336,NaN,NaN
44,1819,11,-1.186,1.448,-1.431,0.646,-1.130,0.374,-1.093,0.359,NaN,NaN
