,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1852,10,-1.203,1.680,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1852,11,-0.975,1.365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1852,12,0.087,1.286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1853,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1853,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1853,3,-1.023,0.957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,1853,4,-0.759,0.937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,1853,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,1853,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,1853,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1853,8,-0.426,1.130,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1853,9,-0.723,0.773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1853,10,-0.198,1.035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1853,11,-1.589,1.448,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1853,12,-1.310,0.819,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1854,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,1854,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1854,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,1854,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,1854,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,1854,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,1854,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,1854,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,1854,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,1854,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,1854,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,1854,12,-0.862,2.245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1855,1,-1.028,2.005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1855,2,-1.340,1.763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1855,3,-0.927,1.012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1855,4,-0.802,1.380,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1855,5,-0.273,1.132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1855,6,-0.199,0.787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1855,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1855,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1855,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1855,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1855,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1855,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,1856,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,1856,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,1856,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,1856,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,1856,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,1856,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,1856,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,1856,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,1856,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,1856,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,1856,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,1856,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,1857,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,1857,2,-1.890,1.879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,1857,3,-1.680,1.321,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,1857,4,-0.720,2.710,-0.819,0.752,NaN,NaN,NaN,NaN,NaN,NaN
55,1857,5,-1.135,1.811,-0.855,0.782,NaN,NaN,NaN,NaN,NaN,NaN
56,1857,6,-0.311,1.818,-0.925,0.811,NaN,NaN,NaN,NaN,NaN,NaN
57,1857,7,-0.291,1.332,-0.781,1.004,NaN,NaN,NaN,NaN,NaN,NaN
58,1857,8,-0.932,1.057,-0.700,1.219,NaN,NaN,NaN,NaN,NaN,NaN
59,1857,9,-0.997,0.975,-0.719,1.158,NaN,NaN,NaN,NaN,NaN,NaN
60,1857,10,-0.192,1.946,-0.758,0.953,NaN,NaN,NaN,NaN,NaN,NaN
61,1857,11,-0.994,1.236,-0.688,0.872,NaN,NaN,NaN,NaN,NaN,NaN
62,1857,12,-1.090,0.820,-0.643,0.861,NaN,NaN,NaN,NaN,NaN,NaN
63,1858,1,0.858,2.857,-0.694,0.750,NaN,NaN,NaN,NaN,NaN,NaN
64,1858,2,-0.916,1.573,-0.699,0.657,NaN,NaN,NaN,NaN,NaN,NaN
65,1858,3,-1.909,2.065,-0.606,0.714,NaN,NaN,NaN,NaN,NaN,NaN
66,1858,4,-1.183,0.799,-0.647,0.624,-0.752,0.303,NaN,NaN,NaN,NaN
