,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1873,7,0.507,1.262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1873,8,0.212,1.104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1873,9,-0.020,1.350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1873,10,-0.309,1.012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1873,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1873,12,-0.049,1.046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,1874,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,1874,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,1874,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,1874,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1874,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1874,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1874,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1874,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1874,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1874,10,-0.216,0.984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,1874,11,-0.602,1.126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1874,12,-0.573,1.092,-0.425,0.461,NaN,NaN,NaN,NaN,NaN,NaN
18,1875,1,-1.145,0.996,-0.402,0.459,NaN,NaN,NaN,NaN,NaN,NaN
19,1875,2,-0.794,1.112,-0.389,0.475,NaN,NaN,NaN,NaN,NaN,NaN
20,1875,3,-0.807,0.995,-0.435,0.485,NaN,NaN,NaN,NaN,NaN,NaN
21,1875,4,-0.583,0.933,-0.489,0.473,NaN,NaN,NaN,NaN,NaN,NaN
22,1875,5,-0.175,1.015,-0.546,0.474,NaN,NaN,NaN,NaN,NaN,NaN
23,1875,6,0.059,1.085,-0.578,0.482,NaN,NaN,NaN,NaN,NaN,NaN
24,1875,7,0.230,1.155,-0.578,0.465,NaN,NaN,NaN,NaN,NaN,NaN
25,1875,8,-0.077,1.039,-0.624,0.431,NaN,NaN,NaN,NaN,NaN,NaN
26,1875,9,-0.534,0.995,-0.649,0.433,NaN,NaN,NaN,NaN,NaN,NaN
27,1875,10,-0.873,1.041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1875,11,-1.282,0.978,-0.626,0.462,NaN,NaN,NaN,NaN,NaN,NaN
29,1875,12,-0.959,0.962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1876,1,-1.141,1.362,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1876,2,-1.345,1.307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1876,3,-1.110,1.587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1876,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1876,5,-0.486,1.097,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1876,6,-0.143,0.937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1876,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1876,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1876,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,1876,10,-0.073,1.077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,1876,11,-0.492,1.390,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,1876,12,-0.961,1.404,NaN,NaN,-0.306,0.265,NaN,NaN,NaN,NaN
42,1877,1,-0.598,1.093,NaN,NaN,-0.316,0.264,NaN,NaN,NaN,NaN
43,1877,2,-0.664,1.046,NaN,NaN,-0.328,0.263,NaN,NaN,NaN,NaN
44,1877,3,-0.193,1.051,-0.158,0.504,-0.340,0.263,NaN,NaN,NaN,NaN
45,1877,4,-0.295,0.983,-0.146,0.495,-0.340,0.265,NaN,NaN,NaN,NaN
46,1877,5,-0.099,0.987,-0.091,0.477,-0.337,0.257,NaN,NaN,NaN,NaN
47,1877,6,0.309,1.057,-0.038,0.479,-0.342,0.256,NaN,NaN,NaN,NaN
48,1877,7,0.445,1.047,-0.034,0.493,-0.339,0.248,NaN,NaN,NaN,NaN
49,1877,8,0.539,1.079,0.028,0.512,-0.350,0.236,NaN,NaN,NaN,NaN
50,1877,9,0.192,1.027,0.120,0.519,-0.356,0.233,NaN,NaN,NaN,NaN
51,1877,10,0.064,0.976,0.173,0.524,-0.360,0.229,NaN,NaN,NaN,NaN
52,1877,11,0.173,0.959,0.173,0.524,-0.363,0.229,NaN,NaN,NaN,NaN
53,1877,12,-0.325,1.549,0.201,0.521,-0.374,0.230,NaN,NaN,NaN,NaN
54,1878,1,-0.557,1.378,0.186,0.526,-0.377,0.230,NaN,NaN,NaN,NaN
55,1878,2,0.083,1.278,0.134,0.544,-0.374,0.234,NaN,NaN,NaN,NaN
56,1878,3,0.911,1.030,0.098,0.552,-0.372,0.234,NaN,NaN,NaN,NaN
57,1878,4,0.343,1.062,0.089,0.547,NaN,NaN,NaN,NaN,NaN,NaN
58,1878,5,-0.106,0.958,0.079,0.588,NaN,NaN,NaN,NaN,NaN,NaN
59,1878,6,0.655,1.001,0.087,0.651,NaN,NaN,NaN,NaN,NaN,NaN
60,1878,7,0.254,1.553,0.068,0.714,NaN,NaN,NaN,NaN,NaN,NaN
61,1878,8,-0.085,1.454,0.017,0.717,NaN,NaN,NaN,NaN,NaN,NaN
62,1878,9,-0.240,1.141,-0.129,0.718,NaN,NaN,NaN,NaN,NaN,NaN
63,1878,10,-0.036,0.940,-0.223,0.716,-0.264,0.196,NaN,NaN,NaN,NaN
64,1878,11,0.052,1.241,-0.275,0.725,-0.252,0.192,NaN,NaN,NaN,NaN
65,1878,12,-0.229,1.033,-0.346,0.731,-0.257,0.192,NaN,NaN,NaN,NaN
66,1879,1,-0.792,1.321,-0.420,0.670,-0.255,0.188,NaN,NaN,NaN,NaN
67,1879,2,-0.525,1.039,-0.496,0.612,-0.257,0.183,NaN,NaN,NaN,NaN
68,1879,3,-0.836,1.033,-0.531,0.582,-0.253,0.178,NaN,NaN,NaN,NaN
69,1879,4,-0.789,1.003,-0.546,0.605,-0.253,0.178,NaN,NaN,NaN,NaN
70,1879,5,-0.727,1.047,-0.588,0.544,-0.253,0.181,NaN,NaN,NaN,NaN
71,1879,6,-0.198,1.111,-0.639,0.525,-0.238,0.181,NaN,NaN,NaN,NaN
72,1879,7,-0.637,1.003,-0.656,0.455,-0.227,0.182,NaN,NaN,NaN,NaN
73,1879,8,-0.994,0.932,-0.732,0.417,-0.222,0.184,NaN,NaN,NaN,NaN
74,1879,9,-0.658,0.934,-0.761,0.407,-0.229,0.180,NaN,NaN,NaN,NaN
75,1879,10,-0.217,1.091,-0.763,0.400,-0.237,0.180,NaN,NaN,NaN,NaN
76,1879,11,-0.448,0.958,-0.732,0.403,-0.240,0.181,NaN,NaN,NaN,NaN
77,1879,12,-0.845,1.009,-0.768,0.401,-0.252,0.182,NaN,NaN,NaN,NaN
78,1880,1,-1.000,1.113,-0.709,0.417,-0.267,0.181,NaN,NaN,NaN,NaN
79,1880,2,-1.432,1.300,-0.617,0.426,-0.283,0.186,NaN,NaN,NaN,NaN
80,1880,3,-1.184,1.063,-0.597,0.444,-0.288,0.183,NaN,NaN,NaN,NaN
81,1880,4,-0.819,1.159,-0.611,0.472,-0.293,0.183,NaN,NaN,NaN,NaN
82,1880,5,-0.351,0.918,-0.579,0.458,-0.308,0.187,NaN,NaN,NaN,NaN
83,1880,6,-0.626,0.984,-0.521,0.476,-0.320,0.192,NaN,NaN,NaN,NaN
84,1880,7,0.060,0.982,-0.434,0.455,-0.324,0.196,NaN,NaN,NaN,NaN
85,1880,8,0.118,0.970,-0.339,0.458,-0.345,0.193,NaN,NaN,NaN,NaN
86,1880,9,-0.418,1.007,-0.215,0.482,-0.356,0.180,NaN,NaN,NaN,NaN
87,1880,10,-0.387,1.043,-0.119,0.462,-0.359,0.173,NaN,NaN,NaN,NaN
88,1880,11,-0.069,0.957,-0.073,0.472,-0.356,0.168,NaN,NaN,NaN,NaN
89,1880,12,-0.148,1.032,-0.055,0.487,-0.359,0.167,NaN,NaN,NaN,NaN
