,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1819,7,-0.862,2.331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1819,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1819,9,0.232,2.273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1819,10,-0.964,2.560,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1819,11,-2.008,2.400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1819,12,-1.281,2.042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,1820,1,-3.333,3.132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,1820,2,-0.461,2.668,-0.808,0.727,NaN,NaN,NaN,NaN,NaN,NaN
8,1820,3,-0.418,2.466,-0.855,0.729,NaN,NaN,NaN,NaN,NaN,NaN
9,1820,4,0.623,2.519,-0.915,0.712,NaN,NaN,NaN,NaN,NaN,NaN
10,1820,5,-0.195,1.935,-0.944,0.672,NaN,NaN,NaN,NaN,NaN,NaN
11,1820,6,-0.140,1.890,-1.054,0.690,NaN,NaN,NaN,NaN,NaN,NaN
12,1820,7,-0.025,2.074,-0.761,0.665,NaN,NaN,NaN,NaN,NaN,NaN
13,1820,8,-1.722,2.261,-0.655,0.674,NaN,NaN,NaN,NaN,NaN,NaN
14,1820,9,-0.340,1.606,-0.609,0.670,NaN,NaN,NaN,NaN,NaN,NaN
15,1820,10,-1.674,2.018,-0.662,0.623,NaN,NaN,NaN,NaN,NaN,NaN
16,1820,11,-2.359,1.773,-0.676,0.638,NaN,NaN,NaN,NaN,NaN,NaN
17,1820,12,-2.607,2.177,-0.738,0.656,NaN,NaN,NaN,NaN,NaN,NaN
18,1821,1,0.181,2.033,-0.796,0.706,NaN,NaN,NaN,NaN,NaN,NaN
19,1821,2,0.812,1.897,-0.716,0.717,NaN,NaN,NaN,NaN,NaN,NaN
20,1821,3,0.133,2.088,-0.841,0.737,NaN,NaN,NaN,NaN,NaN,NaN
21,1821,4,-0.011,2.143,-0.878,0.727,-0.977,0.418,NaN,NaN,NaN,NaN
22,1821,5,-0.361,2.142,-0.852,0.713,-0.994,0.415,NaN,NaN,NaN,NaN
23,1821,6,-0.881,1.915,-0.739,0.709,-1.004,0.416,NaN,NaN,NaN,NaN
24,1821,7,-0.725,2.407,-0.856,0.782,-0.977,0.413,NaN,NaN,NaN,NaN
25,1821,8,-0.757,2.058,-0.901,0.760,-0.964,0.419,NaN,NaN,NaN,NaN
26,1821,9,NaN,NaN,-0.737,0.768,-0.918,0.427,NaN,NaN,NaN,NaN
27,1821,10,-2.116,1.922,-0.813,0.775,-0.888,0.421,NaN,NaN,NaN,NaN
28,1821,11,-2.052,2.354,-0.908,0.806,-0.871,0.427,NaN,NaN,NaN,NaN
29,1821,12,-1.250,1.843,-0.857,0.857,-0.858,0.424,NaN,NaN,NaN,NaN
30,1822,1,-1.222,2.682,-0.857,0.927,-0.845,0.432,NaN,NaN,NaN,NaN
31,1822,2,0.267,2.062,-0.875,0.956,-0.837,0.438,NaN,NaN,NaN,NaN
32,1822,3,2.109,1.988,-0.773,0.854,-0.848,0.439,NaN,NaN,NaN,NaN
33,1822,4,-0.929,1.935,-0.742,0.784,-0.856,0.437,NaN,NaN,NaN,NaN
34,1822,5,-1.503,1.635,-0.782,0.774,NaN,NaN,NaN,NaN,NaN,NaN
35,1822,6,-0.271,1.718,-0.905,0.809,NaN,NaN,NaN,NaN,NaN,NaN
36,1822,7,-0.722,1.659,-0.905,0.764,NaN,NaN,NaN,NaN,NaN,NaN
37,1822,8,-0.973,1.631,-0.966,0.761,NaN,NaN,NaN,NaN,NaN,NaN
38,1822,9,-0.611,2.194,-1.217,0.853,NaN,NaN,NaN,NaN,NaN,NaN
39,1822,10,-1.750,2.144,-1.231,0.976,NaN,NaN,NaN,NaN,NaN,NaN
40,1822,11,-2.535,2.034,-1.269,1.064,-0.766,0.465,NaN,NaN,NaN,NaN
41,1822,12,-2.722,2.189,-1.241,1.066,-0.766,0.469,NaN,NaN,NaN,NaN
