,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1880,8,-0.464,1.620,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1880,9,-0.305,1.113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1880,10,-0.522,1.083,-0.140,0.575,NaN,NaN,NaN,NaN,NaN,NaN
3,1880,11,-0.315,0.882,-0.076,0.597,NaN,NaN,NaN,NaN,NaN,NaN
4,1880,12,0.514,1.072,-0.049,0.586,NaN,NaN,NaN,NaN,NaN,NaN
5,1881,1,0.388,1.036,0.011,0.577,NaN,NaN,NaN,NaN,NaN,NaN
6,1881,2,0.390,1.378,0.052,0.554,NaN,NaN,NaN,NaN,NaN,NaN
7,1881,3,0.200,1.170,0.061,0.525,NaN,NaN,NaN,NaN,NaN,NaN
8,1881,4,-0.341,0.885,0.115,0.513,NaN,NaN,NaN,NaN,NaN,NaN
9,1881,5,0.644,1.122,0.112,0.524,NaN,NaN,NaN,NaN,NaN,NaN
10,1881,6,-0.392,1.033,0.061,0.500,NaN,NaN,NaN,NaN,NaN,NaN
11,1881,7,0.339,0.824,0.074,0.501,NaN,NaN,NaN,NaN,NaN,NaN
12,1881,8,NaN,NaN,-0.002,0.457,NaN,NaN,NaN,NaN,NaN,NaN
13,1881,9,-0.198,0.896,-0.087,0.447,NaN,NaN,NaN,NaN,NaN,NaN
14,1881,10,0.129,0.976,-0.081,0.453,NaN,NaN,NaN,NaN,NaN,NaN
15,1881,11,-0.347,1.048,-0.159,0.459,-0.372,0.353,NaN,NaN,NaN,NaN
16,1881,12,-0.101,1.110,-0.171,0.490,-0.380,0.356,NaN,NaN,NaN,NaN
17,1882,1,0.547,1.278,-0.314,0.484,-0.381,0.354,NaN,NaN,NaN,NaN
18,1882,2,-0.527,0.865,-0.382,0.474,-0.378,0.350,NaN,NaN,NaN,NaN
19,1882,3,-0.818,0.849,-0.398,0.470,-0.354,0.352,NaN,NaN,NaN,NaN
20,1882,4,-0.271,0.812,-0.446,0.493,-0.357,0.351,NaN,NaN,NaN,NaN
21,1882,5,-0.289,1.038,-0.537,0.484,-0.354,0.348,NaN,NaN,NaN,NaN
22,1882,6,-0.536,0.848,-0.529,0.462,-0.350,0.343,NaN,NaN,NaN,NaN
23,1882,7,-1.382,1.054,-0.603,0.435,-0.372,0.335,NaN,NaN,NaN,NaN
24,1882,8,-0.789,0.937,-0.607,0.491,-0.358,0.326,NaN,NaN,NaN,NaN
25,1882,9,-0.396,0.814,-0.582,0.478,-0.374,0.317,NaN,NaN,NaN,NaN
26,1882,10,-0.440,1.043,-0.581,0.500,-0.393,0.314,NaN,NaN,NaN,NaN
27,1882,11,-1.447,1.087,-0.569,0.437,-0.394,0.312,NaN,NaN,NaN,NaN
28,1882,12,-0.003,0.905,-0.499,0.398,-0.388,0.308,NaN,NaN,NaN,NaN
29,1883,1,-0.339,0.835,-0.475,0.379,-0.377,0.308,NaN,NaN,NaN,NaN
30,1883,2,-0.579,1.403,-0.487,0.404,-0.367,0.306,NaN,NaN,NaN,NaN
31,1883,3,-0.508,0.922,-0.507,0.401,-0.368,0.299,NaN,NaN,NaN,NaN
32,1883,4,-0.260,1.030,-0.473,0.366,-0.365,0.298,NaN,NaN,NaN,NaN
33,1883,5,-0.155,0.825,-0.474,0.369,-0.355,0.297,NaN,NaN,NaN,NaN
34,1883,6,0.307,0.839,-0.525,0.389,-0.366,0.294,NaN,NaN,NaN,NaN
35,1883,7,-1.094,1.357,-0.518,0.412,-0.384,0.294,-0.378,0.249,NaN,NaN
36,1883,8,-0.933,1.134,-0.533,0.402,-0.411,0.291,-0.385,0.249,NaN,NaN
37,1883,9,-0.633,0.848,-0.546,0.392,-0.428,0.297,-0.392,0.250,NaN,NaN
38,1883,10,-0.033,0.737,-0.572,0.388,-0.422,0.303,-0.394,0.249,NaN,NaN
39,1883,11,-1.462,0.780,-0.621,0.406,-0.423,0.303,-0.391,0.247,NaN,NaN
40,1883,12,-0.613,0.881,-0.707,0.422,-0.410,0.299,-0.373,0.241,NaN,NaN
41,1884,1,-0.249,1.091,-0.637,0.420,-0.409,0.300,-0.375,0.237,NaN,NaN
42,1884,2,-0.757,0.913,-0.571,0.390,-0.418,0.302,-0.368,0.236,NaN,NaN
43,1884,3,-0.668,1.106,-0.481,0.403,-0.423,0.301,-0.351,0.236,NaN,NaN
44,1884,4,-0.573,0.746,-0.519,0.409,-0.422,0.299,-0.346,0.236,NaN,NaN
45,1884,5,-0.741,0.909,-0.486,0.416,-0.426,0.297,-0.340,0.239,NaN,NaN
46,1884,6,-0.722,0.841,-0.448,0.391,-0.444,0.291,-0.338,0.241,NaN,NaN
47,1884,7,-0.263,0.871,-0.505,0.396,-0.474,0.298,-0.337,0.238,NaN,NaN
48,1884,8,-0.140,1.066,-0.524,0.396,-0.473,0.301,-0.338,0.236,NaN,NaN
49,1884,9,0.452,1.276,-0.529,0.377,-0.472,0.299,-0.328,0.237,NaN,NaN
50,1884,10,-0.496,0.838,-0.590,0.385,-0.471,0.299,-0.332,0.234,NaN,NaN
51,1884,11,-1.060,0.884,-0.548,0.410,-0.478,0.296,-0.333,0.238,NaN,NaN
52,1884,12,-0.162,0.846,-0.512,0.446,-0.476,0.292,-0.327,0.241,NaN,NaN
53,1885,1,-0.930,0.946,-0.470,0.461,-0.464,0.294,-0.323,0.239,NaN,NaN
54,1885,2,-0.984,0.981,-0.444,0.450,-0.469,0.295,-0.302,0.238,NaN,NaN
55,1885,3,-0.728,0.773,NaN,NaN,-0.474,0.292,-0.311,0.236,NaN,NaN
56,1885,4,-1.302,1.287,NaN,NaN,-0.475,0.283,-0.310,0.237,NaN,NaN
