,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1848,1,-1.493,2.076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1848,2,-0.678,1.785,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1848,3,-1.455,1.437,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1848,4,-0.851,1.406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1848,5,-0.574,1.517,-1.129,0.611,NaN,NaN,NaN,NaN,NaN,NaN
5,1848,6,-1.392,1.401,-1.008,0.615,NaN,NaN,NaN,NaN,NaN,NaN
6,1848,7,-0.306,1.371,-0.946,0.574,NaN,NaN,NaN,NaN,NaN,NaN
7,1848,8,-0.719,1.362,-0.977,0.594,NaN,NaN,NaN,NaN,NaN,NaN
8,1848,9,-1.305,1.492,-0.916,0.615,NaN,NaN,NaN,NaN,NaN,NaN
9,1848,10,-1.007,1.271,-0.916,0.594,NaN,NaN,NaN,NaN,NaN,NaN
10,1848,11,-1.011,1.318,-0.908,0.621,NaN,NaN,NaN,NaN,NaN,NaN
11,1848,12,-1.310,1.798,-0.908,0.614,NaN,NaN,NaN,NaN,NaN,NaN
12,1849,1,-0.740,1.519,-0.914,0.633,NaN,NaN,NaN,NaN,NaN,NaN
13,1849,2,-1.052,1.600,-0.904,0.651,NaN,NaN,NaN,NaN,NaN,NaN
14,1849,3,-0.722,1.558,-0.916,0.606,NaN,NaN,NaN,NaN,NaN,NaN
15,1849,4,-0.849,1.828,-0.900,0.618,NaN,NaN,NaN,NaN,NaN,NaN
16,1849,5,-0.484,1.405,-0.882,0.671,NaN,NaN,NaN,NaN,NaN,NaN
17,1849,6,-1.396,1.494,-0.895,0.622,NaN,NaN,NaN,NaN,NaN,NaN
18,1849,7,-0.368,1.418,-0.968,0.632,NaN,NaN,NaN,NaN,NaN,NaN
19,1849,8,-0.609,1.458,-0.949,0.609,-0.870,0.473,NaN,NaN,NaN,NaN
20,1849,9,-1.446,1.326,-0.941,0.635,-0.878,0.485,NaN,NaN,NaN,NaN
21,1849,10,-0.808,1.336,-0.958,0.692,-0.888,0.493,NaN,NaN,NaN,NaN
22,1849,11,-0.805,1.988,-1.004,0.662,-0.881,0.496,NaN,NaN,NaN,NaN
23,1849,12,-1.458,1.504,-0.975,0.709,-0.876,0.494,NaN,NaN,NaN,NaN
24,1850,1,-1.619,1.644,-0.921,0.713,-0.876,0.486,NaN,NaN,NaN,NaN
25,1850,2,-0.820,1.490,-0.894,0.690,-0.874,0.483,NaN,NaN,NaN,NaN
26,1850,3,-0.633,1.977,-0.834,0.734,-0.872,0.482,NaN,NaN,NaN,NaN
27,1850,4,-1.056,1.440,-0.843,0.762,-0.865,0.482,NaN,NaN,NaN,NaN
28,1850,5,-1.034,1.385,-0.854,0.729,-0.880,0.474,NaN,NaN,NaN,NaN
29,1850,6,-1.042,1.439,-0.847,0.734,-0.841,0.470,NaN,NaN,NaN,NaN
30,1850,7,0.281,1.382,-0.799,0.654,-0.839,0.463,NaN,NaN,NaN,NaN
31,1850,8,-0.284,1.373,-0.804,0.649,-0.851,0.457,NaN,NaN,NaN,NaN
32,1850,9,-0.731,1.352,-0.825,0.660,NaN,NaN,NaN,NaN,NaN,NaN
33,1850,10,-0.914,1.817,-0.841,0.658,NaN,NaN,NaN,NaN,NaN,NaN
34,1850,11,-0.943,2.072,-0.737,0.654,NaN,NaN,NaN,NaN,NaN,NaN
35,1850,12,NaN,NaN,-0.686,0.626,NaN,NaN,NaN,NaN,NaN,NaN
36,1851,1,-1.041,1.684,-0.738,0.585,NaN,NaN,NaN,NaN,NaN,NaN
37,1851,2,-0.882,1.416,-0.757,0.568,NaN,NaN,NaN,NaN,NaN,NaN
38,1851,3,-0.881,1.616,-0.771,0.574,NaN,NaN,NaN,NaN,NaN,NaN
39,1851,4,-1.246,1.278,-0.748,0.528,NaN,NaN,NaN,NaN,NaN,NaN
