,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1857,4,-0.487,2.033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1857,5,-1.124,1.373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1857,6,-0.535,1.425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1857,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1857,8,-1.078,1.159,-0.852,1.043,NaN,NaN,NaN,NaN,NaN,NaN
5,1857,9,-1.265,1.002,-0.901,1.009,NaN,NaN,NaN,NaN,NaN,NaN
6,1857,10,-0.498,1.450,-0.957,0.904,NaN,NaN,NaN,NaN,NaN,NaN
7,1857,11,-1.229,1.310,-0.915,0.852,NaN,NaN,NaN,NaN,NaN,NaN
8,1857,12,-1.659,1.421,-0.877,0.841,NaN,NaN,NaN,NaN,NaN,NaN
9,1858,1,NaN,NaN,-0.924,0.773,NaN,NaN,NaN,NaN,NaN,NaN
10,1858,2,-1.039,1.403,-0.919,0.710,NaN,NaN,NaN,NaN,NaN,NaN
11,1858,3,-1.707,1.466,-0.820,0.708,NaN,NaN,NaN,NaN,NaN,NaN
12,1858,4,-1.161,0.917,-0.868,0.663,NaN,NaN,NaN,NaN,NaN,NaN
13,1858,5,-0.618,0.934,-0.787,0.637,NaN,NaN,NaN,NaN,NaN,NaN
14,1858,6,NaN,NaN,-0.799,0.594,NaN,NaN,NaN,NaN,NaN,NaN
15,1858,7,NaN,NaN,-0.893,0.564,NaN,NaN,NaN,NaN,NaN,NaN
16,1858,8,-1.020,1.035,-0.926,0.546,NaN,NaN,NaN,NaN,NaN,NaN
17,1858,9,-0.072,1.316,-0.883,0.585,NaN,NaN,NaN,NaN,NaN,NaN
18,1858,10,-1.079,0.712,-0.824,0.578,NaN,NaN,NaN,NaN,NaN,NaN
19,1858,11,-0.252,0.783,-0.793,0.559,NaN,NaN,NaN,NaN,NaN,NaN
20,1858,12,-1.807,0.692,-0.854,0.562,NaN,NaN,NaN,NaN,NaN,NaN
21,1859,1,-1.109,1.262,-0.838,0.601,NaN,NaN,NaN,NaN,NaN,NaN
22,1859,2,-1.433,1.075,-0.800,0.593,NaN,NaN,NaN,NaN,NaN,NaN
23,1859,3,-1.183,1.182,-0.887,0.580,NaN,NaN,NaN,NaN,NaN,NaN
24,1859,4,-0.456,1.062,-0.822,0.612,NaN,NaN,NaN,NaN,NaN,NaN
25,1859,5,-0.247,0.967,-0.908,0.610,NaN,NaN,NaN,NaN,NaN,NaN
26,1859,6,-0.807,1.291,-0.834,0.574,NaN,NaN,NaN,NaN,NaN,NaN
27,1859,7,-0.591,1.126,-0.833,0.556,NaN,NaN,NaN,NaN,NaN,NaN
28,1859,8,-0.563,0.844,-0.834,0.534,NaN,NaN,NaN,NaN,NaN,NaN
29,1859,9,-1.117,0.817,-0.899,0.509,NaN,NaN,NaN,NaN,NaN,NaN
30,1859,10,-0.303,1.252,-0.939,0.503,NaN,NaN,NaN,NaN,NaN,NaN
31,1859,11,-1.275,1.214,-1.008,0.500,NaN,NaN,NaN,NaN,NaN,NaN
32,1859,12,-0.922,1.051,-0.985,0.513,NaN,NaN,NaN,NaN,NaN,NaN
33,1860,1,-1.100,0.935,-0.995,0.532,NaN,NaN,NaN,NaN,NaN,NaN
34,1860,2,-1.446,0.788,-0.982,0.571,NaN,NaN,NaN,NaN,NaN,NaN
35,1860,3,-1.956,1.208,-0.933,0.577,NaN,NaN,NaN,NaN,NaN,NaN
36,1860,4,-0.935,0.796,-0.973,0.603,NaN,NaN,NaN,NaN,NaN,NaN
37,1860,5,-1.086,1.806,-0.926,0.633,NaN,NaN,NaN,NaN,NaN,NaN
38,1860,6,-0.522,0.863,-0.952,0.681,NaN,NaN,NaN,NaN,NaN,NaN
39,1860,7,-0.711,0.968,-1.019,0.682,NaN,NaN,NaN,NaN,NaN,NaN
40,1860,8,-0.408,0.910,-0.981,0.730,NaN,NaN,NaN,NaN,NaN,NaN
41,1860,9,-0.534,0.953,-0.898,0.721,NaN,NaN,NaN,NaN,NaN,NaN
42,1860,10,-0.783,1.436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,1860,11,-0.713,1.378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,1860,12,-1.232,1.265,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,1861,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,1861,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,1861,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,1861,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,1861,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,1861,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,1861,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,1861,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,1861,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,1861,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,1861,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56,1861,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57,1862,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58,1862,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,1862,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,1862,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61,1862,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62,1862,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63,1862,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64,1862,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,1862,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66,1862,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
67,1862,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68,1862,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69,1863,1,-1.022,1.649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,1863,2,-0.362,0.823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71,1863,3,-0.534,1.576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
72,1863,4,-0.866,0.810,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73,1863,5,-0.384,0.970,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
74,1863,6,-0.144,0.774,-0.782,0.720,NaN,NaN,NaN,NaN,NaN,NaN
75,1863,7,-0.593,0.899,-0.719,0.649,NaN,NaN,NaN,NaN,NaN,NaN
76,1863,8,-0.754,1.310,-0.708,0.761,NaN,NaN,NaN,NaN,NaN,NaN
77,1863,9,-1.125,1.221,-0.813,0.693,NaN,NaN,NaN,NaN,NaN,NaN
78,1863,10,-0.706,1.172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79,1863,11,-1.132,0.808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
