,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1891,1,-1.271,0.797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1891,2,-1.367,1.058,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1891,3,-0.423,0.898,-0.688,0.676,NaN,NaN,NaN,NaN,NaN,NaN
3,1891,4,-0.472,0.692,-0.766,0.672,NaN,NaN,NaN,NaN,NaN,NaN
4,1891,5,-0.168,1.369,-0.729,0.713,NaN,NaN,NaN,NaN,NaN,NaN
5,1891,6,-0.473,1.876,-0.709,0.667,NaN,NaN,NaN,NaN,NaN,NaN
6,1891,7,-0.594,1.321,-0.725,0.591,NaN,NaN,NaN,NaN,NaN,NaN
7,1891,8,-0.922,1.167,-0.762,0.490,NaN,NaN,NaN,NaN,NaN,NaN
8,1891,9,-1.242,0.758,-0.862,0.436,NaN,NaN,NaN,NaN,NaN,NaN
9,1891,10,-0.831,0.648,-0.853,0.413,NaN,NaN,NaN,NaN,NaN,NaN
10,1891,11,-0.517,0.948,-0.856,0.401,NaN,NaN,NaN,NaN,NaN,NaN
11,1891,12,-0.229,0.868,-0.771,0.451,NaN,NaN,NaN,NaN,NaN,NaN
12,1892,1,-1.458,1.796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1892,2,-1.817,1.444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1892,3,-1.617,1.616,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1892,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,1892,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1892,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,1892,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,1892,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,1892,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,1892,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,1892,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,1892,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,1893,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,1893,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,1893,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1893,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1893,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1893,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1893,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1893,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1893,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1893,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1893,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1893,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1894,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1894,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
