,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1880,1,-1.133,0.818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1880,2,-0.803,0.902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1880,3,-0.589,0.923,-0.581,0.533,NaN,NaN,NaN,NaN,NaN,NaN
3,1880,4,-1.030,0.939,-0.606,0.459,NaN,NaN,NaN,NaN,NaN,NaN
4,1880,5,-0.384,0.576,-0.622,0.458,NaN,NaN,NaN,NaN,NaN,NaN
5,1880,6,-0.490,0.883,-0.659,0.513,NaN,NaN,NaN,NaN,NaN,NaN
6,1880,7,-0.098,0.924,-0.625,0.514,NaN,NaN,NaN,NaN,NaN,NaN
7,1880,8,-0.234,0.740,-0.581,0.634,NaN,NaN,NaN,NaN,NaN,NaN
8,1880,9,-0.327,0.888,-0.634,0.626,NaN,NaN,NaN,NaN,NaN,NaN
9,1880,10,-0.216,0.718,-0.592,0.687,NaN,NaN,NaN,NaN,NaN,NaN
10,1880,11,-0.989,0.851,-0.611,0.741,NaN,NaN,NaN,NaN,NaN,NaN
11,1880,12,-1.616,1.235,-0.644,0.723,NaN,NaN,NaN,NaN,NaN,NaN
12,1881,1,-0.722,0.995,-0.677,0.709,NaN,NaN,NaN,NaN,NaN,NaN
13,1881,2,-0.278,2.034,-0.709,0.764,NaN,NaN,NaN,NaN,NaN,NaN
14,1881,3,-1.222,0.919,-0.688,0.761,NaN,NaN,NaN,NaN,NaN,NaN
15,1881,4,-0.533,1.634,-0.726,0.800,NaN,NaN,NaN,NaN,NaN,NaN
16,1881,5,-0.603,0.851,-0.693,0.771,NaN,NaN,NaN,NaN,NaN,NaN
17,1881,6,-0.894,0.815,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,1881,7,-0.485,0.714,NaN,NaN,-0.508,0.338,NaN,NaN,NaN,NaN
19,1881,8,-0.621,1.185,NaN,NaN,-0.522,0.332,NaN,NaN,NaN,NaN
20,1881,9,NaN,NaN,NaN,NaN,-0.529,0.324,NaN,NaN,NaN,NaN
21,1881,10,NaN,NaN,NaN,NaN,-0.548,0.310,NaN,NaN,NaN,NaN
22,1881,11,NaN,NaN,NaN,NaN,-0.577,0.297,NaN,NaN,NaN,NaN
23,1881,12,NaN,NaN,NaN,NaN,-0.595,0.288,NaN,NaN,NaN,NaN
24,1882,1,0.533,0.809,NaN,NaN,-0.608,0.280,NaN,NaN,NaN,NaN
25,1882,2,-0.466,0.631,NaN,NaN,-0.616,0.269,NaN,NaN,NaN,NaN
26,1882,3,-0.627,0.682,-0.386,0.312,-0.626,0.257,NaN,NaN,NaN,NaN
27,1882,4,-0.525,0.676,-0.336,0.309,-0.640,0.248,NaN,NaN,NaN,NaN
28,1882,5,-0.416,0.766,-0.364,0.324,-0.650,0.243,NaN,NaN,NaN,NaN
29,1882,6,-0.621,0.603,-0.433,0.364,-0.654,0.242,NaN,NaN,NaN,NaN
30,1882,7,-0.594,0.699,-0.530,0.360,-0.647,0.237,NaN,NaN,NaN,NaN
31,1882,8,-0.386,0.653,-0.565,0.388,-0.659,0.237,NaN,NaN,NaN,NaN
32,1882,9,0.072,0.703,-0.557,0.431,-0.665,0.230,NaN,NaN,NaN,NaN
33,1882,10,-0.071,0.765,-0.534,0.455,-0.653,0.229,-0.602,0.294,NaN,NaN
34,1882,11,-0.931,0.970,-0.522,0.438,-0.651,0.234,-0.615,0.287,NaN,NaN
35,1882,12,-1.166,1.189,-0.496,0.436,-0.651,0.230,-0.623,0.280,NaN,NaN
36,1883,1,-0.626,0.618,-0.449,0.528,-0.656,0.223,-0.619,0.279,NaN,NaN
37,1883,2,-0.889,1.111,-0.469,0.541,-0.666,0.221,-0.630,0.275,NaN,NaN
38,1883,3,-0.528,0.961,-0.523,0.541,-0.675,0.216,-0.640,0.273,NaN,NaN
39,1883,4,-0.250,0.772,-0.547,0.508,-0.688,0.219,-0.648,0.267,NaN,NaN
40,1883,5,-0.280,0.886,-0.546,0.516,-0.690,0.217,-0.650,0.261,NaN,NaN
41,1883,6,-0.306,0.636,-0.550,0.421,-0.672,0.209,-0.660,0.257,NaN,NaN
42,1883,7,-0.032,1.128,-0.506,0.387,-0.688,0.208,-0.665,0.253,NaN,NaN
43,1883,8,-0.626,0.640,-0.518,0.346,-0.724,0.194,-0.669,0.249,NaN,NaN
44,1883,9,-0.566,0.711,-0.559,0.329,-0.728,0.193,-0.676,0.245,NaN,NaN
45,1883,10,-0.360,0.614,-0.659,0.306,-0.735,0.189,-0.681,0.238,NaN,NaN
46,1883,11,-0.919,0.986,-0.767,0.282,-0.741,0.193,-0.684,0.238,NaN,NaN
47,1883,12,-1.217,1.043,-0.852,0.285,-0.740,0.190,-0.681,0.236,NaN,NaN
48,1884,1,-0.096,1.074,-0.913,0.293,-0.736,0.187,-0.679,0.232,NaN,NaN
49,1884,2,-1.040,0.722,-0.918,0.310,-0.735,0.190,-0.678,0.228,NaN,NaN
50,1884,3,-1.020,0.675,-0.952,0.329,-0.740,0.188,-0.671,0.224,NaN,NaN
51,1884,4,-1.452,0.710,-0.987,0.328,-0.733,0.187,-0.664,0.217,NaN,NaN
52,1884,5,-1.575,0.648,-1.026,0.348,-0.741,0.187,-0.662,0.210,NaN,NaN
53,1884,6,-1.325,0.692,-1.041,0.329,-0.768,0.189,-0.654,0.206,NaN,NaN
54,1884,7,-0.761,0.662,-1.091,0.322,-0.798,0.192,-0.647,0.202,NaN,NaN
55,1884,8,-0.687,0.697,-1.131,0.342,-0.819,0.190,-0.646,0.198,NaN,NaN
56,1884,9,-0.970,0.736,-1.127,0.360,-0.835,0.196,-0.644,0.194,NaN,NaN
57,1884,10,-0.779,0.583,-1.030,0.376,-0.850,0.206,-0.643,0.190,NaN,NaN
58,1884,11,-1.390,0.592,-0.924,0.388,-0.863,0.210,-0.640,0.191,NaN,NaN
59,1884,12,-1.394,0.820,-0.854,0.395,-0.864,0.218,-0.633,0.193,NaN,NaN
60,1885,1,-0.693,1.386,-0.825,0.394,-0.857,0.222,-0.630,0.189,NaN,NaN
61,1885,2,-1.526,1.151,-0.837,0.393,-0.868,0.226,-0.629,0.188,NaN,NaN
62,1885,3,-0.971,0.783,-0.829,0.396,-0.874,0.231,-0.633,0.186,NaN,NaN
63,1885,4,-0.286,0.940,-0.845,0.396,-0.885,0.230,-0.626,0.184,-0.537,0.208
64,1885,5,-0.300,0.900,-0.821,0.401,-0.886,0.223,-0.629,0.185,-0.541,0.206
65,1885,6,-0.490,0.651,-0.752,0.374,-0.886,0.228,-0.631,0.181,-0.545,0.203
66,1885,7,-0.415,0.683,-0.830,0.352,-0.888,0.233,-0.633,0.178,-0.549,0.200
67,1885,8,-0.826,0.561,-0.910,0.332,-0.901,0.228,-0.638,0.176,-0.554,0.197
68,1885,9,-0.875,0.694,-0.949,0.368,-0.901,0.235,-0.643,0.173,-0.556,0.194
69,1885,10,-0.972,0.715,-1.006,0.404,-0.900,0.233,-0.648,0.172,-0.556,0.193
70,1885,11,-1.102,0.734,-1.058,0.458,-0.900,0.224,-0.649,0.171,-0.556,0.191
71,1885,12,-0.564,1.162,-1.089,0.458,-0.903,0.226,-0.639,0.166,-0.553,0.191
72,1886,1,-1.630,0.884,-1.075,0.462,-0.896,0.227,-0.633,0.163,-0.553,0.191
73,1886,2,-2.487,0.933,-1.051,0.475,-0.887,0.229,-0.638,0.156,-0.556,0.189
74,1886,3,-1.442,0.736,-1.013,0.482,-0.881,0.231,-0.638,0.155,-0.558,0.187
75,1886,4,-0.966,0.868,-0.950,0.497,-0.879,0.225,-0.640,0.152,-0.559,0.186
76,1886,5,-0.929,0.867,-0.950,0.512,-0.866,0.231,-0.638,0.153,-0.561,0.186
77,1886,6,-0.857,0.911,-1.063,0.474,-0.848,0.226,-0.634,0.154,-0.563,0.183
78,1886,7,-0.255,1.282,-1.032,0.492,-0.849,0.208,-0.633,0.151,-0.565,0.182
79,1886,8,-0.534,0.731,-0.971,0.486,-0.833,0.205,-0.633,0.148,-0.564,0.182
80,1886,9,-0.418,0.779,-0.982,0.520,-0.813,0.203,-0.634,0.146,-0.564,0.181
81,1886,10,-0.220,0.772,-1.022,0.537,-0.781,0.197,-0.628,0.145,-0.563,0.181
82,1886,11,-1.103,0.757,-1.045,0.555,-0.746,0.191,-0.629,0.144,-0.559,0.181
83,1886,12,-1.916,1.087,-1.029,0.580,-0.714,0.186,-0.629,0.142,-0.554,0.181
84,1887,1,-1.262,0.839,-1.024,0.538,-0.686,0.185,-0.638,0.140,-0.553,0.179
85,1887,2,-1.746,0.599,-1.065,0.535,-0.676,0.182,-0.637,0.139,-0.552,0.177
86,1887,3,-1.579,1.094,-1.052,0.550,-0.661,0.182,-0.637,0.139,-0.551,0.175
87,1887,4,-1.444,1.127,-1.099,0.534,-0.646,0.182,-0.641,0.140,-0.549,0.173
88,1887,5,-1.204,0.709,-1.089,0.502,-0.631,0.186,-0.644,0.143,-0.549,0.171
89,1887,6,-0.670,1.180,-1.026,0.512,-0.613,0.191,-0.643,0.143,-0.549,0.170
90,1887,7,-0.187,0.623,-0.983,0.504,-0.614,0.186,-0.642,0.145,-0.551,0.170
91,1887,8,-1.033,0.629,-0.975,0.463,-0.600,0.187,-0.645,0.147,-0.556,0.167
92,1887,9,-0.256,0.761,-0.889,0.420,-0.601,0.189,-0.648,0.149,-0.557,0.165
93,1887,10,-0.786,0.667,-0.781,0.367,-0.600,0.190,-0.650,0.152,-0.558,0.163
94,1887,11,-0.987,0.704,-0.705,0.319,-0.607,0.192,-0.650,0.153,-0.561,0.161
95,1887,12,-1.165,0.764,-0.689,0.304,-0.612,0.192,-0.650,0.155,-0.561,0.158
96,1888,1,-0.738,0.841,-0.644,0.313,-0.610,0.190,-0.653,0.156,-0.558,0.158
97,1888,2,-1.655,0.710,-0.564,0.329,-0.609,0.190,-0.658,0.158,-0.557,0.158
98,1888,3,-0.544,0.615,-0.558,0.341,-0.610,0.192,-0.663,0.156,-0.562,0.158
99,1888,4,-0.149,0.715,-0.513,0.361,-0.608,0.193,-0.665,0.158,-0.568,0.157
100,1888,5,-0.291,1.010,-0.444,0.351,-0.609,0.195,-0.673,0.157,-0.568,0.157
101,1888,6,-0.473,0.775,-0.359,0.350,-0.605,0.197,-0.673,0.159,-0.573,0.156
102,1888,7,0.345,0.747,-0.311,0.420,-0.579,0.197,-0.674,0.163,-0.579,0.155
103,1888,8,-0.069,0.708,-0.178,0.400,-0.551,0.195,-0.670,0.168,-0.582,0.154
104,1888,9,-0.184,0.599,-0.117,0.444,-0.547,0.195,-0.667,0.169,-0.586,0.152
105,1888,10,-0.248,0.744,-0.069,0.487,-0.544,0.196,-0.668,0.170,-0.589,0.151
106,1888,11,-0.156,0.699,0.001,0.507,-0.536,0.201,-0.666,0.171,-0.592,0.150
107,1888,12,-0.143,0.662,0.092,0.557,-0.527,0.200,-0.661,0.172,-0.593,0.149
108,1889,1,-0.170,1.381,0.137,0.561,-0.529,0.195,-0.668,0.171,-0.593,0.150
109,1889,2,-0.049,0.727,0.136,0.591,-0.532,0.191,-0.666,0.171,-0.597,0.149
110,1889,3,0.178,0.741,0.144,0.607,-0.527,0.191,-0.664,0.169,-0.599,0.150
111,1889,4,0.437,1.121,0.177,0.589,-0.523,0.192,-0.659,0.167,-0.600,0.150
112,1889,5,0.548,1.315,0.151,0.661,-0.517,0.194,-0.653,0.167,-0.603,0.149
113,1889,6,0.613,1.127,0.136,0.720,-0.490,0.194,-0.647,0.166,-0.607,0.149
114,1889,7,0.887,0.815,0.085,0.648,-0.479,0.196,-0.646,0.166,-0.607,0.149
115,1889,8,-0.086,0.934,0.033,0.612,-0.454,0.198,-0.644,0.170,-0.608,0.149
116,1889,9,-0.086,0.653,-0.070,0.613,-0.440,0.204,-0.640,0.167,-0.608,0.149
