,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1780,1,-1.520,7.926,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1780,2,-0.431,6.308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1780,3,0.620,3.069,0.310,0.765,NaN,NaN,NaN,NaN,NaN,NaN
3,1780,4,2.526,3.683,0.289,0.768,NaN,NaN,NaN,NaN,NaN,NaN
4,1780,5,2.008,2.066,0.221,0.818,NaN,NaN,NaN,NaN,NaN,NaN
5,1780,6,0.598,4.662,0.112,1.048,NaN,NaN,NaN,NaN,NaN,NaN
6,1780,7,0.814,2.727,0.182,0.945,NaN,NaN,NaN,NaN,NaN,NaN
7,1780,8,-0.177,4.149,0.221,1.264,NaN,NaN,NaN,NaN,NaN,NaN
8,1780,9,-1.103,1.910,0.168,1.364,NaN,NaN,NaN,NaN,NaN,NaN
9,1780,10,-0.023,1.907,-0.044,1.839,NaN,NaN,NaN,NaN,NaN,NaN
10,1780,11,-0.829,2.231,-0.174,1.651,NaN,NaN,NaN,NaN,NaN,NaN
11,1780,12,-1.145,5.026,-0.329,1.610,NaN,NaN,NaN,NaN,NaN,NaN
12,1781,1,-0.676,5.274,-0.373,1.680,NaN,NaN,NaN,NaN,NaN,NaN
13,1781,2,0.044,7.009,-0.320,1.716,NaN,NaN,NaN,NaN,NaN,NaN
14,1781,3,-0.020,2.187,-0.377,1.748,-0.283,0.430,NaN,NaN,NaN,NaN
15,1781,4,-0.021,3.449,-0.422,1.745,-0.277,0.449,NaN,NaN,NaN,NaN
16,1781,5,0.453,2.430,-0.249,1.473,-0.283,0.461,NaN,NaN,NaN,NaN
17,1781,6,-1.262,3.137,-0.052,1.326,-0.255,0.412,NaN,NaN,NaN,NaN
18,1781,7,0.282,2.730,-0.061,0.998,-0.226,0.389,NaN,NaN,NaN,NaN
19,1781,8,0.455,1.903,-0.282,0.674,-0.274,0.385,NaN,NaN,NaN,NaN
20,1781,9,-1.782,4.456,-0.384,0.786,-0.281,0.380,NaN,NaN,NaN,NaN
21,1781,10,-0.559,1.678,-0.468,0.863,-0.306,0.357,NaN,NaN,NaN,NaN
22,1781,11,1.241,3.806,-0.530,0.792,-0.334,0.346,NaN,NaN,NaN,NaN
23,1781,12,1.221,4.708,-0.340,0.811,-0.299,0.352,NaN,NaN,NaN,NaN
24,1782,1,-0.782,2.734,-0.359,0.944,-0.282,0.346,NaN,NaN,NaN,NaN
25,1782,2,-2.613,3.507,-0.334,1.135,-0.277,0.352,NaN,NaN,NaN,NaN
26,1782,3,-1.239,5.687,-0.190,1.280,-0.298,0.337,NaN,NaN,NaN,NaN
27,1782,4,-1.033,2.163,-0.260,1.078,-0.333,0.359,NaN,NaN,NaN,NaN
28,1782,5,-0.286,2.209,-0.576,1.153,-0.360,0.365,NaN,NaN,NaN,NaN
29,1782,6,1.009,2.285,-0.816,1.164,-0.399,0.409,-0.373,0.380,NaN,NaN
30,1782,7,0.059,3.063,-0.903,1.164,-0.366,0.356,-0.372,0.383,NaN,NaN
31,1782,8,0.751,2.832,-0.638,1.303,-0.391,0.312,-0.372,0.382,NaN,NaN
32,1782,9,-0.052,2.672,-0.601,1.196,-0.455,0.327,-0.382,0.372,NaN,NaN
33,1782,10,-1.399,2.349,-0.504,1.165,-0.511,0.371,-0.381,0.372,NaN,NaN
34,1782,11,-2.547,5.438,-0.527,1.013,-0.548,0.459,-0.392,0.378,NaN,NaN
35,1782,12,-1.658,5.705,-0.551,0.968,-0.528,0.421,-0.378,0.368,NaN,NaN
36,1783,1,-1.827,4.742,-0.529,0.871,-0.543,0.424,-0.394,0.375,NaN,NaN
37,1783,2,0.561,2.537,-0.606,0.768,-0.539,0.426,-0.391,0.350,NaN,NaN
38,1783,3,-0.796,1.907,-0.802,0.719,-0.523,0.424,-0.383,0.355,NaN,NaN
39,1783,4,0.142,1.794,-0.789,1.124,-0.531,0.420,-0.392,0.360,NaN,NaN
40,1783,5,-0.564,2.578,-0.730,0.961,-0.526,0.418,-0.381,0.359,NaN,NaN
41,1783,6,0.716,2.088,-0.536,0.757,-0.531,0.383,-0.366,0.361,NaN,NaN
42,1783,7,0.326,1.978,-0.421,0.767,-0.539,0.362,-0.363,0.365,NaN,NaN
43,1783,8,-0.172,1.938,-0.606,0.620,-0.550,0.355,-0.350,0.357,NaN,NaN
44,1783,9,-2.408,2.246,-0.536,0.652,-0.550,0.365,-0.355,0.348,NaN,NaN
45,1783,10,-1.245,3.996,-0.603,0.643,-0.544,0.358,-0.343,0.358,NaN,NaN
46,1783,11,-1.831,1.929,-0.575,0.632,-0.540,0.357,-0.331,0.365,NaN,NaN
47,1783,12,0.665,3.694,-0.586,0.673,-0.504,0.361,-0.336,0.352,NaN,NaN
48,1784,1,-0.448,2.877,-0.577,0.695,-0.503,0.364,-0.319,0.339,NaN,NaN
49,1784,2,-1.654,2.397,-0.569,0.789,-0.507,0.373,-0.323,0.331,NaN,NaN
50,1784,3,0.045,4.290,-0.432,0.766,-0.480,0.355,-0.336,0.329,NaN,NaN
51,1784,4,-0.661,6.273,-0.483,0.801,-0.487,0.362,-0.350,0.326,NaN,NaN
52,1784,5,-0.228,2.356,-0.468,0.844,-0.540,0.370,-0.360,0.324,NaN,NaN
53,1784,6,0.579,2.539,-0.705,0.906,-0.596,0.380,-0.356,0.329,NaN,NaN
54,1784,7,0.438,3.078,-0.626,0.884,-0.587,0.358,-0.363,0.327,NaN,NaN
55,1784,8,-0.076,5.279,-0.652,0.970,-0.529,0.366,-0.365,0.332,NaN,NaN
56,1784,9,-0.773,3.225,-0.923,0.836,-0.494,0.389,-0.378,0.328,NaN,NaN
57,1784,10,-1.855,3.452,-0.936,0.870,-0.484,0.385,-0.397,0.336,NaN,NaN
58,1784,11,-1.649,2.733,-0.935,0.929,-0.489,0.387,-0.414,0.342,NaN,NaN
59,1784,12,-2.178,1.995,-0.834,0.905,-0.507,0.392,-0.419,0.365,-0.313,0.367
60,1785,1,0.499,2.245,-0.875,0.750,-0.536,0.421,-0.408,0.336,-0.320,0.368
61,1785,2,-1.967,3.567,-0.864,0.693,-0.552,0.430,-0.400,0.316,-0.327,0.359
62,1785,3,-3.203,2.668,-0.815,0.686,-0.576,0.452,-0.404,0.331,-0.330,0.353
63,1785,4,-0.817,2.569,-0.702,0.637,-0.570,0.455,-0.431,0.353,-0.327,0.345
64,1785,5,-0.214,3.892,-0.606,0.704,-0.551,0.493,-0.458,0.343,-0.318,0.341
65,1785,6,1.785,2.385,-0.545,0.729,-0.516,0.451,-0.460,0.330,-0.318,0.336
66,1785,7,-0.053,2.065,-0.683,0.810,-0.523,0.439,-0.471,0.335,-0.320,0.331
67,1785,8,0.057,2.341,-0.569,0.955,-0.509,0.427,-0.467,0.336,-0.317,0.325
68,1785,9,-0.188,2.293,-0.309,0.872,-0.499,0.431,-0.464,0.335,-0.314,0.324
69,1785,10,-0.500,5.477,-0.210,0.730,-0.498,0.441,-0.464,0.332,-0.313,0.324
70,1785,11,-0.499,2.126,-0.135,0.736,-0.476,0.454,-0.459,0.332,-0.323,0.323
71,1785,12,-1.445,1.815,-0.207,0.676,-0.482,0.473,-0.449,0.303,-0.311,0.321
72,1786,1,-1.151,3.205,-0.175,0.864,-0.472,0.476,-0.440,0.296,-0.294,0.327
73,1786,2,-0.600,1.758,-0.162,1.042,-0.452,0.466,-0.448,0.282,-0.296,0.325
74,1786,3,-0.077,4.680,-0.161,1.214,-0.427,0.456,-0.444,0.296,-0.304,0.325
75,1786,4,0.365,1.920,-0.200,0.810,-0.409,0.458,-0.432,0.293,-0.300,0.326
76,1786,5,0.686,1.984,-0.318,0.652,-0.379,0.472,-0.448,0.304,-0.295,0.321
77,1786,6,0.925,2.071,-0.377,0.580,-0.417,0.473,-0.443,0.306,-0.292,0.319
78,1786,7,0.324,4.748,-0.303,0.580,-0.411,0.469,-0.452,0.309,-0.292,0.319
79,1786,8,0.220,3.768,-0.180,0.541,-0.373,0.468,-0.449,0.318,-0.292,0.321
80,1786,9,-0.175,1.820,-0.103,0.584,-0.392,0.455,-0.428,0.316,-0.284,0.317
81,1786,10,-0.968,1.996,-0.169,0.622,-0.394,0.435,-0.430,0.325,-0.283,0.319
82,1786,11,-1.919,1.861,-0.274,0.619,-0.385,0.424,-0.445,0.343,-0.286,0.323
83,1786,12,-2.158,4.570,-0.358,0.629,-0.413,0.433,-0.460,0.339,-0.297,0.329
84,1787,1,-0.263,4.956,-0.522,0.646,-0.444,0.415,-0.457,0.359,-0.300,0.328
85,1787,2,0.875,2.950,-0.562,0.671,-0.454,0.392,-0.426,0.359,-0.296,0.321
86,1787,3,0.849,7.403,-0.668,0.699,-0.458,0.388,-0.412,0.368,-0.304,0.323
87,1787,4,-0.422,2.927,-0.677,0.716,-0.460,0.381,-0.396,0.379,-0.301,0.323
88,1787,5,-0.580,1.448,-0.632,0.756,-0.467,0.373,-0.392,0.380,-0.298,0.319
89,1787,6,-0.084,2.247,-0.417,0.666,-0.438,0.362,-0.398,0.387,-0.295,0.319
90,1787,7,-1.640,2.869,-0.580,0.895,-0.450,0.366,-0.401,0.395,-0.288,0.320
91,1787,8,-0.258,1.630,-0.535,0.858,-0.409,0.386,-0.408,0.391,-0.284,0.318
92,1787,9,-1.448,2.624,-0.625,0.597,-0.352,0.396,-0.418,0.401,-0.287,0.307
93,1787,10,-1.073,4.945,-0.570,0.624,-0.350,0.375,-0.413,0.410,-0.287,0.305
94,1787,11,-1.379,4.528,-0.464,0.657,-0.369,0.357,-0.398,0.417,-0.292,0.311
95,1787,12,0.424,2.038,-0.423,0.745,-0.391,0.354,-0.386,0.394,-0.284,0.311
96,1788,1,-2.224,2.817,-0.211,0.714,-0.400,0.355,-0.384,0.385,-0.283,0.310
97,1788,2,1.411,3.708,-0.104,0.733,-0.396,0.347,-0.379,0.371,-0.288,0.298
98,1788,3,-0.221,3.388,-0.061,0.722,-0.405,0.346,-0.375,0.375,-0.280,0.297
99,1788,4,0.231,3.789,0.018,1.157,-0.397,0.353,-0.382,0.376,-0.283,0.293
100,1788,5,0.698,1.999,0.130,1.030,-0.393,0.350,-0.379,0.382,-0.281,0.288
101,1788,6,0.401,1.836,-0.039,0.684,-0.367,0.352,-0.388,0.381,-0.272,0.289
102,1788,7,0.907,3.456,0.136,0.792,-0.341,0.354,-0.380,0.372,-0.274,0.293
103,1788,8,1.028,2.330,0.072,0.785,-0.347,0.353,-0.375,0.366,-0.266,0.292
104,1788,9,-0.928,2.559,0.001,0.702,-0.339,0.379,-0.366,0.363,-0.268,0.283
105,1788,10,-0.126,2.984,-0.083,0.720,-0.320,0.403,-0.357,0.356,-0.262,0.285
106,1788,11,-0.040,2.861,-0.120,0.760,-0.355,0.404,-0.337,0.349,-0.257,0.289
107,1788,12,-1.599,2.427,-0.243,0.755,-0.383,0.399,-0.337,0.358,-0.254,0.293
108,1789,1,-0.131,3.366,-0.435,0.650,-0.401,0.399,-0.337,0.345,-0.248,0.293
109,1789,2,0.650,2.146,-0.579,0.557,-0.391,0.415,-0.314,0.340,-0.248,0.294
110,1789,3,-1.076,6.928,-0.588,0.548,-0.376,0.428,-0.305,0.354,-0.253,0.301
111,1789,4,-0.779,2.477,-0.741,0.531,-0.374,0.444,-0.290,0.349,-0.265,0.298
112,1789,5,0.258,4.693,-0.911,0.519,-0.351,0.459,-0.289,0.339,-0.276,0.292
113,1789,6,-1.075,1.291,-0.814,0.616,-0.324,0.442,-0.305,0.338,-0.272,0.299
114,1789,7,-1.398,2.351,-0.819,0.736,-0.326,0.494,-0.314,0.334,-0.271,0.304
115,1789,8,-0.700,1.044,-0.833,0.614,-0.323,0.481,-0.318,0.324,-0.273,0.309
116,1789,9,-1.037,1.413,-0.726,0.668,-0.329,0.444,-0.321,0.305,-0.277,0.305
117,1789,10,-1.963,2.622,-0.720,0.769,-0.308,0.457,-0.306,0.304,-0.281,0.310
118,1789,11,-2.081,3.778,-0.851,0.426,-0.295,0.449,-0.285,0.306,-0.281,0.314
119,1789,12,-0.432,3.152,-0.723,0.395,-0.289,0.459,-0.273,0.307,-0.291,0.336
120,1790,1,-0.199,1.438,-0.656,0.478,-0.266,0.446,-0.280,0.316,-0.284,0.324
121,1790,2,0.490,4.229,-0.573,0.521,-0.263,0.431,-0.258,0.324,-0.285,0.328
122,1790,3,0.200,3.225,-0.549,0.549,-0.261,0.424,-0.226,0.320,-0.291,0.327
123,1790,4,-0.704,1.523,-0.388,0.492,-0.256,0.436,-0.216,0.311,-0.301,0.338
