,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1824,1,-0.078,1.828,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1824,2,-0.748,1.736,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1824,3,-0.071,1.605,-0.691,0.665,NaN,NaN,NaN,NaN,NaN,NaN
3,1824,4,0.294,0.929,-0.647,0.635,NaN,NaN,NaN,NaN,NaN,NaN
4,1824,5,-0.154,0.745,-0.545,0.603,NaN,NaN,NaN,NaN,NaN,NaN
5,1824,6,-0.260,1.441,-0.447,0.653,NaN,NaN,NaN,NaN,NaN,NaN
6,1824,7,-0.135,1.389,-0.447,0.695,NaN,NaN,NaN,NaN,NaN,NaN
7,1824,8,-1.145,0.724,-0.392,0.619,NaN,NaN,NaN,NaN,NaN,NaN
8,1824,9,-1.053,1.916,-0.393,0.539,NaN,NaN,NaN,NaN,NaN,NaN
9,1824,10,-1.323,1.226,-0.394,0.584,NaN,NaN,NaN,NaN,NaN,NaN
10,1824,11,-0.424,1.466,-0.390,0.516,NaN,NaN,NaN,NaN,NaN,NaN
11,1824,12,-0.266,2.938,-0.390,0.587,NaN,NaN,NaN,NaN,NaN,NaN
12,1825,1,-0.079,2.085,-0.422,0.587,NaN,NaN,NaN,NaN,NaN,NaN
13,1825,2,-0.091,1.886,-0.418,0.575,NaN,NaN,NaN,NaN,NaN,NaN
14,1825,3,-0.080,2.051,-0.434,0.590,NaN,NaN,NaN,NaN,NaN,NaN
15,1825,4,0.277,1.536,-0.429,0.609,-0.594,0.496,NaN,NaN,NaN,NaN
16,1825,5,-0.103,1.398,-0.435,0.669,-0.576,0.498,NaN,NaN,NaN,NaN
17,1825,6,-0.262,1.300,-0.475,0.650,-0.543,0.488,NaN,NaN,NaN,NaN
18,1825,7,-0.515,1.088,-0.518,0.642,-0.544,0.482,NaN,NaN,NaN,NaN
19,1825,8,-1.099,0.767,-0.558,0.661,-0.533,0.476,NaN,NaN,NaN,NaN
20,1825,9,-1.239,1.170,-0.601,0.638,-0.528,0.462,NaN,NaN,NaN,NaN
21,1825,10,-1.267,1.380,-0.622,0.629,-0.516,0.468,NaN,NaN,NaN,NaN
22,1825,11,-0.496,2.426,-0.626,0.666,-0.506,0.473,NaN,NaN,NaN,NaN
23,1825,12,-0.742,1.091,-0.663,0.622,-0.503,0.479,NaN,NaN,NaN,NaN
24,1826,1,-0.598,0.934,-0.650,0.546,-0.504,0.478,NaN,NaN,NaN,NaN
25,1826,2,-0.569,2.312,-0.650,0.550,-0.490,0.468,NaN,NaN,NaN,NaN
26,1826,3,-0.604,2.992,-0.618,0.634,-0.487,0.444,NaN,NaN,NaN,NaN
27,1826,4,0.028,1.530,-0.598,0.612,-0.470,0.440,NaN,NaN,NaN,NaN
28,1826,5,-0.152,1.219,-0.593,0.740,-0.448,0.441,NaN,NaN,NaN,NaN
29,1826,6,-0.702,1.461,-0.492,0.777,-0.432,0.431,NaN,NaN,NaN,NaN
30,1826,7,-0.364,0.952,-0.461,0.828,-0.450,0.419,NaN,NaN,NaN,NaN
31,1826,8,-1.093,0.741,-0.391,0.749,-0.452,0.417,NaN,NaN,NaN,NaN
32,1826,9,-0.856,1.534,-0.319,0.570,-0.463,0.397,NaN,NaN,NaN,NaN
33,1826,10,-1.027,1.353,-0.272,0.621,-0.472,0.393,NaN,NaN,NaN,NaN
34,1826,11,-0.438,1.849,-0.227,0.598,-0.475,0.404,NaN,NaN,NaN,NaN
35,1826,12,0.467,1.430,-0.187,0.625,-0.485,0.399,NaN,NaN,NaN,NaN
36,1827,1,-0.228,2.127,-0.159,0.622,-0.488,0.401,NaN,NaN,NaN,NaN
37,1827,2,0.271,1.370,-0.135,0.665,-0.479,0.409,NaN,NaN,NaN,NaN
38,1827,3,0.261,1.350,-0.165,0.654,-0.479,0.392,NaN,NaN,NaN,NaN
39,1827,4,0.600,1.960,-0.164,0.678,-0.474,0.397,NaN,NaN,NaN,NaN
40,1827,5,0.380,1.228,-0.158,0.704,-0.481,0.393,NaN,NaN,NaN,NaN
41,1827,6,NaN,NaN,-0.234,0.647,-0.495,0.396,NaN,NaN,NaN,NaN
42,1827,7,-0.032,1.622,-0.276,0.519,-0.479,0.398,NaN,NaN,NaN,NaN
43,1827,8,-0.805,1.059,-0.342,0.556,-0.461,0.383,NaN,NaN,NaN,NaN
44,1827,9,-1.211,0.742,-0.397,0.668,-0.474,0.374,NaN,NaN,NaN,NaN
45,1827,10,-1.015,1.468,-0.462,0.647,-0.482,0.362,NaN,NaN,NaN,NaN
46,1827,11,-0.366,1.581,-0.513,0.676,-0.497,0.379,NaN,NaN,NaN,NaN
47,1827,12,-0.443,1.457,-0.514,0.794,-0.503,0.379,NaN,NaN,NaN,NaN
48,1828,1,-0.732,1.979,-0.541,0.798,-0.491,0.372,NaN,NaN,NaN,NaN
49,1828,2,-0.527,1.581,-0.511,0.774,-0.485,0.377,NaN,NaN,NaN,NaN
50,1828,3,-0.398,1.449,-0.526,0.722,-0.491,0.384,NaN,NaN,NaN,NaN
51,1828,4,-0.183,1.942,-0.512,0.706,-0.492,0.386,NaN,NaN,NaN,NaN
52,1828,5,-0.233,1.452,-0.510,0.668,-0.465,0.404,NaN,NaN,NaN,NaN
53,1828,6,-0.226,1.636,-0.510,0.708,-0.439,0.406,NaN,NaN,NaN,NaN
54,1828,7,-0.355,1.263,-0.549,0.679,NaN,NaN,NaN,NaN,NaN,NaN
55,1828,8,-0.448,1.079,-0.576,0.646,NaN,NaN,NaN,NaN,NaN,NaN
56,1828,9,-1.389,1.580,-0.606,0.633,NaN,NaN,NaN,NaN,NaN,NaN
57,1828,10,NaN,NaN,-0.608,0.683,NaN,NaN,NaN,NaN,NaN,NaN
58,1828,11,-0.334,1.285,-0.619,0.700,NaN,NaN,NaN,NaN,NaN,NaN
59,1828,12,-0.452,2.530,-0.670,0.690,NaN,NaN,NaN,NaN,NaN,NaN
60,1829,1,-1.191,1.425,-0.667,0.632,NaN,NaN,NaN,NaN,NaN,NaN
61,1829,2,-0.860,1.413,-0.682,0.591,NaN,NaN,NaN,NaN,NaN,NaN
62,1829,3,-0.756,1.033,-0.654,0.595,NaN,NaN,NaN,NaN,NaN,NaN
63,1829,4,-0.207,1.533,-0.666,0.615,NaN,NaN,NaN,NaN,NaN,NaN
64,1829,5,-0.368,1.541,-0.710,0.539,NaN,NaN,NaN,NaN,NaN,NaN
65,1829,6,-0.831,0.979,-0.763,0.510,NaN,NaN,NaN,NaN,NaN,NaN
66,1829,7,-0.324,1.108,-0.592,0.468,NaN,NaN,NaN,NaN,NaN,NaN
67,1829,8,-0.628,1.471,-0.439,0.505,NaN,NaN,NaN,NaN,NaN,NaN
68,1829,9,-1.052,0.946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69,1829,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,1829,11,-0.866,1.399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71,1829,12,-1.079,2.617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
72,1830,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73,1830,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
74,1830,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,1830,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
76,1830,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
77,1830,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78,1830,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79,1830,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,1830,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81,1830,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82,1830,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83,1830,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
84,1831,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,1831,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
86,1831,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
87,1831,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
88,1831,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89,1831,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,1831,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91,1831,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
92,1831,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93,1831,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94,1831,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,1831,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96,1832,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97,1832,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98,1832,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
99,1832,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,1832,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
101,1832,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102,1832,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
