,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1878,1,-1.325,1.492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1878,2,-0.905,1.618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1878,3,0.778,1.558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1878,4,0.816,1.386,0.224,0.636,NaN,NaN,NaN,NaN,NaN,NaN
4,1878,5,0.635,1.589,0.200,0.639,NaN,NaN,NaN,NaN,NaN,NaN
5,1878,6,0.528,1.354,0.279,0.663,NaN,NaN,NaN,NaN,NaN,NaN
6,1878,7,1.559,1.340,0.475,0.683,NaN,NaN,NaN,NaN,NaN,NaN
7,1878,8,0.634,1.394,0.499,0.700,NaN,NaN,NaN,NaN,NaN,NaN
8,1878,9,0.843,1.380,0.327,0.672,NaN,NaN,NaN,NaN,NaN,NaN
9,1878,10,0.192,1.369,0.281,0.669,NaN,NaN,NaN,NaN,NaN,NaN
10,1878,11,-0.297,1.402,0.213,0.649,NaN,NaN,NaN,NaN,NaN,NaN
11,1878,12,NaN,NaN,0.184,0.646,NaN,NaN,NaN,NaN,NaN,NaN
12,1879,1,1.033,1.438,0.062,0.645,NaN,NaN,NaN,NaN,NaN,NaN
13,1879,2,-0.625,1.432,-0.020,0.633,NaN,NaN,NaN,NaN,NaN,NaN
14,1879,3,-1.280,1.512,-0.145,0.645,NaN,NaN,NaN,NaN,NaN,NaN
15,1879,4,0.262,1.419,-0.168,0.666,NaN,NaN,NaN,NaN,NaN,NaN
16,1879,5,-0.187,1.581,-0.212,0.675,NaN,NaN,NaN,NaN,NaN,NaN
17,1879,6,0.185,1.351,-0.163,0.660,NaN,NaN,NaN,NaN,NaN,NaN
18,1879,7,0.099,1.403,-0.235,0.668,NaN,NaN,NaN,NaN,NaN,NaN
19,1879,8,-0.351,1.327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,1879,9,-0.656,1.313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,1879,10,-0.091,1.372,NaN,NaN,0.008,0.413,NaN,NaN,NaN,NaN
22,1879,11,-0.818,1.396,NaN,NaN,-0.019,0.411,NaN,NaN,NaN,NaN
23,1879,12,0.469,1.744,NaN,NaN,-0.023,0.410,NaN,NaN,NaN,NaN
24,1880,1,NaN,NaN,NaN,NaN,-0.054,0.410,NaN,NaN,NaN,NaN
25,1880,2,NaN,NaN,NaN,NaN,-0.067,0.403,NaN,NaN,NaN,NaN
26,1880,3,NaN,NaN,NaN,NaN,-0.080,0.399,NaN,NaN,NaN,NaN
27,1880,4,-0.264,1.386,NaN,NaN,-0.104,0.412,NaN,NaN,NaN,NaN
28,1880,5,NaN,NaN,NaN,NaN,-0.130,0.404,NaN,NaN,NaN,NaN
29,1880,6,NaN,NaN,NaN,NaN,-0.101,0.398,NaN,NaN,NaN,NaN
30,1880,7,NaN,NaN,NaN,NaN,-0.093,0.403,NaN,NaN,NaN,NaN
31,1880,8,-0.501,1.749,NaN,NaN,-0.094,0.411,NaN,NaN,NaN,NaN
32,1880,9,-0.003,1.234,0.013,0.662,-0.109,0.408,NaN,NaN,NaN,NaN
33,1880,10,-0.244,1.256,0.056,0.648,-0.121,0.409,NaN,NaN,NaN,NaN
34,1880,11,-0.224,1.126,0.121,0.658,-0.129,0.405,NaN,NaN,NaN,NaN
35,1880,12,0.127,1.324,0.147,0.668,-0.119,0.396,NaN,NaN,NaN,NaN
36,1881,1,0.931,1.199,0.205,0.658,-0.155,0.395,-0.143,0.313,NaN,NaN
37,1881,2,0.523,1.617,0.272,0.632,-0.181,0.406,-0.148,0.311,NaN,NaN
38,1881,3,0.323,1.230,0.289,0.618,-0.201,0.410,-0.156,0.314,NaN,NaN
39,1881,4,0.248,1.094,0.341,0.605,-0.201,0.411,-0.162,0.315,NaN,NaN
40,1881,5,0.657,1.272,0.332,0.586,-0.219,0.407,-0.165,0.316,NaN,NaN
41,1881,6,0.179,1.591,0.299,0.564,-0.213,0.399,-0.157,0.313,NaN,NaN
42,1881,7,0.445,1.101,0.207,0.584,-0.233,0.403,-0.152,0.311,NaN,NaN
43,1881,8,0.296,1.433,0.041,0.526,-0.246,0.400,-0.156,0.312,NaN,NaN
44,1881,9,0.202,1.119,-0.109,0.535,-0.233,0.402,-0.158,0.314,NaN,NaN
45,1881,10,0.386,1.150,-0.149,0.541,-0.239,0.402,-0.158,0.314,NaN,NaN
