,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1829,5,-0.523,2.261,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1829,6,-1.293,2.141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1829,7,0.035,2.046,-0.613,0.991,NaN,NaN,NaN,NaN,NaN,NaN
3,1829,8,-0.565,2.061,-0.426,0.948,NaN,NaN,NaN,NaN,NaN,NaN
4,1829,9,-1.530,1.887,-0.434,0.928,NaN,NaN,NaN,NaN,NaN,NaN
5,1829,10,-0.553,1.908,-0.342,0.939,NaN,NaN,NaN,NaN,NaN,NaN
6,1829,11,0.158,1.978,-0.398,0.919,NaN,NaN,NaN,NaN,NaN,NaN
7,1829,12,-1.192,2.430,-0.393,0.888,NaN,NaN,NaN,NaN,NaN,NaN
8,1830,1,0.711,2.190,-0.440,0.878,NaN,NaN,NaN,NaN,NaN,NaN
9,1830,2,1.854,2.596,-0.405,0.875,NaN,NaN,NaN,NaN,NaN,NaN
10,1830,3,-0.773,2.012,-0.473,0.872,NaN,NaN,NaN,NaN,NaN,NaN
11,1830,4,-0.429,2.119,-0.593,0.880,NaN,NaN,NaN,NaN,NaN,NaN
12,1830,5,-1.203,2.010,-0.401,0.907,NaN,NaN,NaN,NaN,NaN,NaN
13,1830,6,-1.236,1.966,-0.231,0.947,NaN,NaN,NaN,NaN,NaN,NaN
14,1830,7,-0.518,1.940,-0.325,1.035,-0.803,0.530,NaN,NaN,NaN,NaN
15,1830,8,-0.155,1.976,-0.443,1.085,-0.766,0.530,NaN,NaN,NaN,NaN
16,1830,9,-2.347,1.859,-0.498,1.089,-0.797,0.543,NaN,NaN,NaN,NaN
17,1830,10,-1.988,1.928,-0.557,1.084,-0.822,0.540,NaN,NaN,NaN,NaN
18,1830,11,2.463,2.254,-0.519,1.066,-0.843,0.533,NaN,NaN,NaN,NaN
19,1830,12,0.843,2.314,-0.488,1.059,-0.857,0.531,NaN,NaN,NaN,NaN
20,1831,1,-0.415,3.438,-0.570,1.065,-0.872,0.524,NaN,NaN,NaN,NaN
21,1831,2,0.435,3.457,-0.721,1.089,-0.883,0.532,NaN,NaN,NaN,NaN
22,1831,3,-1.429,2.167,-0.720,1.114,-0.869,0.540,NaN,NaN,NaN,NaN
23,1831,4,-1.129,2.078,-0.672,1.113,-0.880,0.540,NaN,NaN,NaN,NaN
24,1831,5,-0.755,1.985,-1.032,1.108,-0.838,0.539,NaN,NaN,NaN,NaN
25,1831,6,-0.862,2.207,-1.151,1.078,-0.815,0.533,NaN,NaN,NaN,NaN
26,1831,7,-1.501,1.919,-1.191,1.010,-0.843,0.538,NaN,NaN,NaN,NaN
27,1831,8,-1.967,1.945,-1.133,0.925,-0.835,0.535,NaN,NaN,NaN,NaN
28,1831,9,-2.332,1.962,-1.014,0.898,-0.798,0.531,NaN,NaN,NaN,NaN
29,1831,10,-1.413,1.923,-0.936,0.894,-0.777,0.537,-0.595,0.453,NaN,NaN
30,1831,11,-1.856,2.066,-0.958,0.899,-0.765,0.535,-0.621,0.455,NaN,NaN
31,1831,12,-0.589,2.040,-1.028,0.930,-0.751,0.532,-0.634,0.454,NaN,NaN
32,1832,1,-0.889,2.302,-1.039,0.936,-0.772,0.533,-0.648,0.459,NaN,NaN
33,1832,2,1.128,2.252,-1.059,0.960,-0.765,0.527,-0.652,0.460,NaN,NaN
34,1832,3,0.001,1.809,-1.056,0.960,-0.750,0.531,-0.678,0.466,NaN,NaN
35,1832,4,-0.198,1.901,-0.954,0.933,-0.741,0.538,-0.708,0.469,NaN,NaN
36,1832,5,-1.019,1.910,-0.944,0.938,-0.718,0.532,-0.732,0.476,NaN,NaN
37,1832,6,-1.706,2.087,-1.233,0.938,-0.705,0.539,-0.749,0.479,NaN,NaN
38,1832,7,-1.631,1.738,-1.237,0.954,-0.696,0.536,-0.763,0.481,NaN,NaN
39,1832,8,-2.201,1.884,-1.257,0.928,-0.683,0.539,-0.766,0.483,NaN,NaN
40,1832,9,-2.297,1.717,-1.383,0.934,-0.670,0.538,-0.775,0.485,NaN,NaN
41,1832,10,-0.197,1.982,-1.485,0.939,-0.661,0.534,-0.778,0.489,NaN,NaN
42,1832,11,-1.729,2.084,-1.494,0.939,-0.662,0.532,-0.798,0.488,NaN,NaN
43,1832,12,-4.058,2.584,-1.418,0.918,-0.674,0.540,-0.802,0.489,NaN,NaN
44,1833,1,-0.943,2.243,-1.399,0.927,-0.701,0.543,-0.818,0.493,NaN,NaN
45,1833,2,0.898,2.039,-1.278,0.940,-0.728,0.545,-0.813,0.495,NaN,NaN
46,1833,3,-1.519,2.248,-1.209,0.972,-0.722,0.543,-0.832,0.497,NaN,NaN
47,1833,4,-1.414,1.768,-1.296,0.973,-0.706,0.545,-0.833,0.496,NaN,NaN
48,1833,5,-1.132,1.786,-0.913,0.960,-0.786,0.548,-0.844,0.495,NaN,NaN
49,1833,6,-0.793,1.717,-0.664,0.931,-0.874,0.553,-0.852,0.494,NaN,NaN
50,1833,7,-1.406,1.753,-0.847,0.923,-0.874,0.554,-0.850,0.490,NaN,NaN
51,1833,8,-0.749,1.770,-0.917,0.924,-0.871,0.562,-0.843,0.494,NaN,NaN
52,1833,9,-1.464,1.869,-0.662,0.898,-0.814,0.564,-0.833,0.500,NaN,NaN
53,1833,10,-1.244,1.748,-0.568,0.914,-0.810,0.567,-0.824,0.501,NaN,NaN
54,1833,11,2.862,1.996,-0.454,0.919,-0.826,0.574,-0.820,0.505,NaN,NaN
55,1833,12,-1.067,2.470,-0.427,0.926,-0.833,0.577,-0.804,0.507,NaN,NaN
56,1834,1,-3.139,2.135,-0.414,0.940,-0.831,0.587,-0.784,0.511,NaN,NaN
57,1834,2,0.064,2.120,-0.361,0.917,-0.829,0.597,-0.771,0.515,NaN,NaN
58,1834,3,1.537,1.745,-0.294,0.921,-0.809,0.605,-0.792,0.522,NaN,NaN
59,1834,4,-0.288,1.961,-0.191,0.925,-0.767,0.606,-0.790,0.524,-0.637,0.481
60,1834,5,0.238,1.714,-0.298,0.901,-0.760,0.615,-0.786,0.529,-0.638,0.482
61,1834,6,-0.471,1.816,-0.246,0.915,-0.754,0.608,-0.783,0.529,-0.635,0.486
