,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1824,1,-0.606,2.060,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1824,2,-0.776,2.223,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1824,3,-0.472,1.480,-0.872,0.686,NaN,NaN,NaN,NaN,NaN,NaN
3,1824,4,0.243,1.309,-0.848,0.672,NaN,NaN,NaN,NaN,NaN,NaN
4,1824,5,-0.649,0.897,-0.767,0.626,NaN,NaN,NaN,NaN,NaN,NaN
5,1824,6,-0.579,1.874,-0.699,0.825,NaN,NaN,NaN,NaN,NaN,NaN
6,1824,7,-0.454,1.602,-0.675,0.898,NaN,NaN,NaN,NaN,NaN,NaN
7,1824,8,-1.191,0.706,-0.645,0.777,NaN,NaN,NaN,NaN,NaN,NaN
8,1824,9,-1.119,1.968,-0.590,0.648,NaN,NaN,NaN,NaN,NaN,NaN
9,1824,10,-1.484,1.338,-0.554,0.631,NaN,NaN,NaN,NaN,NaN,NaN
10,1824,11,-0.711,1.943,-0.495,0.567,NaN,NaN,NaN,NaN,NaN,NaN
11,1824,12,-0.586,3.953,-0.457,0.688,NaN,NaN,NaN,NaN,NaN,NaN
12,1825,1,-0.315,2.522,-0.446,0.702,NaN,NaN,NaN,NaN,NaN,NaN
13,1825,2,-0.421,1.447,-0.404,0.660,NaN,NaN,NaN,NaN,NaN,NaN
14,1825,3,0.186,2.363,-0.416,0.713,NaN,NaN,NaN,NaN,NaN,NaN
15,1825,4,0.671,1.337,-0.381,0.720,-0.698,0.492,NaN,NaN,NaN,NaN
16,1825,5,0.064,2.091,-0.355,0.804,-0.669,0.495,NaN,NaN,NaN,NaN
17,1825,6,-0.126,1.388,-0.327,0.822,-0.628,0.486,NaN,NaN,NaN,NaN
18,1825,7,-0.319,1.738,-0.295,0.909,-0.635,0.473,NaN,NaN,NaN,NaN
19,1825,8,-0.685,1.646,-0.354,0.936,-0.639,0.463,NaN,NaN,NaN,NaN
20,1825,9,-1.268,1.249,-0.480,0.772,-0.634,0.453,NaN,NaN,NaN,NaN
21,1825,10,-1.065,1.502,-0.571,0.728,-0.621,0.460,NaN,NaN,NaN,NaN
