,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1750,1,-2.202,2.403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1750,2,-1.344,2.094,-0.794,1.047,NaN,NaN,NaN,NaN,NaN,NaN
2,1750,3,1.730,2.100,-0.759,1.084,NaN,NaN,NaN,NaN,NaN,NaN
3,1750,4,0.301,1.703,-0.659,1.107,NaN,NaN,NaN,NaN,NaN,NaN
4,1750,5,-1.690,1.689,-0.806,1.201,NaN,NaN,NaN,NaN,NaN,NaN
5,1750,6,0.224,1.858,-0.769,1.225,NaN,NaN,NaN,NaN,NaN,NaN
6,1750,7,0.149,2.940,-0.778,1.272,NaN,NaN,NaN,NaN,NaN,NaN
7,1750,8,0.396,2.555,-0.934,1.224,NaN,NaN,NaN,NaN,NaN,NaN
8,1750,9,-0.381,2.364,-0.998,1.223,NaN,NaN,NaN,NaN,NaN,NaN
9,1750,10,-0.428,1.675,-1.182,1.253,NaN,NaN,NaN,NaN,NaN,NaN
10,1750,11,-3.252,1.984,-1.132,1.195,NaN,NaN,NaN,NaN,NaN,NaN
11,1750,12,-2.731,2.721,-1.207,1.208,NaN,NaN,NaN,NaN,NaN,NaN
12,1751,1,-2.305,2.788,-1.139,1.178,NaN,NaN,NaN,NaN,NaN,NaN
13,1751,2,-3.218,1.421,-1.082,1.189,NaN,NaN,NaN,NaN,NaN,NaN
14,1751,3,0.955,1.657,-1.064,1.178,NaN,NaN,NaN,NaN,NaN,NaN
15,1751,4,-1.906,1.618,-1.108,1.926,NaN,NaN,NaN,NaN,NaN,NaN
16,1751,5,-1.086,1.429,-1.135,2.223,NaN,NaN,NaN,NaN,NaN,NaN
17,1751,6,-0.682,2.038,-1.147,0.730,NaN,NaN,NaN,NaN,NaN,NaN
18,1751,7,0.976,1.492,-1.079,0.782,NaN,NaN,NaN,NaN,NaN,NaN
19,1751,8,1.075,2.714,-0.721,0.705,NaN,NaN,NaN,NaN,NaN,NaN
20,1751,9,-0.168,2.028,-0.793,0.690,NaN,NaN,NaN,NaN,NaN,NaN
21,1751,10,-0.955,9.444,-0.743,0.699,NaN,NaN,NaN,NaN,NaN,NaN
22,1751,11,-3.573,4.877,-0.725,0.647,NaN,NaN,NaN,NaN,NaN,NaN
23,1751,12,-2.882,1.417,-0.501,0.583,NaN,NaN,NaN,NaN,NaN,NaN
24,1752,1,-1.489,1.952,-0.553,0.872,NaN,NaN,NaN,NaN,NaN,NaN
25,1752,2,1.077,1.435,-0.755,0.736,NaN,NaN,NaN,NaN,NaN,NaN
26,1752,3,0.092,2.235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1752,4,-1.299,2.514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1752,5,-0.869,1.323,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1752,6,2.003,1.175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1752,7,0.347,1.346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1752,8,-1.341,1.415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1752,10,-0.294,2.324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1752,11,-0.710,2.952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1752,12,-1.721,1.306,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1753,1,-2.368,4.522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1753,2,-1.567,6.228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1753,3,0.696,3.782,-0.395,1.345,NaN,NaN,NaN,NaN,NaN,NaN
39,1753,4,0.238,5.301,-0.415,1.276,NaN,NaN,NaN,NaN,NaN,NaN
40,1753,5,0.142,2.453,-0.526,1.187,NaN,NaN,NaN,NaN,NaN,NaN
41,1753,6,1.506,3.367,-0.512,0.953,NaN,NaN,NaN,NaN,NaN,NaN
42,1753,7,0.672,1.568,-0.455,0.774,NaN,NaN,NaN,NaN,NaN,NaN
43,1753,8,-0.857,3.960,-0.583,0.754,NaN,NaN,NaN,NaN,NaN,NaN
44,1753,9,-0.482,1.354,-0.935,0.819,NaN,NaN,NaN,NaN,NaN,NaN
45,1753,10,-0.529,3.283,-0.924,0.863,NaN,NaN,NaN,NaN,NaN,NaN
46,1753,11,-2.042,3.663,-0.869,0.921,NaN,NaN,NaN,NaN,NaN,NaN
47,1753,12,-1.558,7.402,-0.904,0.818,NaN,NaN,NaN,NaN,NaN,NaN
48,1754,1,-1.680,5.191,-0.979,0.943,NaN,NaN,NaN,NaN,NaN,NaN
49,1754,2,-3.100,6.906,-0.882,0.940,NaN,NaN,NaN,NaN,NaN,NaN
50,1754,3,-3.534,3.319,-0.904,0.999,NaN,NaN,NaN,NaN,NaN,NaN
51,1754,4,0.378,2.699,-0.803,1.082,NaN,NaN,NaN,NaN,NaN,NaN
52,1754,5,0.802,7.136,-0.592,1.278,NaN,NaN,NaN,NaN,NaN,NaN
53,1754,6,1.081,5.990,-0.515,0.978,NaN,NaN,NaN,NaN,NaN,NaN
54,1754,7,-0.223,2.494,-0.719,1.037,NaN,NaN,NaN,NaN,NaN,NaN
55,1754,8,0.301,2.288,-0.816,1.008,NaN,NaN,NaN,NaN,NaN,NaN
56,1754,9,-0.741,2.764,-0.585,0.965,NaN,NaN,NaN,NaN,NaN,NaN
57,1754,10,0.683,1.955,-0.310,1.467,NaN,NaN,NaN,NaN,NaN,NaN
58,1754,11,0.493,2.562,-0.369,1.227,NaN,NaN,NaN,NaN,NaN,NaN
59,1754,12,-0.641,2.530,-0.259,1.373,NaN,NaN,NaN,NaN,NaN,NaN
60,1755,1,-4.127,4.274,-0.242,1.421,NaN,NaN,NaN,NaN,NaN,NaN
61,1755,2,-4.266,4.905,-0.384,1.480,NaN,NaN,NaN,NaN,NaN,NaN
62,1755,3,-0.755,3.426,-0.452,1.716,-0.421,1.347,NaN,NaN,NaN,NaN
63,1755,4,3.674,3.813,-0.507,1.918,-0.473,1.372,NaN,NaN,NaN,NaN
64,1755,5,0.099,4.338,-0.732,2.248,-0.498,1.358,NaN,NaN,NaN,NaN
