,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1880,8,-0.242,1.374,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1880,9,-0.137,1.032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1880,10,0.033,1.183,-0.037,0.548,NaN,NaN,NaN,NaN,NaN,NaN
3,1880,11,-0.192,0.941,-0.007,0.538,NaN,NaN,NaN,NaN,NaN,NaN
4,1880,12,-0.621,1.247,-0.010,0.532,NaN,NaN,NaN,NaN,NaN,NaN
5,1881,1,0.603,1.035,0.017,0.525,NaN,NaN,NaN,NaN,NaN,NaN
6,1881,2,0.010,1.164,0.085,0.520,NaN,NaN,NaN,NaN,NaN,NaN
7,1881,3,-0.145,1.210,0.109,0.524,NaN,NaN,NaN,NaN,NaN,NaN
8,1881,4,0.701,0.976,0.126,0.515,NaN,NaN,NaN,NaN,NaN,NaN
9,1881,5,0.144,1.037,0.113,0.511,NaN,NaN,NaN,NaN,NaN,NaN
10,1881,6,-0.249,1.627,0.131,0.503,NaN,NaN,NaN,NaN,NaN,NaN
11,1881,7,0.300,0.945,0.034,0.499,NaN,NaN,NaN,NaN,NaN,NaN
12,1881,8,0.572,1.440,-0.105,0.477,NaN,NaN,NaN,NaN,NaN,NaN
13,1881,9,0.150,1.006,-0.199,0.474,NaN,NaN,NaN,NaN,NaN,NaN
14,1881,10,0.244,1.029,-0.278,0.483,-0.384,0.346,NaN,NaN,NaN,NaN
15,1881,11,-0.348,1.234,-0.369,0.479,-0.406,0.347,NaN,NaN,NaN,NaN
16,1881,12,-0.409,1.115,-0.416,0.476,-0.418,0.347,NaN,NaN,NaN,NaN
17,1882,1,-0.563,1.111,-0.522,0.480,-0.435,0.343,NaN,NaN,NaN,NaN
18,1882,2,-1.657,0.888,-0.586,0.457,-0.434,0.344,NaN,NaN,NaN,NaN
19,1882,3,-1.278,0.954,-0.622,0.450,-0.430,0.338,NaN,NaN,NaN,NaN
20,1882,4,-0.241,0.986,-0.698,0.466,-0.436,0.340,NaN,NaN,NaN,NaN
