,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1825,1,-1.186,2.614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1825,2,-1.318,1.816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1825,3,-1.059,2.302,-0.647,0.482,NaN,NaN,NaN,NaN,NaN,NaN
3,1825,4,-0.348,2.729,-0.594,0.490,NaN,NaN,NaN,NaN,NaN,NaN
4,1825,5,-0.274,1.808,-0.578,0.495,NaN,NaN,NaN,NaN,NaN,NaN
5,1825,6,0.028,1.576,-0.736,0.424,NaN,NaN,NaN,NaN,NaN,NaN
6,1825,7,0.321,2.926,-0.683,0.519,NaN,NaN,NaN,NaN,NaN,NaN
7,1825,8,-0.804,1.960,-0.710,0.548,NaN,NaN,NaN,NaN,NaN,NaN
8,1825,9,-0.999,1.444,-0.688,0.578,NaN,NaN,NaN,NaN,NaN,NaN
9,1825,10,-0.907,1.980,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1825,11,-0.885,2.852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1825,12,-1.394,1.942,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1826,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1826,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1826,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1826,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,1826,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1826,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,1826,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,1826,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,1826,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,1826,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,1826,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,1826,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,1827,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,1827,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,1827,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1827,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1827,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1827,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1827,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1827,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1827,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1827,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1827,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1827,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1828,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1828,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1828,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,1828,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,1828,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,1828,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,1828,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,1828,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,1828,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,1828,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,1828,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,1828,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,1829,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,1829,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,1829,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,1829,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,1829,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,1829,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,1829,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,1829,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56,1829,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57,1829,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58,1829,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,1829,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,1830,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61,1830,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62,1830,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63,1830,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64,1830,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,1830,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66,1830,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
67,1830,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68,1830,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69,1830,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,1830,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71,1830,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
72,1831,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73,1831,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
74,1831,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,1831,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
76,1831,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
77,1831,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78,1831,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79,1831,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,1831,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81,1831,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82,1831,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83,1831,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
84,1832,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,1832,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
86,1832,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
87,1832,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
88,1832,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89,1832,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,1832,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91,1832,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
92,1832,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93,1832,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
