,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1750,1,-0.391,2.629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1750,2,0.243,2.714,-0.313,1.203,NaN,NaN,NaN,NaN,NaN,NaN
2,1750,3,2.043,2.311,-0.310,1.236,NaN,NaN,NaN,NaN,NaN,NaN
3,1750,4,0.390,1.720,-0.307,1.250,NaN,NaN,NaN,NaN,NaN,NaN
4,1750,5,-1.282,2.056,-0.574,1.350,NaN,NaN,NaN,NaN,NaN,NaN
5,1750,6,0.045,2.066,-0.623,1.358,NaN,NaN,NaN,NaN,NaN,NaN
6,1750,7,0.628,3.431,-0.735,1.417,NaN,NaN,NaN,NaN,NaN,NaN
7,1750,8,0.539,2.744,-1.046,1.378,NaN,NaN,NaN,NaN,NaN,NaN
8,1750,9,-0.446,2.559,-1.112,1.391,NaN,NaN,NaN,NaN,NaN,NaN
9,1750,10,-1.658,1.999,-1.287,1.437,NaN,NaN,NaN,NaN,NaN,NaN
10,1750,11,-4.607,2.301,-1.239,1.388,NaN,NaN,NaN,NaN,NaN,NaN
11,1750,12,-2.976,3.018,-1.309,1.420,NaN,NaN,NaN,NaN,NaN,NaN
12,1751,1,-1.739,3.274,-1.268,1.391,NaN,NaN,NaN,NaN,NaN,NaN
13,1751,2,-3.489,1.922,-1.239,1.402,NaN,NaN,NaN,NaN,NaN,NaN
14,1751,3,1.257,2.162,-1.223,1.384,NaN,NaN,NaN,NaN,NaN,NaN
15,1751,4,-1.709,1.839,-1.204,2.058,NaN,NaN,NaN,NaN,NaN,NaN
16,1751,5,-0.714,1.931,-1.097,2.314,NaN,NaN,NaN,NaN,NaN,NaN
17,1751,6,-0.788,2.815,-1.032,0.894,NaN,NaN,NaN,NaN,NaN,NaN
18,1751,7,1.120,1.708,-0.998,0.906,NaN,NaN,NaN,NaN,NaN,NaN
19,1751,8,0.882,3.497,-0.632,0.801,NaN,NaN,NaN,NaN,NaN,NaN
20,1751,9,-0.249,2.458,-0.695,0.780,NaN,NaN,NaN,NaN,NaN,NaN
21,1751,10,-1.437,9.277,-0.635,0.807,NaN,NaN,NaN,NaN,NaN,NaN
22,1751,11,-3.318,4.809,-0.636,0.757,NaN,NaN,NaN,NaN,NaN,NaN
23,1751,12,-2.204,1.591,-0.467,0.649,NaN,NaN,NaN,NaN,NaN,NaN
24,1752,1,-1.331,1.900,-0.474,0.896,NaN,NaN,NaN,NaN,NaN,NaN
25,1752,2,0.905,1.556,-0.600,0.715,NaN,NaN,NaN,NaN,NaN,NaN
26,1752,3,0.503,2.123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1752,4,-0.984,2.773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1752,5,-0.728,1.571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1752,6,1.235,1.362,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1752,7,1.035,1.449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1752,8,-0.622,1.503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1752,10,-0.370,2.419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1752,11,-0.344,3.167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1752,12,-1.155,1.573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
