,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1750,1,-1.729,2.530,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1750,2,-0.832,2.352,-0.601,1.130,NaN,NaN,NaN,NaN,NaN,NaN
2,1750,3,1.975,2.274,-0.570,1.168,NaN,NaN,NaN,NaN,NaN,NaN
3,1750,4,0.373,1.673,-0.488,1.182,NaN,NaN,NaN,NaN,NaN,NaN
4,1750,5,-1.488,1.836,-0.657,1.279,NaN,NaN,NaN,NaN,NaN,NaN
5,1750,6,0.217,1.934,-0.642,1.294,NaN,NaN,NaN,NaN,NaN,NaN
6,1750,7,0.376,3.154,-0.671,1.347,NaN,NaN,NaN,NaN,NaN,NaN
7,1750,8,0.486,2.639,-0.870,1.293,NaN,NaN,NaN,NaN,NaN,NaN
8,1750,9,-0.393,2.536,-0.941,1.293,NaN,NaN,NaN,NaN,NaN,NaN
9,1750,10,-0.618,1.738,-1.128,1.330,NaN,NaN,NaN,NaN,NaN,NaN
10,1750,11,-3.532,2.054,-1.079,1.270,NaN,NaN,NaN,NaN,NaN,NaN
11,1750,12,-2.534,2.873,-1.153,1.293,NaN,NaN,NaN,NaN,NaN,NaN
12,1751,1,-2.079,2.992,-1.095,1.258,NaN,NaN,NaN,NaN,NaN,NaN
13,1751,2,-3.225,1.532,-1.040,1.269,NaN,NaN,NaN,NaN,NaN,NaN
14,1751,3,1.121,1.793,-1.022,1.249,NaN,NaN,NaN,NaN,NaN,NaN
15,1751,4,-1.862,1.621,-1.050,2.006,NaN,NaN,NaN,NaN,NaN,NaN
16,1751,5,-0.912,1.573,-1.047,2.308,NaN,NaN,NaN,NaN,NaN,NaN
17,1751,6,-0.667,2.317,-1.046,0.799,NaN,NaN,NaN,NaN,NaN,NaN
18,1751,7,1.072,1.533,-0.975,0.837,NaN,NaN,NaN,NaN,NaN,NaN
19,1751,8,1.153,2.996,-0.622,0.742,NaN,NaN,NaN,NaN,NaN,NaN
20,1751,9,-0.184,2.155,-0.696,0.727,NaN,NaN,NaN,NaN,NaN,NaN
21,1751,10,-0.951,9.684,-0.638,0.743,NaN,NaN,NaN,NaN,NaN,NaN
22,1751,11,-3.497,5.006,-0.629,0.689,NaN,NaN,NaN,NaN,NaN,NaN
23,1751,12,-2.519,1.546,-0.418,0.602,NaN,NaN,NaN,NaN,NaN,NaN
24,1752,1,-1.226,1.963,-0.461,0.906,NaN,NaN,NaN,NaN,NaN,NaN
25,1752,2,1.008,1.452,-0.649,0.755,NaN,NaN,NaN,NaN,NaN,NaN
26,1752,3,0.231,2.255,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1752,4,-1.163,2.624,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1752,5,-0.807,1.387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1752,6,1.864,1.207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1752,7,0.558,1.361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1752,8,-1.098,1.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1752,10,-0.216,2.368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1752,11,-0.622,3.077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1752,12,-1.380,1.415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1753,1,-2.084,4.582,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1753,2,-1.306,6.199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1753,3,0.936,3.844,-0.305,1.412,NaN,NaN,NaN,NaN,NaN,NaN
39,1753,4,0.375,5.344,-0.319,1.352,NaN,NaN,NaN,NaN,NaN,NaN
40,1753,5,0.258,2.468,-0.433,1.259,NaN,NaN,NaN,NaN,NaN,NaN
41,1753,6,1.155,3.373,-0.454,0.998,NaN,NaN,NaN,NaN,NaN,NaN
42,1753,7,0.595,1.549,-0.385,0.803,NaN,NaN,NaN,NaN,NaN,NaN
43,1753,8,-0.838,4.105,-0.500,0.769,NaN,NaN,NaN,NaN,NaN,NaN
44,1753,9,-0.532,1.358,-0.860,0.838,NaN,NaN,NaN,NaN,NaN,NaN
45,1753,10,-0.388,3.416,-0.862,0.879,NaN,NaN,NaN,NaN,NaN,NaN
46,1753,11,-1.983,3.738,-0.801,0.931,NaN,NaN,NaN,NaN,NaN,NaN
47,1753,12,-1.639,7.682,-0.820,0.822,NaN,NaN,NaN,NaN,NaN,NaN
48,1754,1,-1.251,5.166,-0.892,0.944,NaN,NaN,NaN,NaN,NaN,NaN
49,1754,2,-2.685,6.774,-0.803,0.930,NaN,NaN,NaN,NaN,NaN,NaN
50,1754,3,-3.392,3.356,-0.826,0.984,NaN,NaN,NaN,NaN,NaN,NaN
51,1754,4,0.352,2.771,-0.737,1.060,NaN,NaN,NaN,NaN,NaN,NaN
52,1754,5,0.988,7.274,-0.544,1.263,NaN,NaN,NaN,NaN,NaN,NaN
53,1754,6,0.926,6.177,-0.444,0.985,NaN,NaN,NaN,NaN,NaN,NaN
54,1754,7,-0.268,2.572,-0.661,1.028,NaN,NaN,NaN,NaN,NaN,NaN
55,1754,8,0.232,2.327,-0.798,0.994,NaN,NaN,NaN,NaN,NaN,NaN
56,1754,9,-0.805,2.841,-0.582,0.959,NaN,NaN,NaN,NaN,NaN,NaN
57,1754,10,0.674,1.974,-0.322,1.481,NaN,NaN,NaN,NaN,NaN,NaN
58,1754,11,0.338,2.680,-0.388,1.254,NaN,NaN,NaN,NaN,NaN,NaN
59,1754,12,-0.437,2.517,-0.277,1.394,NaN,NaN,NaN,NaN,NaN,NaN
60,1755,1,-3.855,4.183,-0.232,1.457,NaN,NaN,NaN,NaN,NaN,NaN
61,1755,2,-4.330,4.915,-0.362,1.518,NaN,NaN,NaN,NaN,NaN,NaN
62,1755,3,-0.806,3.398,-0.432,1.750,-0.331,1.425,NaN,NaN,NaN,NaN
63,1755,4,3.474,3.916,-0.484,1.960,-0.388,1.453,NaN,NaN,NaN,NaN
64,1755,5,0.197,4.417,-0.684,2.283,-0.406,1.435,NaN,NaN,NaN,NaN
65,1755,6,2.261,8.169,-0.649,1.891,-0.412,1.493,NaN,NaN,NaN,NaN
66,1755,7,0.271,3.101,-0.311,1.748,-0.445,1.379,NaN,NaN,NaN,NaN
67,1755,8,-1.322,2.506,0.137,2.528,-0.471,1.401,NaN,NaN,NaN,NaN
68,1755,9,-1.651,2.958,0.245,2.532,-0.493,1.384,NaN,NaN,NaN,NaN
69,1755,10,0.048,4.675,-0.114,2.337,-0.507,1.366,NaN,NaN,NaN,NaN
70,1755,11,-2.056,3.706,-0.131,1.993,-0.517,1.357,NaN,NaN,NaN,NaN
71,1755,12,-0.019,6.151,-0.190,1.839,-0.526,1.353,NaN,NaN,NaN,NaN
72,1756,1,0.203,3.000,-0.207,1.752,-0.567,1.392,NaN,NaN,NaN,NaN
73,1756,2,1.043,6.123,-0.055,1.975,-0.571,1.351,NaN,NaN,NaN,NaN
74,1756,3,0.494,8.005,0.062,1.820,-0.599,1.363,NaN,NaN,NaN,NaN
75,1756,4,-0.839,2.000,0.003,1.967,-0.635,1.334,NaN,NaN,NaN,NaN
76,1756,5,-0.007,4.459,-0.072,2.002,-0.613,1.304,NaN,NaN,NaN,NaN
77,1756,6,1.551,5.819,-0.230,2.082,-0.585,1.421,NaN,NaN,NaN,NaN
78,1756,7,0.072,1.701,-0.453,1.999,-0.541,1.488,NaN,NaN,NaN,NaN
79,1756,8,0.502,4.020,-0.534,1.976,-0.474,1.592,NaN,NaN,NaN,NaN
80,1756,9,-0.240,1.924,-0.629,1.723,-0.414,1.615,NaN,NaN,NaN,NaN
81,1756,10,-0.669,2.668,-0.482,2.032,-0.419,1.610,NaN,NaN,NaN,NaN
82,1756,11,-2.951,1.844,-0.399,2.412,-0.449,1.619,NaN,NaN,NaN,NaN
83,1756,12,-1.915,7.617,-0.384,2.505,-0.453,1.554,NaN,NaN,NaN,NaN
84,1757,1,-2.471,3.374,-0.162,3.124,-0.429,1.540,NaN,NaN,NaN,NaN
85,1757,2,0.061,5.651,-0.079,3.051,-0.437,1.541,NaN,NaN,NaN,NaN
86,1757,3,-0.642,4.124,-0.153,3.181,-0.428,1.525,NaN,NaN,NaN,NaN
87,1757,4,0.927,7.516,-0.403,2.857,-0.440,1.532,NaN,NaN,NaN,NaN
88,1757,5,0.984,5.486,-0.300,2.779,-0.512,1.582,NaN,NaN,NaN,NaN
89,1757,6,1.736,6.684,-0.285,2.239,-0.531,1.558,NaN,NaN,NaN,NaN
90,1757,7,2.734,9.400,-0.415,2.322,-0.488,1.544,NaN,NaN,NaN,NaN
91,1757,8,1.495,5.606,-0.662,1.856,-0.440,1.600,NaN,NaN,NaN,NaN
92,1757,9,-1.121,4.316,-0.639,1.620,-0.452,1.529,-0.416,1.312,NaN,NaN
93,1757,10,-3.675,6.509,-0.754,1.493,-0.484,1.450,-0.425,1.307,NaN,NaN
94,1757,11,-1.712,1.992,-0.867,1.371,-0.480,1.402,-0.427,1.312,NaN,NaN
