,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1880,8,-0.237,1.238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1880,9,-0.010,1.478,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1880,10,-0.264,0.977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1880,11,-0.286,0.866,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1880,12,-0.046,1.355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1881,1,-0.467,1.328,-0.000,0.533,NaN,NaN,NaN,NaN,NaN,NaN
6,1881,2,0.088,1.150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,1881,3,0.541,1.663,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,1881,4,0.634,1.049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,1881,5,0.408,0.904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1881,6,-0.575,0.876,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1881,7,0.210,0.890,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1881,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1881,9,0.165,1.230,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1881,10,0.325,1.237,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1881,11,-0.260,1.208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,1881,12,-0.285,1.080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1882,1,0.409,0.954,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,1882,2,0.343,0.844,-0.078,0.438,NaN,NaN,NaN,NaN,NaN,NaN
19,1882,3,-0.179,0.884,-0.094,0.412,NaN,NaN,NaN,NaN,NaN,NaN
20,1882,4,-0.109,0.930,-0.152,0.384,NaN,NaN,NaN,NaN,NaN,NaN
21,1882,5,0.333,1.068,-0.203,0.369,NaN,NaN,NaN,NaN,NaN,NaN
22,1882,6,-0.506,0.769,-0.266,0.389,NaN,NaN,NaN,NaN,NaN,NaN
23,1882,7,-0.885,1.235,-0.338,0.414,NaN,NaN,NaN,NaN,NaN,NaN
24,1882,8,-0.290,1.096,-0.403,0.454,NaN,NaN,NaN,NaN,NaN,NaN
25,1882,9,-0.027,0.948,-0.389,0.461,NaN,NaN,NaN,NaN,NaN,NaN
26,1882,10,-0.370,0.851,-0.385,0.466,NaN,NaN,NaN,NaN,NaN,NaN
27,1882,11,-0.874,0.932,-0.422,0.424,NaN,NaN,NaN,NaN,NaN,NaN
28,1882,12,-1.032,1.209,-0.388,0.409,NaN,NaN,NaN,NaN,NaN,NaN
29,1883,1,-0.456,1.003,-0.427,0.363,NaN,NaN,NaN,NaN,NaN,NaN
30,1883,2,-0.437,1.346,-0.437,0.385,NaN,NaN,NaN,NaN,NaN,NaN
31,1883,3,-0.014,0.988,-0.461,0.393,NaN,NaN,NaN,NaN,NaN,NaN
32,1883,4,-0.059,0.920,-0.425,0.376,NaN,NaN,NaN,NaN,NaN,NaN
33,1883,5,-0.112,0.810,-0.416,0.404,NaN,NaN,NaN,NaN,NaN,NaN
34,1883,6,-0.095,0.806,-0.373,0.381,NaN,NaN,NaN,NaN,NaN,NaN
35,1883,7,-1.360,2.243,-0.375,0.376,NaN,NaN,NaN,NaN,NaN,NaN
36,1883,8,-0.405,0.764,-0.374,0.364,NaN,NaN,NaN,NaN,NaN,NaN
37,1883,9,-0.314,1.023,-0.416,0.354,NaN,NaN,NaN,NaN,NaN,NaN
38,1883,10,0.062,0.744,-0.458,0.347,NaN,NaN,NaN,NaN,NaN,NaN
