,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1857,1,-1.355,1.602,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1857,2,-0.676,1.428,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1857,3,-1.401,1.358,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1857,4,-1.806,1.195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1857,5,-1.113,1.676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1857,6,-1.185,1.370,-0.969,0.664,NaN,NaN,NaN,NaN,NaN,NaN
6,1857,7,-0.810,1.195,-0.932,0.699,NaN,NaN,NaN,NaN,NaN,NaN
7,1857,8,-0.033,1.894,-0.977,0.665,NaN,NaN,NaN,NaN,NaN,NaN
8,1857,9,-0.634,1.831,-0.956,0.649,NaN,NaN,NaN,NaN,NaN,NaN
9,1857,10,-1.013,1.341,-0.784,0.684,NaN,NaN,NaN,NaN,NaN,NaN
10,1857,11,-0.661,1.635,-0.744,0.624,NaN,NaN,NaN,NaN,NaN,NaN
11,1857,12,-0.939,1.315,-0.637,0.661,NaN,NaN,NaN,NaN,NaN,NaN
12,1858,1,-0.916,1.572,-0.692,0.624,NaN,NaN,NaN,NaN,NaN,NaN
13,1858,2,-1.209,1.259,-0.718,0.611,NaN,NaN,NaN,NaN,NaN,NaN
14,1858,3,-1.153,1.621,-0.725,0.609,NaN,NaN,NaN,NaN,NaN,NaN
15,1858,4,0.259,1.547,-0.684,0.602,NaN,NaN,NaN,NaN,NaN,NaN
16,1858,5,-0.630,1.176,-0.644,0.613,NaN,NaN,NaN,NaN,NaN,NaN
17,1858,6,0.091,1.363,-0.661,0.615,NaN,NaN,NaN,NaN,NaN,NaN
18,1858,7,-1.463,1.797,-0.666,0.623,-0.761,0.472,NaN,NaN,NaN,NaN
19,1858,8,-0.346,1.488,-0.671,0.626,-0.778,0.494,NaN,NaN,NaN,NaN
20,1858,9,-0.719,1.697,-0.636,0.619,-0.782,0.519,NaN,NaN,NaN,NaN
21,1858,10,-0.526,1.187,-0.677,0.586,-0.786,0.529,NaN,NaN,NaN,NaN
22,1858,11,-0.184,1.163,-0.613,0.609,-0.784,0.527,NaN,NaN,NaN,NaN
23,1858,12,-1.142,1.492,-0.625,0.608,-0.787,0.516,NaN,NaN,NaN,NaN
24,1859,1,-0.968,1.273,-0.567,0.648,-0.786,0.532,NaN,NaN,NaN,NaN
25,1859,2,-1.269,1.447,-0.579,0.639,-0.774,0.537,NaN,NaN,NaN,NaN
26,1859,3,-0.741,1.336,-0.565,0.638,-0.748,0.530,NaN,NaN,NaN,NaN
27,1859,4,-0.224,1.370,-0.569,0.680,-0.736,0.551,NaN,NaN,NaN,NaN
28,1859,5,0.140,1.274,-0.624,0.694,-0.737,0.550,NaN,NaN,NaN,NaN
29,1859,6,-0.055,1.364,-0.570,0.619,-0.739,0.555,-0.736,0.547,NaN,NaN
30,1859,7,-0.765,1.378,-0.579,0.605,-0.744,0.596,-0.740,0.547,NaN,NaN
31,1859,8,-0.495,1.308,-0.496,0.556,-0.753,0.575,-0.741,0.549,NaN,NaN
32,1859,9,-0.553,1.877,-0.527,0.562,-0.754,0.581,-0.735,0.543,NaN,NaN
33,1859,10,-0.575,1.516,-0.560,0.555,-0.737,0.607,-0.742,0.543,NaN,NaN
34,1859,11,-0.840,1.235,-0.598,0.501,-0.723,0.607,-0.745,0.544,NaN,NaN
35,1859,12,-0.494,1.579,-0.608,0.469,-0.709,0.628,-0.743,0.539,NaN,NaN
36,1860,1,-1.072,1.693,-0.616,0.422,-0.699,0.622,-0.744,0.534,NaN,NaN
37,1860,2,-0.281,1.011,-0.515,0.486,-0.717,0.618,-0.748,0.540,NaN,NaN
38,1860,3,-1.106,1.861,-0.600,0.452,-0.727,0.598,-0.740,0.542,NaN,NaN
39,1860,4,-0.621,1.148,-0.602,0.508,-0.732,0.583,-0.746,0.539,NaN,NaN
40,1860,5,-0.326,1.280,-0.677,0.686,-0.742,0.567,-0.746,0.537,NaN,NaN
41,1860,6,-0.175,1.033,-0.756,0.879,-0.735,0.607,-0.743,0.547,NaN,NaN
42,1860,7,-0.854,1.092,-0.775,0.906,-0.721,0.651,-0.730,0.541,NaN,NaN
43,1860,8,0.717,3.368,-0.919,1.149,-0.714,0.662,-0.721,0.543,NaN,NaN
44,1860,9,-1.578,1.279,-0.947,1.349,-0.717,0.668,-0.714,0.550,NaN,NaN
45,1860,10,-0.596,1.787,-0.956,1.385,-0.728,0.649,-0.703,0.547,NaN,NaN
46,1860,11,-1.733,2.129,-0.987,1.489,-0.734,0.657,-0.702,0.544,NaN,NaN
47,1860,12,-1.443,2.375,-0.979,1.540,-0.740,0.650,-0.691,0.550,NaN,NaN
48,1861,1,-1.305,2.635,-0.936,1.649,-0.718,0.681,-0.688,0.548,NaN,NaN
49,1861,2,-2.012,2.876,-1.003,1.458,-0.724,0.686,-0.683,0.546,NaN,NaN
50,1861,3,-1.439,2.615,-0.859,1.395,-0.738,0.688,-0.679,0.553,NaN,NaN
51,1861,4,-0.732,1.566,-0.857,1.409,-0.743,0.694,-0.678,0.554,NaN,NaN
52,1861,5,-0.688,1.022,-0.799,1.282,-0.763,0.696,-0.671,0.557,NaN,NaN
53,1861,6,-0.082,0.948,-0.741,1.140,-0.754,0.718,-0.674,0.556,NaN,NaN
54,1861,7,-0.335,1.886,-0.768,1.188,-0.748,0.726,-0.671,0.552,NaN,NaN
55,1861,8,-0.094,1.216,-0.700,0.952,-0.740,0.755,-0.665,0.550,NaN,NaN
56,1861,9,0.154,1.822,-0.703,0.840,-0.754,0.754,-0.656,0.552,NaN,NaN
57,1861,10,-0.573,1.951,-0.708,0.869,-0.781,0.780,-0.650,0.557,NaN,NaN
58,1861,11,-1.035,1.192,-0.673,0.923,-0.785,0.774,-0.643,0.561,NaN,NaN
59,1861,12,-0.757,1.301,-0.697,1.019,-0.793,0.770,-0.641,0.552,NaN,NaN
60,1862,1,-1.624,2.741,-0.688,0.880,-0.790,0.779,-0.629,0.565,NaN,NaN
61,1862,2,-1.189,1.284,-0.768,0.897,-0.784,0.786,-0.630,0.559,NaN,NaN
62,1862,3,-1.476,1.109,-0.884,0.896,-0.778,0.757,-0.629,0.556,NaN,NaN
63,1862,4,-0.793,1.989,-0.948,0.730,-0.774,0.758,-0.617,0.555,NaN,NaN
64,1862,5,-0.268,1.473,-0.969,0.701,-0.774,0.786,-0.613,0.549,NaN,NaN
65,1862,6,-0.370,1.516,-0.944,0.878,-0.769,0.795,-0.603,0.553,NaN,NaN
66,1862,7,-0.225,1.003,-0.819,0.846,-0.755,0.778,-0.594,0.559,NaN,NaN
67,1862,8,-1.065,1.551,-0.782,0.934,-0.761,0.797,-0.592,0.554,-0.597,0.420
68,1862,9,-1.235,1.008,-0.774,0.902,-0.743,0.804,-0.589,0.545,-0.597,0.417
69,1862,10,-1.337,1.002,-0.740,0.763,-0.740,0.798,-0.585,0.540,-0.595,0.418
70,1862,11,-1.285,1.234,-0.799,0.692,-0.737,0.822,-0.577,0.531,-0.592,0.418
