,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1819,7,-0.706,2.410,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1819,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1819,9,0.297,2.226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1819,10,-1.052,2.504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1819,11,-2.342,2.566,-0.999,0.909,NaN,NaN,NaN,NaN,NaN,NaN
5,1819,12,-1.044,1.955,-0.959,0.827,NaN,NaN,NaN,NaN,NaN,NaN
6,1820,1,-3.503,3.272,-0.890,0.788,NaN,NaN,NaN,NaN,NaN,NaN
7,1820,2,-0.604,2.750,-0.855,0.659,NaN,NaN,NaN,NaN,NaN,NaN
8,1820,3,-0.579,2.334,-0.918,0.661,NaN,NaN,NaN,NaN,NaN,NaN
9,1820,4,0.382,2.486,-0.955,0.654,NaN,NaN,NaN,NaN,NaN,NaN
10,1820,5,-0.051,1.611,-0.961,0.635,NaN,NaN,NaN,NaN,NaN,NaN
11,1820,6,-0.332,1.558,-1.111,0.636,NaN,NaN,NaN,NaN,NaN,NaN
12,1820,7,0.123,2.077,-0.844,0.608,NaN,NaN,NaN,NaN,NaN,NaN
13,1820,8,-1.551,2.563,-0.800,0.619,NaN,NaN,NaN,NaN,NaN,NaN
14,1820,9,-0.466,1.345,-0.780,0.653,NaN,NaN,NaN,NaN,NaN,NaN
15,1820,10,-1.497,1.921,-0.808,0.576,NaN,NaN,NaN,NaN,NaN,NaN
16,1820,11,-2.407,1.672,-0.803,0.592,-1.115,0.411,NaN,NaN,NaN,NaN
17,1820,12,-2.849,2.248,-0.826,0.627,-1.130,0.406,NaN,NaN,NaN,NaN
18,1821,1,-0.293,2.354,-0.879,0.695,-1.106,0.400,NaN,NaN,NaN,NaN
19,1821,2,-0.075,1.994,-0.809,0.707,-1.108,0.398,NaN,NaN,NaN,NaN
20,1821,3,-0.348,2.230,-0.937,0.730,-1.098,0.399,NaN,NaN,NaN,NaN
21,1821,4,0.051,2.286,-1.011,0.689,-1.075,0.401,NaN,NaN,NaN,NaN
22,1821,5,0.010,2.348,-1.011,0.673,-1.093,0.398,NaN,NaN,NaN,NaN
23,1821,6,-0.614,1.979,-0.890,0.663,-1.103,0.400,NaN,NaN,NaN,NaN
24,1821,7,-0.505,2.710,-0.974,0.757,-1.076,0.398,NaN,NaN,NaN,NaN
25,1821,8,-0.709,2.211,-0.997,0.754,-1.065,0.404,NaN,NaN,NaN,NaN
26,1821,9,NaN,NaN,-0.836,0.760,-1.019,0.412,NaN,NaN,NaN,NaN
