,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1764,1,-0.510,3.738,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1764,2,1.655,2.259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1764,3,-1.624,2.710,-0.870,1.420,NaN,NaN,NaN,NaN,NaN,NaN
3,1764,4,-1.090,5.246,-0.703,1.449,NaN,NaN,NaN,NaN,NaN,NaN
4,1764,5,0.130,2.807,-0.598,1.488,NaN,NaN,NaN,NaN,NaN,NaN
5,1764,6,-0.175,3.256,-0.485,1.379,NaN,NaN,NaN,NaN,NaN,NaN
6,1764,7,-1.329,4.405,-0.264,1.853,NaN,NaN,NaN,NaN,NaN,NaN
7,1764,8,-1.554,2.333,-0.464,1.761,NaN,NaN,NaN,NaN,NaN,NaN
8,1764,9,-1.235,4.340,-0.268,1.700,NaN,NaN,NaN,NaN,NaN,NaN
9,1764,10,-0.857,2.975,-0.157,1.678,NaN,NaN,NaN,NaN,NaN,NaN
10,1764,11,-0.493,3.245,-0.210,1.390,NaN,NaN,NaN,NaN,NaN,NaN
11,1764,12,1.265,3.648,-0.266,1.427,NaN,NaN,NaN,NaN,NaN,NaN
12,1765,1,2.140,10.121,-0.244,1.575,NaN,NaN,NaN,NaN,NaN,NaN
13,1765,2,-0.750,2.790,-0.153,1.584,NaN,NaN,NaN,NaN,NaN,NaN
14,1765,3,0.735,2.579,-0.104,1.416,-0.738,0.958,NaN,NaN,NaN,NaN
15,1765,4,0.240,2.578,-0.075,1.493,-0.693,1.001,NaN,NaN,NaN,NaN
16,1765,5,-0.510,2.163,-0.095,1.650,-0.649,0.996,NaN,NaN,NaN,NaN
17,1765,6,-0.841,2.641,-0.361,1.705,-0.631,1.026,NaN,NaN,NaN,NaN
18,1765,7,-1.068,4.032,-0.955,1.153,-0.638,1.003,NaN,NaN,NaN,NaN
19,1765,8,-0.462,2.431,-0.949,1.157,-0.671,0.992,NaN,NaN,NaN,NaN
20,1765,9,-0.647,2.155,-1.033,1.217,-0.670,1.008,NaN,NaN,NaN,NaN
21,1765,10,-0.514,2.037,-1.051,1.137,-0.656,1.014,NaN,NaN,NaN,NaN
22,1765,11,-0.732,3.060,-1.037,1.192,-0.640,0.995,NaN,NaN,NaN,NaN
