,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1796,1,0.449,3.531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1796,2,0.241,2.276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1796,3,-1.241,2.069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1796,4,-0.619,1.415,-0.317,1.229,NaN,NaN,NaN,NaN,NaN,NaN
4,1796,5,-0.139,1.484,-0.367,1.231,NaN,NaN,NaN,NaN,NaN,NaN
5,1796,6,-0.385,2.738,-0.529,1.155,NaN,NaN,NaN,NaN,NaN,NaN
6,1796,7,-0.829,1.906,-0.370,1.110,NaN,NaN,NaN,NaN,NaN,NaN
7,1796,8,-0.238,3.172,-0.134,0.967,NaN,NaN,NaN,NaN,NaN,NaN
8,1796,9,-0.340,3.079,-0.051,0.825,NaN,NaN,NaN,NaN,NaN,NaN
9,1796,10,-0.535,1.568,-0.064,0.680,NaN,NaN,NaN,NaN,NaN,NaN
10,1796,11,-0.983,2.818,-0.071,0.615,NaN,NaN,NaN,NaN,NaN,NaN
11,1796,12,-1.724,2.980,0.026,0.611,NaN,NaN,NaN,NaN,NaN,NaN
12,1797,1,NaN,NaN,0.068,0.586,NaN,NaN,NaN,NaN,NaN,NaN
13,1797,2,NaN,NaN,0.149,0.669,NaN,NaN,NaN,NaN,NaN,NaN
14,1797,3,-0.249,3.330,0.165,0.781,NaN,NaN,NaN,NaN,NaN,NaN
15,1797,4,-0.764,3.271,0.152,0.868,NaN,NaN,NaN,NaN,NaN,NaN
16,1797,5,-0.232,2.014,0.159,1.135,NaN,NaN,NaN,NaN,NaN,NaN
17,1797,6,0.784,1.868,0.274,1.055,NaN,NaN,NaN,NaN,NaN,NaN
18,1797,7,-0.326,1.837,0.074,1.238,NaN,NaN,NaN,NaN,NaN,NaN
19,1797,8,0.739,1.667,-0.131,1.121,NaN,NaN,NaN,NaN,NaN,NaN
20,1797,9,-0.153,2.985,-0.066,1.004,NaN,NaN,NaN,NaN,NaN,NaN
21,1797,10,-0.691,0.883,-0.030,1.005,NaN,NaN,NaN,NaN,NaN,NaN
22,1797,11,-0.897,1.704,-0.037,1.268,NaN,NaN,NaN,NaN,NaN,NaN
23,1797,12,-0.352,2.511,-0.077,1.307,-0.171,0.563,NaN,NaN,NaN,NaN
24,1798,1,-0.049,1.898,-0.001,1.328,-0.196,0.546,NaN,NaN,NaN,NaN
25,1798,2,0.616,2.652,-0.022,1.414,-0.203,0.560,NaN,NaN,NaN,NaN
26,1798,3,0.538,1.315,-0.034,1.271,-0.195,0.559,NaN,NaN,NaN,NaN
27,1798,4,NaN,NaN,0.004,1.285,-0.182,0.564,NaN,NaN,NaN,NaN
28,1798,5,NaN,NaN,0.039,1.234,-0.177,0.536,NaN,NaN,NaN,NaN
29,1798,6,0.308,1.392,0.003,0.985,-0.192,0.544,NaN,NaN,NaN,NaN
30,1798,7,0.582,2.021,-0.026,0.799,-0.189,0.504,NaN,NaN,NaN,NaN
31,1798,8,0.492,2.303,-0.184,0.529,-0.191,0.474,NaN,NaN,NaN,NaN
32,1798,9,-0.302,2.372,-0.295,0.633,-0.145,0.471,NaN,NaN,NaN,NaN
33,1798,10,-0.235,2.307,-0.289,0.566,-0.147,0.469,NaN,NaN,NaN,NaN
34,1798,11,-0.471,2.330,-0.261,0.594,-0.129,0.476,NaN,NaN,NaN,NaN
35,1798,12,-0.781,2.420,-0.274,0.641,-0.131,0.462,NaN,NaN,NaN,NaN
36,1799,1,-0.401,1.942,-0.391,0.696,-0.124,0.461,NaN,NaN,NaN,NaN
37,1799,2,-1.285,2.895,-0.428,0.911,-0.119,0.482,NaN,NaN,NaN,NaN
38,1799,3,-0.793,2.250,-0.441,1.063,-0.122,0.507,NaN,NaN,NaN,NaN
39,1799,4,-0.259,1.165,-0.419,1.296,-0.109,0.509,NaN,NaN,NaN,NaN
40,1799,5,0.018,1.287,-0.340,1.106,-0.103,0.559,NaN,NaN,NaN,NaN
41,1799,6,0.148,1.978,-0.352,1.124,-0.066,0.538,NaN,NaN,NaN,NaN
42,1799,7,-0.821,1.756,-0.336,1.147,-0.090,0.588,NaN,NaN,NaN,NaN
43,1799,8,0.049,1.709,-0.250,1.142,-0.123,0.563,NaN,NaN,NaN,NaN
44,1799,9,-0.456,2.097,-0.216,1.002,-0.094,0.514,0.014,0.460,NaN,NaN
45,1799,10,0.020,1.574,-0.146,1.024,-0.075,0.469,0.013,0.459,NaN,NaN
46,1799,11,NaN,NaN,-0.203,1.086,-0.085,0.441,0.020,0.466,NaN,NaN
47,1799,12,-0.928,2.618,-0.234,0.947,-0.089,0.439,0.019,0.460,NaN,NaN
48,1800,1,-0.209,1.893,-0.250,0.829,-0.078,0.439,0.014,0.453,NaN,NaN
49,1800,2,-0.253,3.468,-0.271,0.770,-0.092,0.441,-0.002,0.447,NaN,NaN
50,1800,3,-0.387,1.452,-0.313,0.664,-0.073,0.425,-0.007,0.445,NaN,NaN
51,1800,4,0.575,0.976,-0.327,0.639,-0.063,0.429,-0.025,0.448,NaN,NaN
52,1800,5,-0.666,0.938,-0.376,0.584,-0.061,0.430,-0.028,0.447,NaN,NaN
53,1800,6,-0.219,1.452,-0.355,0.621,-0.068,0.415,-0.016,0.441,NaN,NaN
54,1800,7,-1.009,1.169,-0.286,0.645,-0.078,0.421,-0.024,0.439,NaN,NaN
55,1800,8,-0.202,1.106,-0.258,0.687,-0.096,0.453,-0.020,0.440,NaN,NaN
56,1800,9,-0.960,1.227,-0.098,0.800,-0.103,0.455,-0.011,0.440,NaN,NaN
57,1800,10,-0.151,1.511,-0.207,0.878,-0.094,0.473,-0.014,0.439,NaN,NaN
58,1800,11,-0.106,2.192,-0.072,0.977,-0.091,0.487,-0.016,0.430,NaN,NaN
59,1800,12,-0.676,2.266,-0.094,0.925,-0.091,0.484,-0.013,0.433,NaN,NaN
60,1801,1,0.622,2.141,-0.047,0.870,-0.097,0.494,-0.016,0.420,NaN,NaN
61,1801,2,0.086,1.850,-0.024,0.707,-0.087,0.511,-0.022,0.419,NaN,NaN
62,1801,3,1.524,1.515,0.013,0.681,-0.072,0.552,-0.017,0.409,NaN,NaN
63,1801,4,NaN,NaN,0.047,0.717,-0.062,0.558,-0.016,0.396,NaN,NaN
64,1801,5,NaN,NaN,0.004,0.752,-0.059,0.539,-0.017,0.392,NaN,NaN
65,1801,6,-0.483,1.819,0.098,0.807,-0.050,0.550,-0.026,0.401,NaN,NaN
66,1801,7,-0.439,2.039,0.125,0.815,-0.030,0.521,-0.020,0.393,NaN,NaN
67,1801,8,0.071,3.012,0.208,0.777,-0.005,0.501,-0.015,0.404,NaN,NaN
68,1801,9,-0.516,1.691,0.205,0.791,0.003,0.513,-0.005,0.423,NaN,NaN
69,1801,10,0.260,3.072,0.299,0.885,0.024,0.527,-0.003,0.429,NaN,NaN
70,1801,11,-0.625,1.266,0.147,0.942,0.035,0.517,0.003,0.448,NaN,NaN
71,1801,12,0.456,1.984,0.236,0.824,0.043,0.505,0.018,0.432,NaN,NaN
72,1802,1,0.943,1.540,0.299,0.779,0.081,0.505,-0.009,0.450,NaN,NaN
73,1802,2,1.078,1.490,0.284,0.774,0.085,0.507,-0.043,0.432,NaN,NaN
74,1802,3,1.492,1.502,0.409,0.723,0.100,0.489,-0.046,0.414,NaN,NaN
75,1802,4,0.396,3.634,0.383,0.543,0.097,0.477,-0.050,0.400,NaN,NaN
76,1802,5,-0.871,1.291,0.366,0.448,0.101,0.490,-0.067,0.396,NaN,NaN
77,1802,6,0.584,2.220,0.265,0.457,0.107,0.475,-0.070,0.383,NaN,NaN
78,1802,7,0.320,1.391,0.133,0.485,0.114,0.462,-0.062,0.387,NaN,NaN
79,1802,8,-0.110,1.170,0.003,0.697,0.116,0.484,-0.070,0.382,NaN,NaN
80,1802,9,0.983,2.130,-0.111,0.776,0.129,0.477,-0.067,0.370,NaN,NaN
81,1802,10,-0.053,1.447,-0.128,0.796,0.106,0.494,-0.069,0.366,NaN,NaN
82,1802,11,-0.824,1.688,-0.065,0.741,0.122,0.490,-0.065,0.362,NaN,NaN
83,1802,12,-0.754,1.287,-0.089,0.633,0.138,0.477,-0.056,0.353,NaN,NaN
84,1803,1,-0.647,1.593,-0.095,0.635,0.148,0.479,-0.068,0.353,NaN,NaN
85,1803,2,-0.474,3.287,0.005,0.684,0.162,0.473,-0.081,0.364,NaN,NaN
86,1803,3,0.119,2.613,-0.027,0.785,0.173,0.462,-0.093,0.374,NaN,NaN
87,1803,4,0.194,1.444,0.005,0.678,0.154,0.463,-0.097,0.382,NaN,NaN
88,1803,5,-0.122,2.424,0.050,0.704,0.145,0.463,-0.112,0.381,NaN,NaN
89,1803,6,0.296,1.019,0.096,0.848,0.166,0.485,-0.117,0.379,NaN,NaN
90,1803,7,0.250,1.053,0.212,0.846,0.157,0.504,-0.120,0.374,NaN,NaN
91,1803,8,1.096,1.637,0.270,0.878,0.147,0.517,-0.131,0.370,NaN,NaN
92,1803,9,0.600,1.608,0.238,0.736,0.112,0.522,-0.130,0.378,NaN,NaN
93,1803,10,0.321,3.809,0.304,0.783,0.115,0.512,-0.133,0.385,NaN,NaN
94,1803,11,-0.276,1.333,0.368,0.856,0.095,0.526,-0.143,0.380,NaN,NaN
95,1803,12,-0.209,2.349,0.396,0.911,0.079,0.507,-0.154,0.393,NaN,NaN
96,1804,1,0.749,3.078,0.498,0.926,0.083,0.481,-0.169,0.396,NaN,NaN
97,1804,2,0.225,1.865,0.432,1.025,0.089,0.450,-0.176,0.398,NaN,NaN
98,1804,3,-0.272,1.500,0.417,1.018,0.112,0.428,-0.185,0.404,NaN,NaN
99,1804,4,0.990,1.692,0.380,0.785,0.102,0.410,-0.186,0.412,NaN,NaN
100,1804,5,0.644,1.684,0.460,0.726,0.110,0.400,-0.202,0.412,NaN,NaN
101,1804,6,0.639,1.303,0.431,0.517,0.101,0.401,NaN,NaN,NaN,NaN
102,1804,7,1.468,1.733,0.385,0.492,0.072,0.397,NaN,NaN,NaN,NaN
103,1804,8,0.304,1.520,0.359,0.504,0.037,0.386,NaN,NaN,NaN,NaN
104,1804,9,0.422,1.563,0.414,0.434,0.003,0.399,NaN,NaN,NaN,NaN
105,1804,10,-0.128,0.788,0.264,0.536,-0.025,0.410,NaN,NaN,NaN,NaN
106,1804,11,0.693,2.484,0.235,0.602,-0.049,0.420,NaN,NaN,NaN,NaN
107,1804,12,-0.563,2.125,0.242,0.794,-0.052,0.397,NaN,NaN,NaN,NaN
108,1805,1,0.196,2.045,0.084,0.773,-0.046,0.403,NaN,NaN,NaN,NaN
109,1805,2,-0.090,1.117,0.115,0.794,-0.047,0.385,NaN,NaN,NaN,NaN
110,1805,3,0.396,0.809,0.051,0.761,-0.061,0.366,NaN,NaN,NaN,NaN
111,1805,4,-0.810,2.158,-0.046,0.934,-0.075,0.359,NaN,NaN,NaN,NaN
112,1805,5,0.297,1.160,-0.155,0.713,-0.068,0.356,NaN,NaN,NaN,NaN
113,1805,6,0.727,2.391,-0.060,0.680,-0.045,0.358,NaN,NaN,NaN,NaN
114,1805,7,-0.429,1.559,-0.071,0.759,-0.058,0.344,NaN,NaN,NaN,NaN
