,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1845,1,-0.604,0.914,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1845,2,-0.924,2.629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1845,3,-0.949,0.666,-1.024,0.543,NaN,NaN,NaN,NaN,NaN,NaN
3,1845,4,-1.234,1.552,-1.108,0.542,NaN,NaN,NaN,NaN,NaN,NaN
4,1845,5,-0.859,0.654,-1.048,0.567,NaN,NaN,NaN,NaN,NaN,NaN
5,1845,6,-0.973,0.574,-1.072,0.596,NaN,NaN,NaN,NaN,NaN,NaN
6,1845,7,-0.488,0.689,-1.004,0.780,NaN,NaN,NaN,NaN,NaN,NaN
7,1845,8,-0.742,0.841,-0.911,0.628,NaN,NaN,NaN,NaN,NaN,NaN
8,1845,9,-0.883,1.288,-0.811,0.704,NaN,NaN,NaN,NaN,NaN,NaN
9,1845,10,NaN,NaN,-0.757,0.783,NaN,NaN,NaN,NaN,NaN,NaN
10,1845,11,NaN,NaN,-0.697,0.805,NaN,NaN,NaN,NaN,NaN,NaN
11,1845,12,NaN,NaN,-0.607,0.874,NaN,NaN,NaN,NaN,NaN,NaN
12,1846,1,0.219,3.974,-0.590,0.919,NaN,NaN,NaN,NaN,NaN,NaN
13,1846,2,0.193,1.533,-0.561,0.896,NaN,NaN,NaN,NaN,NaN,NaN
14,1846,3,0.246,1.785,-0.543,0.852,NaN,NaN,NaN,NaN,NaN,NaN
15,1846,4,-0.591,1.940,-0.490,0.951,NaN,NaN,NaN,NaN,NaN,NaN
16,1846,5,-0.128,1.099,-0.472,0.887,NaN,NaN,NaN,NaN,NaN,NaN
17,1846,6,0.103,1.170,-0.339,0.704,-0.862,0.393,NaN,NaN,NaN,NaN
18,1846,7,-0.284,1.926,-0.401,0.538,-0.858,0.392,NaN,NaN,NaN,NaN
19,1846,8,-0.391,1.036,-0.478,0.732,-0.846,0.399,NaN,NaN,NaN,NaN
20,1846,9,-0.669,0.650,-0.599,0.524,-0.842,0.412,NaN,NaN,NaN,NaN
21,1846,10,-1.085,1.371,-0.637,0.583,-0.841,0.393,NaN,NaN,NaN,NaN
22,1846,11,-1.101,0.783,-0.726,0.682,-0.836,0.387,NaN,NaN,NaN,NaN
23,1846,12,-0.577,1.798,-0.821,0.701,-0.829,0.383,NaN,NaN,NaN,NaN
24,1847,1,-0.525,2.858,-0.854,0.653,-0.822,0.400,NaN,NaN,NaN,NaN
25,1847,2,-0.738,2.488,-0.888,0.559,-0.816,0.406,NaN,NaN,NaN,NaN
26,1847,3,-1.208,1.593,-0.902,0.585,-0.805,0.397,NaN,NaN,NaN,NaN
27,1847,4,-1.040,0.703,-0.910,0.656,-0.810,0.399,NaN,NaN,NaN,NaN
28,1847,5,-1.203,0.593,-0.867,0.694,-0.799,0.428,NaN,NaN,NaN,NaN
29,1847,6,-1.026,0.864,-0.931,0.495,-0.791,0.400,NaN,NaN,NaN,NaN
30,1847,7,-0.682,1.213,-0.983,0.403,-0.803,0.378,NaN,NaN,NaN,NaN
31,1847,8,-0.805,0.786,-0.963,0.491,-0.798,0.413,NaN,NaN,NaN,NaN
32,1847,9,-0.835,0.834,-0.945,0.599,-0.799,0.439,-0.826,0.392,NaN,NaN
33,1847,10,-1.179,0.798,-0.909,0.634,-0.798,0.428,-0.823,0.390,NaN,NaN
34,1847,11,-0.580,0.890,-0.892,0.589,-0.800,0.421,-0.821,0.383,NaN,NaN
35,1847,12,-1.354,2.454,-0.855,0.577,-0.784,0.416,-0.831,0.384,NaN,NaN
36,1848,1,-1.151,1.603,-0.809,0.511,-0.777,0.419,-0.840,0.394,NaN,NaN
37,1848,2,-0.498,2.658,-0.796,0.447,-0.773,0.425,-0.849,0.380,NaN,NaN
38,1848,3,-0.989,0.907,-0.811,0.415,-0.767,0.413,-0.849,0.374,NaN,NaN
39,1848,4,-0.602,0.951,-0.775,0.406,-0.750,0.397,-0.847,0.372,NaN,NaN
40,1848,5,-0.998,0.837,-0.772,0.390,-0.738,0.372,-0.839,0.375,NaN,NaN
41,1848,6,-0.588,0.864,-0.736,0.358,-0.717,0.346,-0.831,0.377,NaN,NaN
42,1848,7,-0.122,0.489,-0.686,0.412,-0.732,0.298,-0.827,0.375,NaN,NaN
43,1848,8,-0.659,0.748,-0.697,0.430,-0.753,0.321,-0.821,0.372,NaN,NaN
44,1848,9,-1.010,0.598,-0.664,0.448,-0.777,0.294,-0.820,0.371,NaN,NaN
45,1848,10,-0.749,0.452,-0.720,0.404,-0.789,0.287,-0.823,0.374,NaN,NaN
46,1848,11,-0.539,1.211,-0.736,0.451,-0.807,0.309,-0.822,0.369,NaN,NaN
47,1848,12,-0.923,1.850,-0.727,0.455,-0.817,0.304,-0.828,0.367,NaN,NaN
48,1849,1,-0.556,1.601,-0.746,0.511,-0.813,0.288,-0.833,0.353,NaN,NaN
49,1849,2,-0.627,1.070,-0.760,0.536,-0.815,0.287,-0.833,0.348,NaN,NaN
50,1849,3,-0.594,1.386,-0.745,0.541,-0.821,0.297,-0.833,0.353,NaN,NaN
51,1849,4,-1.272,1.466,-0.766,0.550,-0.821,0.289,-0.831,0.357,NaN,NaN
52,1849,5,-1.189,0.679,-0.838,0.698,-0.822,0.297,-0.824,0.357,NaN,NaN
53,1849,6,-0.482,1.041,-0.877,0.525,-0.829,0.336,-0.821,0.353,NaN,NaN
54,1849,7,-0.353,1.618,-0.939,0.438,-0.833,0.363,-0.817,0.352,NaN,NaN
55,1849,8,-0.832,1.003,-0.942,0.523,-0.838,0.378,-0.813,0.350,NaN,NaN
56,1849,9,-0.827,0.917,-0.977,0.563,-0.839,0.405,-0.808,0.348,NaN,NaN
57,1849,10,-1.003,1.189,-0.968,0.637,-0.832,0.412,-0.807,0.349,NaN,NaN
58,1849,11,-1.398,2.841,-0.950,0.578,-0.819,0.419,-0.797,0.353,NaN,NaN
59,1849,12,-1.393,1.632,-0.909,0.531,-0.815,0.420,-0.790,0.360,NaN,NaN
60,1850,1,-1.297,1.460,-0.885,0.454,-0.808,0.410,-0.784,0.364,NaN,NaN
61,1850,2,-0.660,2.437,-0.860,0.451,-0.804,0.397,-0.781,0.357,NaN,NaN
62,1850,3,-1.021,1.822,-0.836,0.453,-0.802,0.390,-0.781,0.362,NaN,NaN
63,1850,4,-1.165,0.563,-0.809,0.386,-0.797,0.390,-0.776,0.369,NaN,NaN
64,1850,5,-0.969,1.241,-0.743,0.572,-0.808,0.378,-0.771,0.376,NaN,NaN
65,1850,6,0.015,1.286,-0.700,0.611,-0.806,0.369,-0.767,0.374,NaN,NaN
66,1850,7,-0.069,0.754,-0.652,0.497,-0.799,0.397,-0.766,0.368,NaN,NaN
67,1850,8,-0.528,1.087,-0.684,0.458,-0.800,0.359,-0.765,0.364,NaN,NaN
68,1850,9,-0.545,0.577,-0.697,0.631,-0.795,0.350,-0.766,0.358,NaN,NaN
69,1850,10,-0.674,2.024,-0.710,0.625,-0.795,0.347,-0.762,0.356,NaN,NaN
70,1850,11,-0.605,3.112,-0.732,0.469,-0.788,0.358,-0.759,0.347,NaN,NaN
71,1850,12,-0.885,1.077,-0.772,0.417,-0.784,0.358,-0.750,0.326,NaN,NaN
72,1851,1,-0.717,1.162,-0.770,0.392,-0.785,0.360,-0.755,0.298,NaN,NaN
73,1851,2,-1.038,0.977,-0.772,0.388,-0.779,0.365,-0.763,0.301,NaN,NaN
74,1851,3,-1.186,1.202,-0.809,0.384,-0.781,0.362,-0.773,0.291,NaN,NaN
75,1851,4,-1.320,0.820,-0.844,0.423,-0.787,0.373,-0.773,0.284,NaN,NaN
76,1851,5,-1.235,2.168,-0.890,0.606,-0.799,0.373,-0.781,0.287,NaN,NaN
77,1851,6,-0.459,0.863,-0.902,0.817,-0.795,0.371,-0.787,0.287,NaN,NaN
78,1851,7,-0.050,0.520,-0.904,0.842,-0.808,0.349,-0.791,0.281,NaN,NaN
79,1851,8,-0.546,0.760,-0.904,0.791,-0.821,0.331,-0.796,0.282,NaN,NaN
80,1851,9,-0.991,1.065,-0.912,0.858,-0.824,0.327,-0.801,0.282,NaN,NaN
81,1851,10,-1.092,1.983,-0.855,0.789,-0.820,0.349,-0.805,0.274,NaN,NaN
82,1851,11,-1.159,1.153,-0.786,0.694,-0.812,0.354,-0.808,0.271,NaN,NaN
83,1851,12,-1.026,2.028,-0.811,0.696,-0.814,0.349,-0.812,0.281,NaN,NaN
84,1852,1,-0.739,1.381,-0.830,0.710,-0.813,0.330,-0.814,0.285,NaN,NaN
85,1852,2,-1.048,0.709,-0.833,0.646,-0.810,0.320,-0.819,0.290,NaN,NaN
86,1852,3,-1.283,1.169,-0.811,0.590,-0.811,0.324,-0.820,0.304,NaN,NaN
87,1852,4,-0.632,1.247,-0.790,0.545,-0.804,0.328,-0.822,0.306,NaN,NaN
88,1852,5,-0.407,0.924,-0.797,0.475,-0.795,0.308,-0.822,0.305,-0.828,0.335
89,1852,6,-0.757,0.859,-0.814,0.453,-0.788,0.346,-0.823,0.303,-0.826,0.332
90,1852,7,-0.284,0.658,-0.813,0.496,-0.766,0.375,-0.826,0.301,-0.822,0.331
91,1852,8,-0.581,0.918,-0.772,0.407,-0.763,0.333,-0.826,0.298,-0.822,0.329
92,1852,9,-0.725,0.428,-0.726,0.354,-0.764,0.325,-0.826,0.296,-0.819,0.328
93,1852,10,-0.836,0.798,-0.723,0.393,-0.753,0.341,-0.822,0.297,-0.818,0.329
94,1852,11,-1.240,1.117,-0.738,0.400,-0.742,0.360,-0.825,0.291,-0.817,0.327
95,1852,12,-1.234,2.580,-0.701,0.424,-0.751,0.362,-0.822,0.287,-0.823,0.330
96,1853,1,-0.729,2.000,-0.694,0.428,-0.755,0.348,-0.817,0.294,-0.827,0.334
97,1853,2,-0.551,1.573,-0.671,0.478,-0.758,0.334,-0.818,0.287,-0.832,0.334
98,1853,3,-0.738,1.082,-0.704,0.506,-0.764,0.335,-0.815,0.287,-0.834,0.337
99,1853,4,-0.597,0.631,-0.725,0.481,-0.774,0.351,-0.815,0.290,-0.834,0.339
100,1853,5,-0.583,1.040,-0.727,0.470,-0.779,0.369,-0.812,0.290,-0.830,0.339
101,1853,6,-0.310,1.142,-0.682,0.417,-0.783,0.358,-0.813,0.285,-0.826,0.341
102,1853,7,-0.207,0.742,-0.730,0.321,-0.778,0.343,-0.817,0.286,-0.826,0.344
103,1853,8,-0.305,0.539,-0.802,0.314,-0.774,0.326,-0.818,0.289,-0.825,0.344
104,1853,9,-1.124,0.688,-0.808,0.352,-0.769,0.333,-0.819,0.291,-0.824,0.346
105,1853,10,-1.081,0.936,-0.845,0.387,-0.758,0.328,-0.822,0.292,-0.826,0.345
106,1853,11,-1.270,0.888,-0.853,0.378,-0.755,0.307,-0.824,0.286,-0.823,0.343
107,1853,12,-0.685,0.771,-0.876,0.349,-0.756,0.309,-0.825,0.280,-0.828,0.345
108,1854,1,-1.315,1.507,-0.885,0.344,-0.769,0.314,-0.826,0.283,-0.831,0.346
109,1854,2,-1.414,0.658,-0.913,0.348,-0.777,0.317,-0.826,0.284,-0.830,0.349
110,1854,3,-0.812,0.751,-0.894,0.359,-0.782,0.309,-0.827,0.285,-0.831,0.350
111,1854,4,-1.042,1.109,-0.853,0.435,-0.789,0.300,-0.822,0.296,-0.829,0.350
112,1854,5,-0.676,0.820,-0.819,0.500,-0.794,0.288,-0.815,0.296,-0.823,0.348
113,1854,6,-0.583,0.974,-0.844,0.505,-0.795,0.271,-0.814,0.297,-0.819,0.347
114,1854,7,-0.313,1.116,-0.729,0.610,-0.795,0.251,-0.814,0.285,-0.816,0.346
115,1854,8,-0.637,0.983,-0.653,0.573,-0.799,0.253,-0.813,0.281,-0.814,0.344
116,1854,9,-0.901,0.645,-0.673,0.578,-0.801,0.254,-0.813,0.282,-0.810,0.340
117,1854,10,-0.584,2.147,-0.633,0.603,-0.811,0.253,-0.811,0.282,-0.808,0.338
