,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1750,1,3.047,3.366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1750,2,3.820,3.451,0.719,1.768,NaN,NaN,NaN,NaN,NaN,NaN
2,1750,3,1.954,3.436,0.676,1.811,NaN,NaN,NaN,NaN,NaN,NaN
3,1750,4,1.396,2.559,0.454,1.822,NaN,NaN,NaN,NaN,NaN,NaN
4,1750,5,-0.838,2.482,-0.138,1.873,NaN,NaN,NaN,NaN,NaN,NaN
5,1750,6,-0.550,2.268,-0.359,1.879,NaN,NaN,NaN,NaN,NaN,NaN
6,1750,7,0.853,3.112,-0.651,1.902,NaN,NaN,NaN,NaN,NaN,NaN
7,1750,8,1.059,2.901,-1.266,1.866,NaN,NaN,NaN,NaN,NaN,NaN
8,1750,9,-0.562,3.038,-1.318,1.869,NaN,NaN,NaN,NaN,NaN,NaN
9,1750,10,-4.346,2.764,-1.433,1.895,NaN,NaN,NaN,NaN,NaN,NaN
10,1750,11,-6.504,2.890,-1.452,1.841,NaN,NaN,NaN,NaN,NaN,NaN
11,1750,12,-3.639,3.431,-1.569,1.855,NaN,NaN,NaN,NaN,NaN,NaN
12,1751,1,-0.449,3.644,-1.616,1.842,NaN,NaN,NaN,NaN,NaN,NaN
13,1751,2,-3.560,2.668,-1.718,1.851,NaN,NaN,NaN,NaN,NaN,NaN
14,1751,3,1.323,2.656,-1.766,1.837,NaN,NaN,NaN,NaN,NaN,NaN
15,1751,4,0.022,2.467,-1.528,2.464,NaN,NaN,NaN,NaN,NaN,NaN
16,1751,5,-1.065,2.424,-1.117,2.732,NaN,NaN,NaN,NaN,NaN,NaN
17,1751,6,-1.963,2.381,-0.838,1.145,NaN,NaN,NaN,NaN,NaN,NaN
18,1751,7,0.290,2.364,-0.945,1.204,NaN,NaN,NaN,NaN,NaN,NaN
19,1751,8,-0.160,2.987,-0.515,1.148,NaN,NaN,NaN,NaN,NaN,NaN
20,1751,9,-1.146,2.771,-0.530,1.132,NaN,NaN,NaN,NaN,NaN,NaN
21,1751,10,-1.485,9.198,-0.543,1.132,NaN,NaN,NaN,NaN,NaN,NaN
22,1751,11,-1.573,5.371,-0.508,1.094,NaN,NaN,NaN,NaN,NaN,NaN
23,1751,12,-0.291,2.021,-0.355,1.045,NaN,NaN,NaN,NaN,NaN,NaN
24,1752,1,-1.738,2.372,-0.188,1.047,NaN,NaN,NaN,NaN,NaN,NaN
25,1752,2,1.610,2.212,-0.076,0.964,NaN,NaN,NaN,NaN,NaN,NaN
26,1752,3,1.144,2.425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1752,4,-0.141,3.259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1752,5,-0.639,2.441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1752,6,-0.137,1.888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1752,7,2.295,1.943,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1752,8,1.184,1.842,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1752,10,-0.521,3.139,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1752,11,1.345,3.779,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1752,12,0.332,2.024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1753,1,0.211,5.447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1753,2,0.624,6.052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1753,3,1.807,3.702,0.095,1.813,NaN,NaN,NaN,NaN,NaN,NaN
39,1753,4,0.561,4.772,0.182,1.787,NaN,NaN,NaN,NaN,NaN,NaN
40,1753,5,-0.545,2.051,-0.003,1.695,NaN,NaN,NaN,NaN,NaN,NaN
41,1753,6,-1.572,4.439,-0.577,1.356,NaN,NaN,NaN,NaN,NaN,NaN
42,1753,7,-0.587,2.470,-0.599,1.196,NaN,NaN,NaN,NaN,NaN,NaN
43,1753,8,-0.535,4.812,-0.691,1.185,NaN,NaN,NaN,NaN,NaN,NaN
