,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1750,1,-2.034,2.745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1750,2,-0.089,2.418,-0.498,1.152,NaN,NaN,NaN,NaN,NaN,NaN
2,1750,3,1.987,2.154,-0.449,1.184,NaN,NaN,NaN,NaN,NaN,NaN
3,1750,4,0.367,1.642,-0.387,1.181,NaN,NaN,NaN,NaN,NaN,NaN
4,1750,5,-1.072,1.816,-0.522,1.270,NaN,NaN,NaN,NaN,NaN,NaN
5,1750,6,0.283,1.983,-0.524,1.278,NaN,NaN,NaN,NaN,NaN,NaN
6,1750,7,0.389,3.096,-0.497,1.328,NaN,NaN,NaN,NaN,NaN,NaN
7,1750,8,0.304,2.598,-0.736,1.260,NaN,NaN,NaN,NaN,NaN,NaN
8,1750,9,-0.263,2.414,-0.828,1.268,NaN,NaN,NaN,NaN,NaN,NaN
9,1750,10,-0.947,1.719,-0.990,1.315,NaN,NaN,NaN,NaN,NaN,NaN
10,1750,11,-2.987,1.960,-0.981,1.248,NaN,NaN,NaN,NaN,NaN,NaN
11,1750,12,-2.229,2.932,-1.034,1.277,NaN,NaN,NaN,NaN,NaN,NaN
12,1751,1,-1.706,3.123,-1.021,1.237,NaN,NaN,NaN,NaN,NaN,NaN
13,1751,2,-2.958,1.502,-0.972,1.240,NaN,NaN,NaN,NaN,NaN,NaN
14,1751,3,0.882,1.719,-1.003,1.214,NaN,NaN,NaN,NaN,NaN,NaN
15,1751,4,-1.579,1.632,-1.021,2.019,NaN,NaN,NaN,NaN,NaN,NaN
16,1751,5,-0.959,1.567,-1.034,2.358,NaN,NaN,NaN,NaN,NaN,NaN
17,1751,6,-0.356,2.214,-1.039,0.785,NaN,NaN,NaN,NaN,NaN,NaN
18,1751,7,0.546,1.584,-0.970,0.814,NaN,NaN,NaN,NaN,NaN,NaN
19,1751,8,0.890,2.922,-0.654,0.719,NaN,NaN,NaN,NaN,NaN,NaN
20,1751,9,-0.637,2.097,-0.731,0.711,NaN,NaN,NaN,NaN,NaN,NaN
21,1751,10,-1.160,9.961,-0.686,0.723,NaN,NaN,NaN,NaN,NaN,NaN
22,1751,11,-3.142,5.291,-0.676,0.673,NaN,NaN,NaN,NaN,NaN,NaN
23,1751,12,-2.289,1.630,-0.481,0.581,NaN,NaN,NaN,NaN,NaN,NaN
24,1752,1,-0.878,1.981,-0.519,0.893,NaN,NaN,NaN,NaN,NaN,NaN
25,1752,2,0.828,1.493,-0.671,0.746,NaN,NaN,NaN,NaN,NaN,NaN
26,1752,3,-0.030,2.296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1752,4,-1.044,2.637,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1752,5,-0.843,1.442,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1752,6,1.991,1.124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1752,7,0.090,1.322,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1752,8,-0.938,1.414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1752,10,-0.474,2.422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1752,11,-0.329,3.186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1752,12,-1.117,1.417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1753,1,-3.143,5.309,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1753,2,-0.978,6.935,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1753,3,0.894,4.354,-0.249,1.305,NaN,NaN,NaN,NaN,NaN,NaN
39,1753,4,0.132,5.675,-0.232,1.222,NaN,NaN,NaN,NaN,NaN,NaN
40,1753,5,0.189,2.349,-0.366,1.098,NaN,NaN,NaN,NaN,NaN,NaN
41,1753,6,2.204,4.369,-0.301,0.869,NaN,NaN,NaN,NaN,NaN,NaN
42,1753,7,0.816,1.803,-0.180,0.807,NaN,NaN,NaN,NaN,NaN,NaN
43,1753,8,-0.977,4.375,-0.339,0.824,NaN,NaN,NaN,NaN,NaN,NaN
44,1753,9,-0.209,1.511,-0.736,0.830,NaN,NaN,NaN,NaN,NaN,NaN
