,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1847,1,-0.056,2.118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1847,2,-0.596,1.439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1847,3,-0.683,2.118,-0.661,0.530,NaN,NaN,NaN,NaN,NaN,NaN
3,1847,4,-0.460,1.734,-0.686,0.510,NaN,NaN,NaN,NaN,NaN,NaN
4,1847,5,-1.180,1.409,-0.570,0.495,NaN,NaN,NaN,NaN,NaN,NaN
5,1847,6,-0.979,1.686,-0.679,0.546,NaN,NaN,NaN,NaN,NaN,NaN
6,1847,7,-0.407,1.715,-0.785,0.578,NaN,NaN,NaN,NaN,NaN,NaN
7,1847,8,-0.932,1.658,-0.774,0.657,NaN,NaN,NaN,NaN,NaN,NaN
8,1847,9,-0.527,1.340,-0.791,0.764,NaN,NaN,NaN,NaN,NaN,NaN
9,1847,10,-0.917,1.323,-0.861,0.841,NaN,NaN,NaN,NaN,NaN,NaN
10,1847,11,-0.095,1.551,-0.778,0.815,NaN,NaN,NaN,NaN,NaN,NaN
11,1847,12,-1.321,1.761,-0.772,0.825,NaN,NaN,NaN,NaN,NaN,NaN
12,1848,1,-1.328,1.424,-0.804,0.814,NaN,NaN,NaN,NaN,NaN,NaN
13,1848,2,-0.464,2.030,-0.847,0.791,NaN,NaN,NaN,NaN,NaN,NaN
14,1848,3,-0.880,1.298,-0.918,0.787,-0.828,0.589,NaN,NaN,NaN,NaN
15,1848,4,-1.304,1.899,-0.891,0.831,-0.811,0.581,NaN,NaN,NaN,NaN
16,1848,5,-0.185,1.570,-1.075,0.902,-0.800,0.553,NaN,NaN,NaN,NaN
17,1848,6,-0.906,1.904,-1.087,0.909,-0.772,0.517,NaN,NaN,NaN,NaN
18,1848,7,-0.792,1.921,-1.051,0.917,-0.763,0.476,NaN,NaN,NaN,NaN
19,1848,8,-1.444,1.763,-0.959,0.867,-0.770,0.489,NaN,NaN,NaN,NaN
20,1848,9,-1.378,1.353,-0.902,0.907,-0.780,0.459,NaN,NaN,NaN,NaN
21,1848,10,-0.602,1.430,-0.935,0.790,-0.795,0.448,NaN,NaN,NaN,NaN
22,1848,11,-2.302,1.701,-1.018,0.769,-0.784,0.458,NaN,NaN,NaN,NaN
23,1848,12,-1.456,1.905,-1.036,0.762,-0.796,0.457,NaN,NaN,NaN,NaN
24,1849,1,-0.902,2.384,-1.064,0.796,-0.797,0.446,NaN,NaN,NaN,NaN
25,1849,2,0.643,1.613,-0.985,0.823,-0.807,0.440,NaN,NaN,NaN,NaN
26,1849,3,-0.194,1.496,-0.949,0.829,-0.828,0.450,NaN,NaN,NaN,NaN
27,1849,4,-1.707,1.532,-0.938,0.799,-0.833,0.445,NaN,NaN,NaN,NaN
28,1849,5,-1.173,1.257,-0.863,0.856,-0.809,0.447,NaN,NaN,NaN,NaN
29,1849,6,-1.131,2.027,-0.869,0.689,-0.817,0.476,-0.728,0.466,NaN,NaN
30,1849,7,-1.127,1.977,-0.890,0.631,-0.817,0.488,-0.714,0.465,NaN,NaN
31,1849,8,-0.489,1.590,-0.990,0.668,-0.825,0.490,-0.704,0.463,NaN,NaN
32,1849,9,-0.949,1.417,-0.994,0.677,-0.844,0.518,-0.700,0.460,NaN,NaN
33,1849,10,-0.476,1.349,-0.959,0.722,-0.860,0.529,-0.705,0.457,NaN,NaN
34,1849,11,-1.401,2.134,-0.933,0.712,-0.843,0.533,-0.700,0.462,NaN,NaN
35,1849,12,-1.519,1.764,-0.873,0.684,-0.826,0.527,-0.692,0.462,NaN,NaN
36,1850,1,-1.160,1.537,-0.829,0.638,-0.813,0.519,-0.708,0.469,NaN,NaN
37,1850,2,-0.557,2.185,-0.790,0.649,-0.810,0.507,-0.707,0.457,NaN,NaN
38,1850,3,-0.236,1.698,-0.806,0.659,-0.821,0.505,-0.706,0.460,NaN,NaN
39,1850,4,-1.290,1.506,-0.812,0.635,-0.810,0.511,-0.702,0.468,NaN,NaN
40,1850,5,-0.859,1.577,-0.791,0.632,-0.824,0.502,-0.695,0.477,NaN,NaN
