,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1848,1,-4.194,2.176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1848,2,-1.124,2.412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1848,3,-1.670,1.991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1848,4,-1.080,1.937,-1.444,0.695,NaN,NaN,NaN,NaN,NaN,NaN
4,1848,5,-0.739,2.038,-1.573,0.649,NaN,NaN,NaN,NaN,NaN,NaN
5,1848,6,-0.876,1.907,-1.383,0.653,NaN,NaN,NaN,NaN,NaN,NaN
6,1848,7,0.083,1.928,-0.992,0.666,NaN,NaN,NaN,NaN,NaN,NaN
7,1848,8,-0.402,1.842,-0.979,0.676,NaN,NaN,NaN,NaN,NaN,NaN
8,1848,9,-1.567,1.873,-0.829,0.711,NaN,NaN,NaN,NaN,NaN,NaN
9,1848,10,-1.300,1.763,-0.883,0.699,NaN,NaN,NaN,NaN,NaN,NaN
10,1848,11,-1.610,1.880,-0.931,0.694,NaN,NaN,NaN,NaN,NaN,NaN
11,1848,12,-2.118,2.273,-0.943,0.697,NaN,NaN,NaN,NaN,NaN,NaN
12,1849,1,0.502,2.187,-0.950,0.713,NaN,NaN,NaN,NaN,NaN,NaN
13,1849,2,-0.972,2.033,-0.930,0.727,NaN,NaN,NaN,NaN,NaN,NaN
14,1849,3,0.124,2.230,-0.956,0.698,NaN,NaN,NaN,NaN,NaN,NaN
15,1849,4,-1.721,2.345,-0.898,0.720,-0.956,0.447,NaN,NaN,NaN,NaN
16,1849,5,-1.322,1.824,-0.906,0.715,-0.968,0.445,NaN,NaN,NaN,NaN
17,1849,6,-1.011,2.008,-0.924,0.666,-0.978,0.463,NaN,NaN,NaN,NaN
18,1849,7,-0.002,1.950,-1.239,0.664,-0.993,0.453,NaN,NaN,NaN,NaN
19,1849,8,-0.163,1.973,-1.204,0.659,-1.050,0.445,NaN,NaN,NaN,NaN
20,1849,9,-1.877,1.826,-1.179,0.685,-1.059,0.445,NaN,NaN,NaN,NaN
21,1849,10,-0.608,1.841,-1.156,0.760,-1.072,0.456,NaN,NaN,NaN,NaN
22,1849,11,-1.704,2.188,-1.165,0.748,-1.054,0.467,NaN,NaN,NaN,NaN
23,1849,12,-2.339,1.924,-1.178,0.771,-1.046,0.466,NaN,NaN,NaN,NaN
24,1850,1,-3.267,2.279,-1.157,0.777,-1.046,0.466,NaN,NaN,NaN,NaN
25,1850,2,-0.554,2.012,-1.181,0.744,-1.041,0.465,NaN,NaN,NaN,NaN
26,1850,3,0.426,2.582,-1.074,0.790,-1.035,0.467,NaN,NaN,NaN,NaN
27,1850,4,-1.446,1.897,-1.218,0.726,-1.025,0.476,NaN,NaN,NaN,NaN
28,1850,5,-1.430,1.804,-1.139,0.696,-1.059,0.464,NaN,NaN,NaN,NaN
29,1850,6,-1.167,1.801,-1.017,0.731,-0.986,0.467,NaN,NaN,NaN,NaN
30,1850,7,0.241,1.860,-0.842,0.696,-0.948,0.473,NaN,NaN,NaN,NaN
31,1850,8,-0.446,1.911,-0.832,0.685,-0.973,0.464,NaN,NaN,NaN,NaN
32,1850,9,-0.597,1.837,-0.980,0.628,-0.957,0.467,NaN,NaN,NaN,NaN
33,1850,10,-2.335,1.830,-1.095,0.579,-0.979,0.471,NaN,NaN,NaN,NaN
34,1850,11,-0.756,2.065,-0.980,0.565,-0.966,0.476,NaN,NaN,NaN,NaN
35,1850,12,NaN,NaN,-0.855,0.564,-0.960,0.487,NaN,NaN,NaN,NaN
36,1851,1,-1.171,2.083,-0.913,0.558,-0.963,0.494,NaN,NaN,NaN,NaN
37,1851,2,-0.438,1.925,-0.898,0.566,-0.947,0.499,NaN,NaN,NaN,NaN
38,1851,3,-1.351,2.175,-0.908,0.561,-0.928,0.495,NaN,NaN,NaN,NaN
39,1851,4,-2.825,2.038,-0.781,0.602,-0.926,0.488,NaN,NaN,NaN,NaN
40,1851,5,-0.048,1.731,-0.861,0.665,-0.940,0.471,NaN,NaN,NaN,NaN
41,1851,6,0.331,1.732,-0.786,0.734,-0.926,0.460,NaN,NaN,NaN,NaN
42,1851,7,-0.457,1.800,-0.748,0.806,-0.953,0.451,NaN,NaN,NaN,NaN
43,1851,8,-0.258,1.857,-0.874,0.765,-0.945,0.445,NaN,NaN,NaN,NaN
44,1851,9,-0.715,1.689,-0.940,0.771,NaN,NaN,NaN,NaN,NaN,NaN
45,1851,10,-0.812,1.974,-0.787,0.786,NaN,NaN,NaN,NaN,NaN,NaN
46,1851,11,-1.722,1.723,-0.756,0.807,NaN,NaN,NaN,NaN,NaN,NaN
47,1851,12,0.039,2.636,-0.857,0.817,NaN,NaN,NaN,NaN,NaN,NaN
48,1852,1,-0.721,2.206,-0.822,0.825,NaN,NaN,NaN,NaN,NaN,NaN
49,1852,2,-1.946,1.920,-0.839,0.808,NaN,NaN,NaN,NaN,NaN,NaN
50,1852,3,-2.147,2.021,-0.833,0.826,NaN,NaN,NaN,NaN,NaN,NaN
51,1852,4,-0.992,1.897,-0.784,0.805,NaN,NaN,NaN,NaN,NaN,NaN
52,1852,5,0.328,2.014,-0.815,0.806,NaN,NaN,NaN,NaN,NaN,NaN
53,1852,6,-0.883,1.925,-0.821,0.715,NaN,NaN,NaN,NaN,NaN,NaN
54,1852,7,-0.036,2.018,-0.921,0.720,NaN,NaN,NaN,NaN,NaN,NaN
55,1852,8,-0.466,1.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56,1852,9,-0.636,1.927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57,1852,10,-0.226,1.969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58,1852,11,-2.091,2.212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,1852,12,-0.040,1.920,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,1853,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61,1853,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62,1853,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63,1853,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64,1853,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,1853,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66,1853,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
67,1853,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68,1853,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69,1853,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,1853,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71,1853,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
72,1854,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73,1854,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
74,1854,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,1854,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
76,1854,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
77,1854,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78,1854,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79,1854,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,1854,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81,1854,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82,1854,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83,1854,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
84,1855,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,1855,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
86,1855,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
87,1855,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
88,1855,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89,1855,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,1855,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91,1855,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
92,1855,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93,1855,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94,1855,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,1855,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96,1856,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97,1856,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98,1856,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
99,1856,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,1856,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
101,1856,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102,1856,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103,1856,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104,1856,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105,1856,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106,1856,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
107,1856,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108,1857,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109,1857,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110,1857,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
111,1857,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
112,1857,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
113,1857,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
114,1857,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
115,1857,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
116,1857,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
117,1857,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
118,1857,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
