,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1840,1,-0.232,1.527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1840,2,-0.530,1.724,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1840,3,-0.887,2.469,-0.921,0.717,NaN,NaN,NaN,NaN,NaN,NaN
3,1840,4,-1.433,1.253,-0.940,0.684,NaN,NaN,NaN,NaN,NaN,NaN
4,1840,5,-0.655,1.348,-0.837,0.629,NaN,NaN,NaN,NaN,NaN,NaN
5,1840,6,-0.787,1.263,-0.800,0.566,NaN,NaN,NaN,NaN,NaN,NaN
6,1840,7,-0.230,0.958,-0.806,0.647,NaN,NaN,NaN,NaN,NaN,NaN
7,1840,8,-0.652,1.401,-0.807,0.685,NaN,NaN,NaN,NaN,NaN,NaN
8,1840,9,-0.644,1.202,-0.788,0.690,NaN,NaN,NaN,NaN,NaN,NaN
9,1840,10,-1.317,1.129,-0.728,0.927,NaN,NaN,NaN,NaN,NaN,NaN
10,1840,11,-0.872,1.349,-0.720,1.033,NaN,NaN,NaN,NaN,NaN,NaN
11,1840,12,-1.359,1.324,-0.663,1.199,NaN,NaN,NaN,NaN,NaN,NaN
12,1841,1,-0.306,2.692,-0.626,1.265,NaN,NaN,NaN,NaN,NaN,NaN
13,1841,2,-0.546,2.100,-0.539,1.336,NaN,NaN,NaN,NaN,NaN,NaN
14,1841,3,-0.662,2.801,-0.521,1.389,-0.694,0.685,NaN,NaN,NaN,NaN
15,1841,4,-0.711,3.106,-0.420,1.488,-0.700,0.693,NaN,NaN,NaN,NaN
16,1841,5,-0.560,1.046,-0.391,1.588,-0.701,0.697,NaN,NaN,NaN,NaN
17,1841,6,-0.094,1.555,-0.272,1.787,-0.705,0.685,NaN,NaN,NaN,NaN
18,1841,7,0.207,1.153,-0.247,1.715,-0.723,0.671,NaN,NaN,NaN,NaN
19,1841,8,0.395,2.161,-0.159,1.787,-0.745,0.679,NaN,NaN,NaN,NaN
20,1841,9,-0.428,1.785,-0.150,1.469,-0.703,0.662,NaN,NaN,NaN,NaN
21,1841,10,-0.110,1.852,-0.180,1.204,-0.704,0.664,NaN,NaN,NaN,NaN
22,1841,11,-0.517,2.407,-0.205,1.152,-0.703,0.668,NaN,NaN,NaN,NaN
23,1841,12,0.072,3.231,-0.253,1.099,-0.703,0.668,NaN,NaN,NaN,NaN
24,1842,1,-0.010,2.326,-0.344,1.061,-0.715,0.660,NaN,NaN,NaN,NaN
25,1842,2,0.506,2.207,-0.430,0.978,-0.732,0.638,NaN,NaN,NaN,NaN
26,1842,3,-0.547,1.748,-0.475,0.951,-0.736,0.629,NaN,NaN,NaN,NaN
27,1842,4,-1.069,1.392,-0.594,0.836,-0.746,0.606,NaN,NaN,NaN,NaN
28,1842,5,-0.871,1.001,-0.680,0.757,-0.746,0.590,NaN,NaN,NaN,NaN
29,1842,6,-0.666,1.571,-0.726,0.706,-0.737,0.592,-0.958,0.538,NaN,NaN
30,1842,7,-0.878,1.236,-0.729,0.732,-0.758,0.579,-0.953,0.535,NaN,NaN
31,1842,8,-0.647,1.147,-0.799,0.864,-0.760,0.604,-0.952,0.534,NaN,NaN
32,1842,9,-0.964,1.375,-0.823,0.795,-0.765,0.576,-0.953,0.536,NaN,NaN
33,1842,10,-1.543,1.185,-0.822,0.765,-0.786,0.559,-0.956,0.536,NaN,NaN
34,1842,11,-1.546,1.099,-0.816,0.726,-0.798,0.562,-0.953,0.538,NaN,NaN
35,1842,12,-0.480,1.243,-0.784,0.635,-0.803,0.569,-0.958,0.540,NaN,NaN
36,1843,1,-0.044,1.768,-0.750,0.606,-0.820,0.562,-0.956,0.532,NaN,NaN
37,1843,2,-0.338,2.238,-0.729,0.599,-0.830,0.548,-0.942,0.533,NaN,NaN
38,1843,3,-0.826,1.615,-0.713,0.615,-0.844,0.544,-0.934,0.525,NaN,NaN
39,1843,4,-1.060,0.939,-0.674,0.623,-0.859,0.532,-0.936,0.523,NaN,NaN
40,1843,5,-0.799,1.579,-0.627,0.583,-0.880,0.538,-0.931,0.520,NaN,NaN
41,1843,6,-0.283,1.832,-0.682,0.625,-0.883,0.552,-0.930,0.522,NaN,NaN
42,1843,7,-0.473,0.914,-0.798,0.639,-0.879,0.574,-0.929,0.526,NaN,NaN
43,1843,8,-0.390,1.154,-0.867,0.693,-0.888,0.560,-0.932,0.524,NaN,NaN
44,1843,9,-0.773,1.304,-0.803,0.670,-0.883,0.557,-0.934,0.519,NaN,NaN
45,1843,10,-1.078,1.387,-0.809,0.684,-0.887,0.548,-0.937,0.521,NaN,NaN
46,1843,11,-0.987,1.497,-0.820,0.665,-0.890,0.550,-0.940,0.521,NaN,NaN
47,1843,12,-1.139,2.731,-0.863,0.664,-0.900,0.558,-0.945,0.519,NaN,NaN
48,1844,1,-1.430,2.150,-0.909,0.680,-0.912,0.573,-0.952,0.517,NaN,NaN
49,1844,2,-1.166,1.985,-0.993,0.673,-0.929,0.586,-0.965,0.516,NaN,NaN
50,1844,3,-0.057,1.656,-1.052,0.629,-0.941,0.605,-0.947,0.513,NaN,NaN
51,1844,4,-1.138,1.360,-1.101,0.636,-0.965,0.629,-0.950,0.513,NaN,NaN
52,1844,5,-0.923,1.410,-1.194,0.674,-0.988,0.659,-0.952,0.511,NaN,NaN
53,1844,6,-0.802,0.989,-1.207,0.518,-1.011,0.673,-0.951,0.513,NaN,NaN
54,1844,7,-1.026,1.000,-1.209,0.513,-1.030,0.691,-0.950,0.518,NaN,NaN
55,1844,8,-1.392,1.102,-1.165,0.496,-1.057,0.734,-0.952,0.515,NaN,NaN
56,1844,9,-1.487,1.246,-1.263,0.529,-1.072,0.706,-0.950,0.515,NaN,NaN
57,1844,10,-1.669,1.982,-1.389,0.628,-1.082,0.715,-0.947,0.511,NaN,NaN
58,1844,11,-2.094,1.131,-1.427,0.723,-1.093,0.727,-0.935,0.511,NaN,NaN
59,1844,12,-1.301,2.015,-1.452,0.750,-1.098,0.728,-0.938,0.498,NaN,NaN
60,1845,1,-1.447,2.310,-1.473,0.847,-1.092,0.732,-0.948,0.495,NaN,NaN
61,1845,2,-0.644,2.534,-1.461,0.926,-1.098,0.744,-0.951,0.503,NaN,NaN
62,1845,3,-1.237,0.941,-1.459,1.009,-1.102,0.771,-0.952,0.502,NaN,NaN
63,1845,4,-2.649,3.437,-1.506,0.976,-1.109,0.788,-0.951,0.500,NaN,NaN
64,1845,5,-1.374,1.088,-1.510,1.088,-1.106,0.799,-0.955,0.498,NaN,NaN
65,1845,6,-1.103,0.974,-1.529,1.144,-1.122,0.775,-0.951,0.502,NaN,NaN
66,1845,7,-1.285,2.079,-1.415,1.197,-1.159,0.762,NaN,NaN,NaN,NaN
67,1845,8,-1.241,1.898,-1.452,1.388,-1.154,0.752,NaN,NaN,NaN,NaN
68,1845,9,-1.465,1.818,-1.378,1.533,-1.154,0.751,NaN,NaN,NaN,NaN
69,1845,10,-2.236,1.716,-1.237,1.345,-1.157,0.761,NaN,NaN,NaN,NaN
70,1845,11,-2.143,1.996,-1.184,1.344,-1.158,0.773,NaN,NaN,NaN,NaN
71,1845,12,-1.521,2.340,-1.149,1.439,-1.163,0.802,NaN,NaN,NaN,NaN
72,1846,1,-0.079,3.804,-1.085,1.466,-1.158,0.809,NaN,NaN,NaN,NaN
73,1846,2,-1.089,2.272,-1.032,1.458,-1.167,0.818,NaN,NaN,NaN,NaN
74,1846,3,-0.350,2.542,-1.007,1.404,-1.173,0.821,NaN,NaN,NaN,NaN
75,1846,4,-0.963,2.396,-0.946,1.489,-1.174,0.820,NaN,NaN,NaN,NaN
76,1846,5,-0.730,0.979,-0.931,1.427,-1.180,0.828,NaN,NaN,NaN,NaN
77,1846,6,-0.684,2.432,-0.908,1.456,-1.186,0.793,NaN,NaN,NaN,NaN
78,1846,7,-0.525,2.107,-0.998,1.421,-1.182,0.784,NaN,NaN,NaN,NaN
79,1846,8,-0.601,1.570,-1.003,1.454,-1.184,0.792,NaN,NaN,NaN,NaN
80,1846,9,-1.160,1.491,-1.095,1.249,-1.192,0.822,NaN,NaN,NaN,NaN
81,1846,10,-1.512,1.779,-1.154,1.343,NaN,NaN,NaN,NaN,NaN,NaN
82,1846,11,-1.955,1.983,-1.220,1.388,NaN,NaN,NaN,NaN,NaN,NaN
83,1846,12,-1.253,2.682,-1.240,1.320,NaN,NaN,NaN,NaN,NaN,NaN
84,1847,1,-1.150,2.952,-1.242,1.231,NaN,NaN,NaN,NaN,NaN,NaN
85,1847,2,-1.157,2.348,-1.275,1.169,NaN,NaN,NaN,NaN,NaN,NaN
