,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1824,1,-0.572,1.926,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1824,2,-0.795,2.149,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1824,3,-0.498,1.467,-0.869,0.680,NaN,NaN,NaN,NaN,NaN,NaN
3,1824,4,0.197,1.295,-0.847,0.672,NaN,NaN,NaN,NaN,NaN,NaN
4,1824,5,-0.624,0.874,-0.773,0.634,NaN,NaN,NaN,NaN,NaN,NaN
5,1824,6,-0.448,1.770,-0.692,0.812,NaN,NaN,NaN,NaN,NaN,NaN
6,1824,7,-0.473,1.514,-0.673,0.889,NaN,NaN,NaN,NaN,NaN,NaN
7,1824,8,-1.180,0.741,-0.651,0.784,NaN,NaN,NaN,NaN,NaN,NaN
8,1824,9,-1.088,1.865,-0.602,0.671,NaN,NaN,NaN,NaN,NaN,NaN
9,1824,10,-1.565,1.339,-0.558,0.649,NaN,NaN,NaN,NaN,NaN,NaN
10,1824,11,-0.796,1.974,-0.510,0.599,NaN,NaN,NaN,NaN,NaN,NaN
11,1824,12,-0.465,3.688,-0.473,0.710,NaN,NaN,NaN,NaN,NaN,NaN
12,1825,1,-0.340,2.425,-0.474,0.715,NaN,NaN,NaN,NaN,NaN,NaN
13,1825,2,-0.531,1.326,-0.433,0.662,NaN,NaN,NaN,NaN,NaN,NaN
14,1825,3,0.085,2.138,-0.450,0.704,NaN,NaN,NaN,NaN,NaN,NaN
15,1825,4,0.725,1.310,-0.414,0.705,-0.703,0.503,NaN,NaN,NaN,NaN
16,1825,5,-0.044,1.970,-0.382,0.778,-0.673,0.504,NaN,NaN,NaN,NaN
17,1825,6,-0.009,1.353,-0.367,0.774,-0.633,0.494,NaN,NaN,NaN,NaN
18,1825,7,-0.482,1.615,-0.337,0.849,-0.643,0.483,NaN,NaN,NaN,NaN
19,1825,8,-0.680,1.700,-0.404,0.862,-0.648,0.475,NaN,NaN,NaN,NaN
20,1825,9,-1.298,1.229,-0.527,0.729,-0.642,0.464,NaN,NaN,NaN,NaN
21,1825,10,-1.136,1.456,-0.626,0.689,-0.629,0.470,NaN,NaN,NaN,NaN
22,1825,11,-0.410,2.750,-0.631,0.729,-0.614,0.472,NaN,NaN,NaN,NaN
23,1825,12,-0.283,1.815,-0.665,0.709,-0.614,0.483,NaN,NaN,NaN,NaN
24,1826,1,0.024,1.590,-0.676,0.612,-0.618,0.486,NaN,NaN,NaN,NaN
25,1826,2,-1.340,1.544,-0.719,0.584,-0.608,0.476,NaN,NaN,NaN,NaN
26,1826,3,-1.387,1.899,-0.737,0.623,-0.607,0.450,NaN,NaN,NaN,NaN
27,1826,4,-0.469,1.520,-0.739,0.594,-0.589,0.448,NaN,NaN,NaN,NaN
28,1826,5,-0.099,1.227,-0.703,0.663,-0.564,0.439,NaN,NaN,NaN,NaN
29,1826,6,-0.422,1.249,-0.637,0.708,-0.556,0.420,NaN,NaN,NaN,NaN
30,1826,7,-0.605,0.969,-0.631,0.826,-0.561,0.402,NaN,NaN,NaN,NaN
31,1826,8,-1.203,0.926,-0.547,0.889,-0.568,0.392,NaN,NaN,NaN,NaN
32,1826,9,-1.509,1.288,-0.427,0.775,-0.564,0.369,NaN,NaN,NaN,NaN
33,1826,10,-1.160,1.505,-0.348,0.813,-0.571,0.360,NaN,NaN,NaN,NaN
