,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1812,1,-1.876,5.725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1812,2,-3.163,3.886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1812,3,-2.194,3.452,-1.234,1.480,NaN,NaN,NaN,NaN,NaN,NaN
3,1812,4,-1.887,5.131,-1.224,1.253,NaN,NaN,NaN,NaN,NaN,NaN
4,1812,5,-1.982,2.378,-1.087,1.363,NaN,NaN,NaN,NaN,NaN,NaN
5,1812,6,-0.734,2.012,-1.524,1.490,NaN,NaN,NaN,NaN,NaN,NaN
6,1812,7,0.817,2.631,-1.880,1.141,NaN,NaN,NaN,NaN,NaN,NaN
7,1812,8,1.566,2.220,-1.871,1.221,NaN,NaN,NaN,NaN,NaN,NaN
8,1812,9,-2.187,4.613,-1.993,1.314,NaN,NaN,NaN,NaN,NaN,NaN
9,1812,10,-0.686,2.001,-1.920,1.423,NaN,NaN,NaN,NaN,NaN,NaN
10,1812,11,-1.107,3.076,-1.699,1.369,NaN,NaN,NaN,NaN,NaN,NaN
11,1812,12,-4.853,5.466,-1.708,1.405,NaN,NaN,NaN,NaN,NaN,NaN
12,1813,1,-6.146,4.516,-1.920,1.624,NaN,NaN,NaN,NaN,NaN,NaN
13,1813,2,-3.058,3.853,-2.171,1.668,NaN,NaN,NaN,NaN,NaN,NaN
14,1813,3,-3.665,2.988,-2.023,1.600,NaN,NaN,NaN,NaN,NaN,NaN
15,1813,4,-1.002,2.866,-2.000,1.651,NaN,NaN,NaN,NaN,NaN,NaN
16,1813,5,NaN,NaN,-1.773,1.611,NaN,NaN,NaN,NaN,NaN,NaN
17,1813,6,-0.841,2.812,-1.403,1.411,NaN,NaN,NaN,NaN,NaN,NaN
18,1813,7,-1.724,3.299,-0.684,1.268,NaN,NaN,NaN,NaN,NaN,NaN
