,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1844,11,-2.783,2.845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1844,12,-4.100,2.985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1845,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1845,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1845,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1845,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,1845,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,1845,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,1845,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,1845,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1845,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1845,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1845,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1845,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1846,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1846,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,1846,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1846,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,1846,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,1846,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,1846,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,1846,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,1846,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,1846,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,1846,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,1846,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,1847,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1847,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1847,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1847,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1847,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1847,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1847,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1847,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1847,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1847,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1847,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1847,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1848,1,-3.913,2.610,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,1848,2,-1.376,2.713,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,1848,3,-0.977,2.327,-1.199,0.920,NaN,NaN,NaN,NaN,NaN,NaN
41,1848,4,-0.289,2.256,-1.231,0.917,NaN,NaN,NaN,NaN,NaN,NaN
42,1848,5,-0.471,2.345,-1.281,0.883,NaN,NaN,NaN,NaN,NaN,NaN
43,1848,6,-0.176,2.238,-1.124,0.869,NaN,NaN,NaN,NaN,NaN,NaN
44,1848,7,0.178,2.521,-0.766,0.851,NaN,NaN,NaN,NaN,NaN,NaN
45,1848,8,-0.268,2.123,-0.641,0.881,NaN,NaN,NaN,NaN,NaN,NaN
46,1848,9,-1.245,2.271,-0.569,0.887,NaN,NaN,NaN,NaN,NaN,NaN
47,1848,10,-0.850,2.109,-0.675,0.902,NaN,NaN,NaN,NaN,NaN,NaN
48,1848,11,-0.814,2.248,-0.716,0.869,NaN,NaN,NaN,NaN,NaN,NaN
49,1848,12,-3.288,2.380,-0.757,0.883,NaN,NaN,NaN,NaN,NaN,NaN
50,1849,1,0.385,2.268,-0.723,0.909,NaN,NaN,NaN,NaN,NaN,NaN
51,1849,2,0.121,2.468,-0.695,0.947,NaN,NaN,NaN,NaN,NaN,NaN
