,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1892,1,-1.570,1.942,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1892,2,-0.505,0.696,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1892,3,-0.339,1.119,-0.321,0.368,NaN,NaN,NaN,NaN,NaN,NaN
3,1892,4,0.001,0.878,-0.322,0.340,NaN,NaN,NaN,NaN,NaN,NaN
4,1892,5,0.088,1.016,-0.316,0.344,NaN,NaN,NaN,NaN,NaN,NaN
5,1892,6,0.411,1.152,-0.361,0.345,NaN,NaN,NaN,NaN,NaN,NaN
6,1892,7,-0.088,0.655,-0.339,0.457,NaN,NaN,NaN,NaN,NaN,NaN
7,1892,8,-0.369,0.717,-0.373,0.500,NaN,NaN,NaN,NaN,NaN,NaN
8,1892,9,-0.534,0.633,-0.369,0.446,NaN,NaN,NaN,NaN,NaN,NaN
9,1892,10,-0.408,0.847,-0.378,0.437,NaN,NaN,NaN,NaN,NaN,NaN
10,1892,11,-0.608,0.843,-0.495,0.398,NaN,NaN,NaN,NaN,NaN,NaN
11,1892,12,-0.414,0.729,-0.614,0.411,NaN,NaN,NaN,NaN,NaN,NaN
12,1893,1,-1.297,0.800,-0.647,0.465,NaN,NaN,NaN,NaN,NaN,NaN
13,1893,2,-0.914,0.927,-0.684,0.508,NaN,NaN,NaN,NaN,NaN,NaN
14,1893,3,-0.299,0.621,-0.671,0.541,-0.363,0.197,NaN,NaN,NaN,NaN
15,1893,4,-0.105,0.742,-0.642,0.573,-0.358,0.196,NaN,NaN,NaN,NaN
16,1893,5,-1.311,1.446,-0.640,0.575,-0.345,0.197,NaN,NaN,NaN,NaN
17,1893,6,-1.020,1.900,-0.586,0.522,-0.338,0.195,NaN,NaN,NaN,NaN
18,1893,7,-0.483,1.330,-0.516,0.528,-0.325,0.195,NaN,NaN,NaN,NaN
19,1893,8,-0.811,0.993,-0.426,0.456,-0.311,0.196,NaN,NaN,NaN,NaN
20,1893,9,-0.385,0.767,-0.440,0.479,-0.313,0.194,NaN,NaN,NaN,NaN
21,1893,10,-0.059,0.617,-0.490,0.418,-0.304,0.198,NaN,NaN,NaN,NaN
22,1893,11,-0.577,0.564,-0.389,0.317,-0.295,0.199,NaN,NaN,NaN,NaN
23,1893,12,0.228,0.903,-0.356,0.278,-0.284,0.200,NaN,NaN,NaN,NaN
24,1894,1,-0.461,0.830,-0.346,0.284,-0.275,0.200,NaN,NaN,NaN,NaN
25,1894,2,0.173,1.223,-0.272,0.329,-0.274,0.200,NaN,NaN,NaN,NaN
26,1894,3,-0.463,0.680,-0.213,0.384,-0.278,0.199,NaN,NaN,NaN,NaN
27,1894,4,-0.705,0.940,-0.190,0.398,-0.276,0.194,NaN,NaN,NaN,NaN
28,1894,5,-0.103,0.773,-0.142,0.460,-0.276,0.192,NaN,NaN,NaN,NaN
29,1894,6,-0.626,0.597,-0.138,0.465,-0.289,0.188,-0.292,0.154,NaN,NaN
30,1894,7,-0.363,0.626,-0.114,0.526,-0.269,0.202,-0.291,0.151,NaN,NaN
31,1894,8,0.081,0.868,-0.217,0.499,-0.265,0.208,-0.287,0.150,NaN,NaN
32,1894,9,0.323,0.797,-0.178,0.536,-0.266,0.205,-0.281,0.148,NaN,NaN
33,1894,10,0.207,0.647,-0.148,0.491,-0.269,0.202,-0.275,0.149,NaN,NaN
34,1894,11,0.008,0.929,-0.132,0.449,-0.274,0.193,-0.263,0.150,NaN,NaN
35,1894,12,0.268,1.007,-0.101,0.439,-0.290,0.180,-0.258,0.151,NaN,NaN
36,1895,1,-0.166,0.986,-0.043,0.486,-0.298,0.173,-0.254,0.150,NaN,NaN
37,1895,2,-1.070,0.996,-0.044,0.485,-0.296,0.171,-0.244,0.150,NaN,NaN
38,1895,3,0.010,0.583,-0.092,0.456,-0.289,0.168,-0.239,0.150,NaN,NaN
39,1895,4,-0.339,0.856,-0.104,0.455,-0.288,0.166,-0.233,0.151,NaN,NaN
40,1895,5,0.079,0.589,-0.115,0.425,-0.267,0.158,-0.222,0.151,NaN,NaN
41,1895,6,-0.250,0.565,-0.147,0.394,-0.259,0.162,-0.216,0.151,NaN,NaN
42,1895,7,0.335,0.746,-0.129,0.365,-0.229,0.158,-0.213,0.151,NaN,NaN
43,1895,8,0.067,0.936,-0.053,0.356,-0.222,0.158,-0.206,0.151,NaN,NaN
44,1895,9,-0.256,0.579,-0.099,0.346,-0.225,0.162,-0.201,0.151,NaN,NaN
45,1895,10,0.066,1.007,-0.077,0.344,-0.225,0.167,-0.195,0.152,NaN,NaN
46,1895,11,-0.122,0.720,-0.083,0.339,-0.190,0.181,-0.186,0.151,NaN,NaN
47,1895,12,-0.114,0.658,-0.048,0.347,-0.166,0.194,-0.179,0.152,NaN,NaN
48,1896,1,0.048,0.739,-0.062,0.331,-0.161,0.206,-0.164,0.157,NaN,NaN
49,1896,2,-0.165,0.795,-0.084,0.340,-0.156,0.215,-0.156,0.162,NaN,NaN
50,1896,3,-0.532,0.665,-0.094,0.348,-0.159,0.222,-0.154,0.162,NaN,NaN
51,1896,4,-0.083,1.251,-0.120,0.337,-0.163,0.223,-0.150,0.162,NaN,NaN
52,1896,5,0.010,0.883,-0.166,0.335,-0.161,0.227,-0.143,0.164,NaN,NaN
53,1896,6,0.166,0.596,-0.213,0.326,-0.158,0.217,-0.136,0.169,NaN,NaN
54,1896,7,0.170,0.605,-0.248,0.326,-0.148,0.218,-0.126,0.172,NaN,NaN
55,1896,8,-0.198,0.740,-0.253,0.348,-0.158,0.208,-0.113,0.175,NaN,NaN
56,1896,9,-0.378,0.709,-0.246,0.364,-0.152,0.212,-0.099,0.187,NaN,NaN
57,1896,10,-0.240,0.784,-0.255,0.331,-0.132,0.206,-0.086,0.198,NaN,NaN
58,1896,11,-0.681,0.837,-0.273,0.312,-0.136,0.200,-0.069,0.214,NaN,NaN
59,1896,12,-0.677,0.833,-0.329,0.303,-0.125,0.202,-0.062,0.222,-0.197,0.146
60,1897,1,-0.364,0.680,-0.394,0.309,-0.113,0.203,-0.048,0.232,-0.192,0.146
61,1897,2,-0.233,0.798,-0.394,0.309,-0.113,0.194,-0.044,0.236,-0.192,0.147
62,1897,3,-0.448,1.066,-0.375,0.301,-0.109,0.187,-0.040,0.237,-0.188,0.149
63,1897,4,-0.183,0.661,-0.381,0.308,-0.106,0.187,-0.038,0.239,-0.188,0.148
64,1897,5,-0.209,0.635,-0.272,0.306,-0.095,0.185,-0.037,0.238,-0.188,0.149
65,1897,6,-0.512,0.969,-0.209,0.300,-0.097,0.180,-0.037,0.237,-0.187,0.149
66,1897,7,-0.602,0.967,-0.138,0.295,-0.092,0.177,-0.035,0.243,-0.188,0.147
67,1897,8,-0.203,0.646,-0.158,0.298,-0.064,0.172,-0.026,0.241,-0.185,0.146
68,1897,9,-0.147,0.919,-0.164,0.331,-0.067,0.171,-0.021,0.244,-0.184,0.147
69,1897,10,-0.312,1.175,-0.156,0.407,-0.055,0.170,-0.021,0.248,-0.181,0.147
70,1897,11,0.632,1.270,-0.075,0.417,-0.047,0.174,-0.020,0.248,-0.179,0.147
71,1897,12,0.076,1.206,0.004,0.407,-0.042,0.178,-0.022,0.249,-0.177,0.146
72,1898,1,0.489,1.124,0.040,0.398,-0.047,0.180,-0.013,0.246,-0.173,0.147
73,1898,2,-0.479,0.770,0.013,0.388,-0.049,0.175,-0.005,0.245,-0.170,0.147
74,1898,3,-0.518,0.838,-0.022,0.352,-0.039,0.176,-0.003,0.246,-0.165,0.149
75,1898,4,-0.082,1.574,-0.020,0.347,-0.031,0.183,0.003,0.241,-0.164,0.150
76,1898,5,0.756,0.967,-0.111,0.352,-0.027,0.184,0.015,0.244,-0.164,0.150
77,1898,6,0.444,0.839,-0.085,0.325,-0.019,0.186,0.023,0.252,-0.164,0.150
78,1898,7,-0.179,0.962,-0.114,0.368,-0.004,0.199,0.026,0.258,-0.167,0.151
79,1898,8,-0.517,1.016,-0.109,0.391,-0.001,0.213,0.038,0.263,-0.167,0.153
80,1898,9,-0.572,1.076,-0.071,0.416,0.006,0.213,0.041,0.271,-0.167,0.156
81,1898,10,-0.283,0.715,-0.025,0.490,0.004,0.204,0.043,0.262,-0.167,0.156
82,1898,11,-0.468,0.519,-0.117,0.491,0.009,0.206,0.046,0.258,-0.169,0.157
83,1898,12,0.393,0.601,-0.150,0.448,0.012,0.215,0.041,0.253,-0.171,0.160
84,1899,1,0.142,1.251,-0.108,0.394,0.024,0.219,0.040,0.250,-0.173,0.164
85,1899,2,-0.429,0.640,-0.054,0.374,0.047,0.223,0.031,0.247,-0.178,0.168
86,1899,3,-0.055,0.623,0.038,0.361,0.080,0.246,0.023,0.245,-0.180,0.170
87,1899,4,0.462,0.828,0.096,0.360,0.104,0.275,0.016,0.244,-0.185,0.171
88,1899,5,-0.345,0.826,0.188,0.370,0.137,0.310,0.011,0.239,-0.186,0.170
89,1899,6,0.057,0.688,0.168,0.422,0.165,0.332,0.013,0.237,-0.187,0.172
90,1899,7,0.320,0.743,0.167,0.409,0.174,0.329,0.015,0.233,-0.188,0.173
91,1899,8,0.130,0.780,0.254,0.398,0.176,0.328,0.009,0.226,-0.189,0.176
92,1899,9,0.528,0.915,0.244,0.367,0.187,0.334,0.002,0.222,-0.190,0.178
93,1899,10,0.421,0.748,0.237,0.367,0.194,0.340,-0.006,0.218,-0.188,0.178
94,1899,11,0.637,0.843,0.311,0.384,0.200,0.351,-0.013,0.217,-0.185,0.178
95,1899,12,0.150,1.277,0.313,0.388,0.215,0.363,-0.027,0.214,-0.185,0.177
96,1900,1,0.131,0.811,0.290,0.394,0.228,0.379,-0.030,0.213,-0.187,0.178
97,1900,2,0.616,0.826,0.273,0.398,0.244,0.377,-0.026,0.214,-0.186,0.177
98,1900,3,-0.180,1.694,0.256,0.391,0.247,0.386,-0.027,0.213,-0.183,0.175
99,1900,4,0.384,0.694,0.268,0.378,0.246,0.401,-0.028,0.215,-0.183,0.175
100,1900,5,0.539,0.721,0.226,0.366,0.226,0.414,-0.030,0.215,-0.180,0.175
101,1900,6,0.080,0.659,0.243,0.357,0.216,0.407,-0.022,0.213,-0.177,0.174
102,1900,7,0.039,0.706,0.312,0.380,0.204,0.415,-0.023,0.210,-0.174,0.173
103,1900,8,-0.063,0.700,0.261,0.408,0.211,0.424,-0.018,0.200,-0.169,0.172
104,1900,9,0.321,0.854,0.265,0.395,0.220,0.427,-0.011,0.198,-0.168,0.172
105,1900,10,0.560,0.656,0.218,0.364,0.230,0.424,-0.015,0.202,-0.169,0.173
106,1900,11,0.135,0.610,0.201,0.388,0.221,0.424,-0.018,0.199,-0.167,0.173
107,1900,12,0.359,0.606,0.221,0.440,0.211,0.433,-0.021,0.198,-0.166,0.172
108,1901,1,0.949,1.513,0.292,0.464,0.214,0.432,-0.023,0.203,-0.166,0.173
109,1901,2,0.004,1.522,0.396,0.520,0.231,0.432,-0.031,0.202,-0.163,0.175
110,1901,3,-0.124,0.575,0.502,0.705,0.241,0.437,-0.035,0.201,-0.165,0.175
111,1901,4,-0.185,0.836,0.559,0.869,0.250,0.416,-0.040,0.196,-0.166,0.177
112,1901,5,0.342,0.990,0.655,1.077,0.254,0.404,-0.040,0.193,-0.166,0.176
113,1901,6,0.314,1.277,0.705,1.162,0.241,0.393,-0.046,0.192,-0.165,0.176
114,1901,7,0.894,0.508,0.641,1.035,0.229,0.387,-0.051,0.192,-0.164,0.176
115,1901,8,1.176,1.047,0.634,0.957,0.220,0.381,-0.053,0.191,-0.164,0.174
116,1901,9,1.602,2.400,0.659,1.070,0.197,0.371,-0.054,0.191,-0.164,0.174
117,1901,10,1.238,2.204,0.695,1.173,0.165,0.371,-0.055,0.192,-0.163,0.172
118,1901,11,1.285,2.660,0.680,1.161,0.158,0.365,-0.049,0.196,-0.162,0.170
119,1901,12,0.960,1.497,0.687,1.116,0.151,0.357,-0.045,0.199,-0.160,0.169
120,1902,1,0.191,0.454,0.624,1.174,0.143,0.346,-0.041,0.198,-0.152,0.173
121,1902,2,-0.083,0.848,0.593,1.089,0.131,0.339,-0.044,0.195,-0.152,0.172
122,1902,3,0.174,1.306,0.462,0.937,0.113,0.334,-0.040,0.196,-0.151,0.169
123,1902,4,0.244,0.980,0.325,0.785,0.095,0.327,-0.041,0.193,-0.150,0.168
124,1902,5,0.169,0.916,0.174,0.649,0.070,0.325,-0.045,0.194,-0.148,0.166
125,1902,6,0.395,0.757,0.047,0.577,0.044,0.336,-0.045,0.197,-0.148,0.164
126,1902,7,0.141,1.843,0.013,0.584,0.033,0.340,-0.043,0.196,-0.147,0.163
127,1902,8,0.800,0.419,0.017,0.581,0.012,0.339,-0.044,0.194,-0.146,0.165
128,1902,9,0.032,0.645,0.003,0.505,0.013,0.330,-0.042,0.196,-0.146,0.166
129,1902,10,-0.406,0.274,0.028,0.398,-0.001,0.334,-0.039,0.202,-0.146,0.167
130,1902,11,-0.524,0.720,0.029,0.351,-0.013,0.335,-0.045,0.209,-0.146,0.165
131,1902,12,-0.573,0.640,-0.015,0.366,-0.002,0.330,-0.045,0.200,-0.148,0.162
132,1903,1,-0.216,0.434,-0.028,0.304,0.001,0.325,-0.043,0.203,-0.144,0.160
133,1903,2,-0.031,0.804,-0.051,0.335,0.013,0.309,-0.040,0.203,-0.141,0.156
134,1903,3,0.004,0.524,-0.051,0.375,0.017,0.306,-0.032,0.208,-0.143,0.155
135,1903,4,0.541,0.891,0.001,0.291,0.001,0.313,-0.032,0.210,-0.145,0.154
136,1903,5,0.192,0.676,0.025,0.211,-0.009,0.309,-0.042,0.211,-0.140,0.155
137,1903,6,-0.135,0.920,0.044,0.168,-0.022,0.306,-0.048,0.212,-0.137,0.159
138,1903,7,-0.022,0.806,0.011,0.143,-0.042,0.298,-0.051,0.214,-0.135,0.163
139,1903,8,0.526,0.457,-0.066,0.163,-0.061,0.279,-0.049,0.218,-0.132,0.166
140,1903,9,0.028,0.969,-0.185,0.202,-0.076,0.282,-0.046,0.221,-0.129,0.168
141,1903,10,0.227,1.114,-0.353,0.248,-0.084,0.283,-0.047,0.219,-0.131,0.168
142,1903,11,-0.237,0.910,-0.434,0.305,-0.090,0.270,-0.048,0.221,-0.130,0.168
143,1903,12,-0.351,0.641,-0.453,0.329,-0.104,0.254,-0.056,0.227,-0.132,0.165
144,1904,1,-0.606,0.495,-0.461,0.385,-0.126,0.248,-0.064,0.233,-0.128,0.163
145,1904,2,-0.958,0.982,-0.555,0.496,-0.153,0.239,-0.065,0.239,-0.128,0.161
146,1904,3,-1.423,1.033,-0.603,0.645,-0.187,0.225,-0.068,0.246,-0.127,0.162
147,1904,4,-1.481,0.649,-0.681,0.619,-0.214,0.215,-0.079,0.250,-0.121,0.161
148,1904,5,-0.783,0.874,-0.730,0.589,-0.236,0.214,-0.079,0.250,-0.119,0.160
149,1904,6,-0.364,0.603,-0.820,0.574,-0.255,0.211,-0.083,0.255,-0.115,0.161
150,1904,7,-0.114,1.157,-0.812,0.581,-0.256,0.210,-0.085,0.262,-0.115,0.163
151,1904,8,-0.597,1.444,-0.786,0.591,-0.265,0.204,-0.090,0.271,-0.117,0.161
152,1904,9,-0.556,1.222,-0.680,0.531,-0.267,0.212,-0.098,0.275,-0.121,0.160
153,1904,10,-0.700,0.733,-0.592,0.494,-0.276,0.201,-0.101,0.274,-0.123,0.159
154,1904,11,-0.831,1.092,-0.542,0.471,-0.290,0.184,-0.107,0.270,-0.127,0.157
155,1904,12,-1.433,0.996,-0.450,0.492,-0.304,0.174,-0.111,0.275,-0.130,0.154
156,1905,1,-0.511,0.733,-0.424,0.471,-0.313,0.174,-0.120,0.277,-0.129,0.151
157,1905,2,-0.641,0.612,-0.317,0.562,-0.332,0.174,-0.129,0.270,-0.123,0.150
158,1905,3,-0.148,0.521,-0.223,0.666,-0.331,0.170,-0.128,0.261,-0.124,0.151
159,1905,4,-0.430,0.461,-0.200,0.691,-0.323,0.168,-0.133,0.262,-0.122,0.151
160,1905,5,-0.174,1.161,-0.167,0.602,-0.316,0.163,-0.139,0.264,-0.122,0.151
161,1905,6,0.729,1.152,-0.087,0.602,-0.305,0.167,-0.138,0.262,-0.120,0.151
162,1905,7,0.200,0.559,-0.062,0.531,-0.290,0.167,-0.134,0.262,-0.118,0.150
163,1905,8,0.691,2.064,-0.102,0.429,-0.292,0.180,-0.132,0.261,-0.116,0.149
164,1905,9,0.574,1.429,-0.176,0.393,-0.284,0.191,-0.135,0.260,-0.116,0.149
165,1905,10,-0.425,0.755,-0.196,0.427,-0.294,0.181,-0.143,0.262,-0.117,0.149
166,1905,11,-0.437,0.505,-0.184,0.389,-0.305,0.172,-0.147,0.262,-0.118,0.150
167,1905,12,-0.469,0.870,-0.291,0.282,-0.308,0.168,-0.153,0.258,-0.119,0.151
168,1906,1,-0.218,0.754,-0.342,0.232,-0.316,0.162,-0.167,0.252,-0.120,0.150
169,1906,2,-1.123,1.834,-0.437,0.110,-0.330,0.156,-0.170,0.247,-0.122,0.150
170,1906,3,-1.034,0.504,-0.520,0.166,-0.334,0.163,-0.176,0.247,-0.122,0.150
171,1906,4,-0.665,0.594,-0.515,0.183,-0.345,0.159,-0.181,0.249,-0.122,0.148
172,1906,5,-0.031,0.572,-0.481,0.175,-0.349,0.164,-0.190,0.242,-0.124,0.147
173,1906,6,-0.551,0.621,-0.458,0.227,-0.353,0.172,-0.194,0.235,-0.126,0.148
174,1906,7,-0.421,0.267,-0.428,0.180,-0.357,0.186,-0.203,0.231,-0.128,0.149
175,1906,8,-0.446,0.619,-0.388,0.164,-0.350,0.215,-0.215,0.223,-0.128,0.149
176,1906,9,-0.421,0.372,-0.296,0.230,-0.334,0.222,-0.229,0.210,-0.127,0.148
177,1906,10,-0.362,0.218,-0.266,0.192,-0.323,0.214,-0.240,0.197,-0.128,0.150
178,1906,11,-0.031,0.484,-0.320,0.168,-0.316,0.209,-0.254,0.181,-0.125,0.151
179,1906,12,-0.190,0.523,-0.312,0.188,-0.316,0.218,-0.258,0.169,-0.126,0.154
180,1907,1,0.137,0.443,-0.308,0.182,-0.313,0.230,-0.257,0.166,-0.126,0.155
181,1907,2,-0.639,0.745,-0.302,0.184,-0.312,0.252,-0.260,0.159,-0.130,0.154
182,1907,3,0.068,1.570,-0.255,0.204,-0.310,0.264,-0.262,0.150,-0.130,0.153
183,1907,4,-0.300,0.520,-0.221,0.216,-0.297,0.270,-0.263,0.146,-0.134,0.151
184,1907,5,-0.677,1.133,-0.227,0.220,-0.284,0.256,-0.259,0.140,-0.137,0.149
185,1907,6,-0.460,0.509,-0.205,0.198,-0.266,0.245,-0.258,0.138,-0.138,0.149
186,1907,7,-0.367,0.447,-0.160,0.206,-0.273,0.243,-0.259,0.139,-0.134,0.151
187,1907,8,-0.385,0.311,-0.115,0.192,-0.270,0.235,-0.267,0.146,-0.133,0.150
188,1907,9,0.141,0.342,-0.085,0.236,-0.269,0.222,-0.272,0.145,-0.132,0.149
189,1907,10,0.056,0.416,-0.061,0.258,-0.265,0.221,-0.271,0.144,-0.133,0.151
190,1907,11,-0.109,0.475,-0.046,0.260,-0.265,0.216,-0.272,0.141,-0.135,0.154
191,1907,12,0.071,0.365,-0.033,0.266,-0.274,0.212,-0.274,0.137,-0.135,0.151
192,1908,1,0.677,0.554,-0.045,0.334,-0.269,0.216,-0.276,0.136,-0.140,0.153
193,1908,2,-0.099,0.731,-0.037,0.396,-0.278,0.226,-0.276,0.134,-0.140,0.153
194,1908,3,0.429,0.954,-0.069,0.438,-0.287,0.231,-0.284,0.131,-0.138,0.152
195,1908,4,-0.008,0.716,-0.107,0.423,-0.286,0.230,-0.292,0.131,-0.142,0.151
196,1908,5,-0.493,0.809,-0.140,0.407,-0.286,0.230,-0.295,0.127,-0.149,0.151
197,1908,6,-0.306,0.464,-0.196,0.496,-0.283,0.232,-0.296,0.125,-0.152,0.151
198,1908,7,-0.519,1.002,-0.321,0.555,-0.292,0.228,-0.296,0.129,-0.150,0.150
199,1908,8,-0.290,1.123,-0.360,0.632,-0.279,0.233,-0.301,0.133,-0.148,0.150
200,1908,9,-0.233,0.858,-0.433,0.631,-0.276,0.229,-0.299,0.139,-0.144,0.148
201,1908,10,-0.399,0.349,-0.501,0.629,-0.279,0.234,-0.305,0.141,-0.141,0.147
202,1908,11,-0.514,0.714,-0.489,0.589,-0.290,0.234,-0.307,0.143,-0.137,0.147
203,1908,12,-0.600,1.172,-0.495,0.622,-0.284,0.237,-0.306,0.141,-0.135,0.147
204,1909,1,-0.818,1.166,-0.445,0.613,-0.279,0.237,-0.297,0.139,-0.132,0.147
205,1909,2,-0.574,1.425,-0.467,0.649,-0.277,0.232,-0.287,0.143,-0.130,0.147
206,1909,3,-0.442,1.018,-0.482,0.623,-0.270,0.233,-0.276,0.142,-0.130,0.148
207,1909,4,-0.820,0.922,-0.443,0.656,-0.265,0.228,-0.258,0.140,-0.133,0.148
208,1909,5,-0.354,0.392,-0.404,0.594,-0.272,0.218,-0.248,0.139,-0.132,0.148
209,1909,6,-0.372,0.737,-0.383,0.502,-0.261,0.211,-0.242,0.141,-0.134,0.149
210,1909,7,0.075,0.735,-0.394,0.441,-0.257,0.205,-0.244,0.144,-0.138,0.150
211,1909,8,-0.553,0.847,-0.382,0.317,-0.255,0.197,-0.244,0.150,-0.138,0.152
212,1909,9,-0.413,0.503,-0.355,0.201,-0.257,0.194,-0.244,0.154,-0.141,0.153
213,1909,10,0.068,0.602,-0.302,0.192,-0.250,0.198,-0.241,0.156,-0.144,0.154
214,1909,11,-0.051,0.402,-0.289,0.214,-0.227,0.199,-0.242,0.151,-0.148,0.154
215,1909,12,-0.340,0.549,-0.238,0.165,-0.212,0.201,-0.232,0.145,-0.148,0.157
216,1910,1,-0.951,0.472,-0.207,0.149,-0.205,0.207,-0.228,0.142,-0.149,0.158
217,1910,2,-0.429,0.467,-0.144,0.170,-0.202,0.213,-0.220,0.143,-0.150,0.156
218,1910,3,-0.119,0.971,-0.111,0.227,-0.213,0.212,-0.220,0.143,-0.150,0.155
219,1910,4,-0.191,0.253,-0.145,0.243,-0.220,0.205,-0.216,0.143,-0.153,0.153
220,1910,5,-0.191,0.342,-0.179,0.238,-0.228,0.196,-0.214,0.141,-0.157,0.152
221,1910,6,0.235,0.435,-0.175,0.264,-0.242,0.193,-0.218,0.139,-0.159,0.152
222,1910,7,0.449,0.452,-0.158,0.299,-0.262,0.185,-0.213,0.142,-0.160,0.152
223,1910,8,0.204,0.415,-0.151,0.251,-0.261,0.168,-0.214,0.147,-0.161,0.152
224,1910,9,-0.019,0.539,-0.209,0.238,-0.283,0.153,-0.221,0.147,-0.163,0.153
225,1910,10,-0.341,0.696,-0.264,0.194,-0.290,0.150,-0.218,0.145,-0.168,0.153
226,1910,11,-0.457,0.443,-0.308,0.183,-0.285,0.145,-0.218,0.149,-0.171,0.153
227,1910,12,-0.292,0.830,-0.342,0.190,-0.284,0.143,-0.217,0.151,-0.175,0.153
228,1911,1,-0.751,0.752,-0.391,0.231,-0.277,0.144,-0.218,0.147,-0.180,0.152
229,1911,2,-0.343,0.821,-0.436,0.248,-0.272,0.152,-0.214,0.148,-0.183,0.150
230,1911,3,-0.809,0.288,-0.433,0.313,-0.264,0.160,-0.209,0.147,-0.182,0.151
231,1911,4,-0.851,0.928,-0.412,0.341,-0.265,0.165,-0.204,0.148,-0.180,0.150
232,1911,5,-0.718,0.552,-0.410,0.377,-0.265,0.162,-0.208,0.149,-0.181,0.146
233,1911,6,-0.172,0.804,-0.346,0.420,-0.258,0.148,-0.205,0.153,-0.184,0.145
234,1911,7,-0.143,1.088,-0.253,0.509,-0.237,0.136,-0.204,0.159,-0.190,0.144
235,1911,8,-0.341,0.498,-0.267,0.542,-0.224,0.129,-0.203,0.165,-0.196,0.143
236,1911,9,0.028,0.776,-0.201,0.597,-0.218,0.131,-0.201,0.167,-0.203,0.140
237,1911,10,-0.092,0.605,-0.120,0.572,-0.193,0.131,-0.201,0.172,-0.210,0.138
