,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1750,1,0.576,3.175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1750,2,0.087,3.134,-0.412,1.386,NaN,NaN,NaN,NaN,NaN,NaN
2,1750,3,NaN,NaN,-0.448,1.407,NaN,NaN,NaN,NaN,NaN,NaN
3,1750,4,0.009,2.782,-0.502,1.420,NaN,NaN,NaN,NaN,NaN,NaN
4,1750,5,-1.653,2.879,-0.871,1.479,NaN,NaN,NaN,NaN,NaN,NaN
5,1750,6,-0.360,2.832,-0.933,1.485,NaN,NaN,NaN,NaN,NaN,NaN
6,1750,7,0.343,3.533,-1.097,1.526,NaN,NaN,NaN,NaN,NaN,NaN
7,1750,8,0.491,3.259,-1.392,1.519,NaN,NaN,NaN,NaN,NaN,NaN
8,1750,9,NaN,NaN,-1.412,1.527,NaN,NaN,NaN,NaN,NaN,NaN
9,1750,10,-2.386,2.957,-1.542,1.554,NaN,NaN,NaN,NaN,NaN,NaN
10,1750,11,-5.406,3.107,-1.482,1.523,NaN,NaN,NaN,NaN,NaN,NaN
11,1750,12,-3.769,3.391,-1.556,1.543,NaN,NaN,NaN,NaN,NaN,NaN
12,1751,1,-1.388,3.535,-1.489,1.532,NaN,NaN,NaN,NaN,NaN,NaN
13,1751,2,-3.454,2.924,-1.514,1.542,NaN,NaN,NaN,NaN,NaN,NaN
14,1751,3,1.411,2.942,-1.500,1.530,NaN,NaN,NaN,NaN,NaN,NaN
15,1751,4,-1.550,2.813,-1.487,1.912,NaN,NaN,NaN,NaN,NaN,NaN
16,1751,5,-0.939,2.858,-1.322,2.040,NaN,NaN,NaN,NaN,NaN,NaN
17,1751,6,-1.247,3.082,-1.185,1.161,NaN,NaN,NaN,NaN,NaN,NaN
18,1751,7,1.150,2.740,-1.251,1.162,NaN,NaN,NaN,NaN,NaN,NaN
19,1751,8,0.194,3.487,-0.818,1.109,NaN,NaN,NaN,NaN,NaN,NaN
20,1751,9,-0.612,3.059,-0.832,1.097,NaN,NaN,NaN,NaN,NaN,NaN
21,1751,10,-2.238,7.036,-0.805,1.104,NaN,NaN,NaN,NaN,NaN,NaN
22,1751,11,-3.417,4.082,-0.764,1.079,NaN,NaN,NaN,NaN,NaN,NaN
23,1751,12,-2.133,2.483,-0.625,1.024,NaN,NaN,NaN,NaN,NaN,NaN
24,1752,1,-2.175,2.648,-0.604,1.080,NaN,NaN,NaN,NaN,NaN,NaN
25,1752,2,1.735,2.520,-0.667,1.006,NaN,NaN,NaN,NaN,NaN,NaN
26,1752,3,1.248,2.676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1752,4,-1.230,3.233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1752,5,-0.444,2.507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1752,6,0.427,2.446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1752,7,1.397,2.447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1752,8,-0.557,2.455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1752,10,-0.818,2.917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1752,11,-0.172,3.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1752,12,-1.089,2.619,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1753,1,-0.526,4.202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1753,2,-1.260,5.075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1753,3,1.761,3.318,-0.391,1.502,NaN,NaN,NaN,NaN,NaN,NaN
39,1753,4,-0.433,4.407,-0.341,1.488,NaN,NaN,NaN,NaN,NaN,NaN
40,1753,5,-0.089,2.696,-0.443,1.460,NaN,NaN,NaN,NaN,NaN,NaN
41,1753,6,-0.486,3.583,-0.777,1.227,NaN,NaN,NaN,NaN,NaN,NaN
42,1753,7,-0.269,2.641,-0.773,1.146,NaN,NaN,NaN,NaN,NaN,NaN
43,1753,8,-1.129,3.903,-0.884,1.123,NaN,NaN,NaN,NaN,NaN,NaN
44,1753,9,-0.186,2.574,-1.136,1.170,NaN,NaN,NaN,NaN,NaN,NaN
45,1753,10,-0.212,3.749,-0.940,1.185,NaN,NaN,NaN,NaN,NaN,NaN
46,1753,11,-1.405,3.860,-0.883,1.223,NaN,NaN,NaN,NaN,NaN,NaN
47,1753,12,-5.090,6.942,-0.804,1.160,NaN,NaN,NaN,NaN,NaN,NaN
48,1754,1,-0.482,5.106,-0.800,1.247,NaN,NaN,NaN,NaN,NaN,NaN
49,1754,2,-2.593,5.608,-0.836,1.264,NaN,NaN,NaN,NaN,NaN,NaN
50,1754,3,-1.261,3.124,-0.938,1.315,NaN,NaN,NaN,NaN,NaN,NaN
51,1754,4,1.926,3.277,-0.920,1.361,NaN,NaN,NaN,NaN,NaN,NaN
52,1754,5,0.595,5.543,-0.866,1.467,NaN,NaN,NaN,NaN,NaN,NaN
53,1754,6,0.458,5.272,-0.484,1.263,NaN,NaN,NaN,NaN,NaN,NaN
54,1754,7,-0.220,2.887,-0.570,1.285,NaN,NaN,NaN,NaN,NaN,NaN
55,1754,8,-1.558,2.840,-0.643,1.232,NaN,NaN,NaN,NaN,NaN,NaN
56,1754,9,-1.415,3.157,-0.609,1.189,NaN,NaN,NaN,NaN,NaN,NaN
57,1754,10,0.008,2.536,-0.728,1.276,NaN,NaN,NaN,NaN,NaN,NaN
58,1754,11,-0.754,2.928,-0.740,1.245,NaN,NaN,NaN,NaN,NaN,NaN
59,1754,12,-0.516,2.748,-0.659,1.287,NaN,NaN,NaN,NaN,NaN,NaN
60,1755,1,-1.515,3.980,-0.561,1.381,NaN,NaN,NaN,NaN,NaN,NaN
61,1755,2,-3.461,4.611,-0.558,1.396,NaN,NaN,NaN,NaN,NaN,NaN
62,1755,3,-0.860,3.125,-0.543,1.485,-0.286,1.250,NaN,NaN,NaN,NaN
63,1755,4,0.504,3.717,-0.448,1.667,-0.349,1.266,NaN,NaN,NaN,NaN
64,1755,5,0.455,4.155,-0.492,1.818,-0.372,1.259,NaN,NaN,NaN,NaN
65,1755,6,1.421,6.447,-0.607,1.685,-0.414,1.244,NaN,NaN,NaN,NaN
66,1755,7,0.962,3.740,-0.356,1.655,-0.486,1.163,NaN,NaN,NaN,NaN
67,1755,8,-1.529,2.950,0.196,2.197,-0.511,1.167,NaN,NaN,NaN,NaN
68,1755,9,-1.228,3.307,0.322,2.290,-0.555,1.149,NaN,NaN,NaN,NaN
69,1755,10,1.140,4.489,0.288,2.141,-0.572,1.141,NaN,NaN,NaN,NaN
70,1755,11,-1.277,3.244,0.235,1.886,-0.603,1.133,NaN,NaN,NaN,NaN
71,1755,12,-1.894,4.675,0.205,1.796,-0.603,1.130,NaN,NaN,NaN,NaN
72,1756,1,1.496,3.465,0.148,1.725,-0.614,1.156,NaN,NaN,NaN,NaN
73,1756,2,3.166,5.439,0.167,1.862,-0.633,1.132,NaN,NaN,NaN,NaN
