,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1880,8,-0.467,1.750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1880,9,-0.097,1.188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1880,10,-0.412,1.168,-0.005,0.641,NaN,NaN,NaN,NaN,NaN,NaN
3,1880,11,-0.223,1.039,0.061,0.657,NaN,NaN,NaN,NaN,NaN,NaN
4,1880,12,0.388,1.189,0.088,0.657,NaN,NaN,NaN,NaN,NaN,NaN
5,1881,1,0.784,1.141,0.154,0.652,NaN,NaN,NaN,NaN,NaN,NaN
6,1881,2,0.585,1.594,0.211,0.627,NaN,NaN,NaN,NaN,NaN,NaN
7,1881,3,0.254,1.182,0.216,0.601,NaN,NaN,NaN,NaN,NaN,NaN
8,1881,4,-0.144,1.018,0.269,0.590,NaN,NaN,NaN,NaN,NaN,NaN
9,1881,5,0.757,1.210,0.259,0.577,NaN,NaN,NaN,NaN,NaN,NaN
10,1881,6,0.025,1.294,0.202,0.550,NaN,NaN,NaN,NaN,NaN,NaN
11,1881,7,0.396,0.976,0.153,0.556,NaN,NaN,NaN,NaN,NaN,NaN
12,1881,8,0.216,1.205,0.010,0.494,NaN,NaN,NaN,NaN,NaN,NaN
13,1881,9,-0.033,0.983,-0.116,0.490,NaN,NaN,NaN,NaN,NaN,NaN
14,1881,10,0.218,1.031,-0.126,0.494,-0.284,0.391,NaN,NaN,NaN,NaN
15,1881,11,-0.342,1.088,-0.224,0.496,-0.294,0.401,NaN,NaN,NaN,NaN
16,1881,12,-0.295,1.145,-0.238,0.522,-0.300,0.405,NaN,NaN,NaN,NaN
17,1882,1,0.203,1.333,-0.382,0.517,-0.305,0.401,NaN,NaN,NaN,NaN
18,1882,2,-1.139,0.893,-0.444,0.503,-0.304,0.396,NaN,NaN,NaN,NaN
19,1882,3,-1.255,0.945,-0.475,0.502,-0.284,0.395,NaN,NaN,NaN,NaN
20,1882,4,-0.263,0.910,-0.523,0.526,-0.288,0.394,NaN,NaN,NaN,NaN
21,1882,5,-0.425,1.102,-0.621,0.526,-0.287,0.389,NaN,NaN,NaN,NaN
22,1882,6,-0.137,0.927,-0.558,0.521,-0.290,0.381,NaN,NaN,NaN,NaN
23,1882,7,-1.338,1.158,-0.626,0.510,-0.320,0.370,NaN,NaN,NaN,NaN
24,1882,8,-0.518,1.044,-0.601,0.572,-0.301,0.360,NaN,NaN,NaN,NaN
25,1882,9,-0.414,0.853,-0.522,0.558,-0.319,0.349,NaN,NaN,NaN,NaN
26,1882,10,-0.358,1.088,-0.502,0.575,-0.342,0.344,NaN,NaN,NaN,NaN
27,1882,11,-1.512,1.204,-0.458,0.504,-0.342,0.341,NaN,NaN,NaN,NaN
28,1882,12,0.463,0.919,-0.373,0.456,-0.341,0.340,NaN,NaN,NaN,NaN
29,1883,1,-0.619,1.059,-0.331,0.433,-0.331,0.340,-0.295,0.290,NaN,NaN
30,1883,2,-0.840,1.549,-0.362,0.454,-0.320,0.334,-0.289,0.289,NaN,NaN
31,1883,3,-0.302,0.966,-0.371,0.452,-0.324,0.329,-0.296,0.284,NaN,NaN
32,1883,4,-0.020,1.011,-0.340,0.417,-0.323,0.330,-0.302,0.280,NaN,NaN
33,1883,5,0.103,1.021,-0.341,0.411,-0.315,0.326,-0.312,0.279,NaN,NaN
34,1883,6,0.883,1.138,-0.398,0.423,-0.324,0.324,-0.317,0.278,NaN,NaN
35,1883,7,-0.840,1.357,-0.352,0.435,-0.354,0.321,-0.330,0.277,NaN,NaN
36,1883,8,-0.885,1.332,-0.372,0.445,-0.391,0.312,-0.338,0.278,NaN,NaN
37,1883,9,-0.526,0.918,-0.395,0.437,-0.411,0.314,-0.347,0.278,NaN,NaN
38,1883,10,0.016,0.819,-0.418,0.447,-0.411,0.320,-0.346,0.279,NaN,NaN
39,1883,11,-1.519,0.848,-0.504,0.457,-0.412,0.322,-0.342,0.277,NaN,NaN
40,1883,12,-0.227,0.932,-0.610,0.473,-0.401,0.317,-0.324,0.269,NaN,NaN
41,1884,1,-0.063,1.159,-0.577,0.455,-0.399,0.317,-0.331,0.264,NaN,NaN
42,1884,2,-1.086,1.024,-0.519,0.428,-0.413,0.319,-0.323,0.263,NaN,NaN
43,1884,3,-0.576,1.071,-0.446,0.430,-0.420,0.319,-0.302,0.263,NaN,NaN
44,1884,4,-0.303,0.837,-0.489,0.444,-0.423,0.317,-0.299,0.264,NaN,NaN
45,1884,5,-0.928,0.996,-0.444,0.445,-0.434,0.315,-0.294,0.266,NaN,NaN
46,1884,6,-0.386,0.901,-0.441,0.429,-0.457,0.314,-0.291,0.268,NaN,NaN
47,1884,7,-0.440,0.882,-0.537,0.425,-0.491,0.316,-0.291,0.266,NaN,NaN
