,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1844,5,-1.521,2.727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1844,6,-0.451,2.629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1844,7,0.285,2.709,-1.329,0.970,NaN,NaN,NaN,NaN,NaN,NaN
3,1844,8,-0.893,2.855,-1.562,1.049,NaN,NaN,NaN,NaN,NaN,NaN
4,1844,9,-1.732,2.787,-1.572,1.076,NaN,NaN,NaN,NaN,NaN,NaN
5,1844,10,-0.947,2.926,-1.344,1.065,NaN,NaN,NaN,NaN,NaN,NaN
6,1844,11,-3.070,2.958,-1.235,1.087,NaN,NaN,NaN,NaN,NaN,NaN
7,1844,12,-4.485,3.118,-1.235,1.086,NaN,NaN,NaN,NaN,NaN,NaN
8,1845,1,-0.815,3.032,-1.324,1.067,NaN,NaN,NaN,NaN,NaN,NaN
9,1845,2,-2.183,3.521,-1.268,1.074,NaN,NaN,NaN,NaN,NaN,NaN
10,1845,3,0.124,2.941,-1.231,1.092,NaN,NaN,NaN,NaN,NaN,NaN
11,1845,4,-0.438,2.709,-1.244,1.076,NaN,NaN,NaN,NaN,NaN,NaN
12,1845,5,-0.210,2.697,-1.101,1.051,NaN,NaN,NaN,NaN,NaN,NaN
13,1845,6,-0.452,2.670,-1.028,1.017,NaN,NaN,NaN,NaN,NaN,NaN
14,1845,7,-0.782,2.766,-1.007,1.085,NaN,NaN,NaN,NaN,NaN,NaN
15,1845,8,-0.229,2.829,-0.523,0.967,NaN,NaN,NaN,NaN,NaN,NaN
16,1845,9,-1.289,2.798,-0.503,0.945,NaN,NaN,NaN,NaN,NaN,NaN
17,1845,10,-1.094,2.779,-0.666,0.964,NaN,NaN,NaN,NaN,NaN,NaN
18,1845,11,-1.363,2.807,-0.671,0.959,NaN,NaN,NaN,NaN,NaN,NaN
19,1845,12,-3.609,3.106,-0.629,1.004,-0.841,0.577,NaN,NaN,NaN,NaN
20,1846,1,-0.560,3.666,-0.576,1.062,-0.826,0.587,NaN,NaN,NaN,NaN
21,1846,2,3.631,3.026,-0.633,1.075,-0.807,0.577,NaN,NaN,NaN,NaN
22,1846,3,0.357,2.759,-0.598,1.029,-0.821,0.575,NaN,NaN,NaN,NaN
23,1846,4,-2.387,3.055,-0.702,1.073,-0.849,0.571,NaN,NaN,NaN,NaN
24,1846,5,-0.280,2.642,-0.716,1.040,-0.852,0.561,NaN,NaN,NaN,NaN
25,1846,6,0.056,3.105,-0.320,1.007,-0.889,0.571,NaN,NaN,NaN,NaN
26,1846,7,-0.151,2.845,-0.323,1.013,-0.898,0.571,NaN,NaN,NaN,NaN
27,1846,8,-0.908,2.725,-0.397,1.033,-0.904,0.584,NaN,NaN,NaN,NaN
28,1846,9,-0.866,2.642,-0.584,0.981,-0.901,0.594,NaN,NaN,NaN,NaN
29,1846,10,-2.341,2.903,-0.383,0.921,-0.881,0.576,NaN,NaN,NaN,NaN
30,1846,11,-1.537,2.785,-0.453,0.897,-0.879,0.577,NaN,NaN,NaN,NaN
31,1846,12,1.146,2.618,-0.558,0.868,-0.884,0.576,NaN,NaN,NaN,NaN
32,1847,1,-0.595,3.180,-0.508,0.878,-0.877,0.587,NaN,NaN,NaN,NaN
33,1847,2,2.735,2.939,-0.480,0.888,-0.859,0.590,NaN,NaN,NaN,NaN
34,1847,3,-1.880,2.963,-0.408,0.909,-0.866,0.581,-0.770,0.502,NaN,NaN
35,1847,4,0.029,3.049,NaN,NaN,-0.849,0.581,-0.775,0.499,NaN,NaN
36,1847,5,-1.128,2.721,NaN,NaN,-0.827,0.580,-0.760,0.505,NaN,NaN
37,1847,6,-1.196,2.789,NaN,NaN,-0.793,0.569,-0.754,0.503,NaN,NaN
38,1847,7,0.442,2.820,NaN,NaN,-0.841,0.570,-0.745,0.505,NaN,NaN
39,1847,8,NaN,NaN,NaN,NaN,-0.795,0.570,-0.738,0.504,NaN,NaN
40,1847,9,NaN,NaN,NaN,NaN,-0.784,0.585,-0.723,0.503,NaN,NaN
41,1847,10,NaN,NaN,NaN,NaN,-0.806,0.590,-0.710,0.506,NaN,NaN
42,1847,11,NaN,NaN,NaN,NaN,-0.832,0.583,-0.723,0.498,NaN,NaN
43,1847,12,NaN,NaN,NaN,NaN,-0.843,0.585,-0.722,0.495,NaN,NaN
44,1848,1,-4.794,2.594,NaN,NaN,-0.821,0.599,-0.734,0.498,NaN,NaN
45,1848,2,-1.010,2.927,NaN,NaN,-0.825,0.600,-0.779,0.483,NaN,NaN
46,1848,3,-1.240,2.480,-1.294,0.902,-0.811,0.595,-0.785,0.478,NaN,NaN
47,1848,4,-0.330,2.451,-1.339,0.896,-0.836,0.578,-0.795,0.471,NaN,NaN
48,1848,5,-0.578,2.442,-1.453,0.846,-0.817,0.560,-0.785,0.474,NaN,NaN
49,1848,6,-0.396,2.386,-1.280,0.844,-0.773,0.553,-0.791,0.479,NaN,NaN
50,1848,7,0.452,2.490,-0.800,0.844,-0.783,0.538,-0.788,0.481,NaN,NaN
51,1848,8,-0.214,2.279,-0.692,0.862,-0.841,0.548,-0.767,0.479,NaN,NaN
52,1848,9,-1.406,2.376,-0.556,0.884,-0.870,0.529,-0.770,0.479,NaN,NaN
53,1848,10,-1.010,2.244,-0.692,0.878,-0.874,0.513,-0.778,0.478,NaN,NaN
54,1848,11,-1.369,2.400,-0.762,0.854,-0.854,0.514,-0.790,0.463,NaN,NaN
55,1848,12,-3.460,2.653,-0.794,0.863,-0.835,0.497,-0.797,0.464,NaN,NaN
56,1849,1,0.960,2.476,-0.770,0.897,-0.843,0.493,-0.825,0.454,NaN,NaN
57,1849,2,0.284,2.589,-0.740,0.926,-0.831,0.492,-0.826,0.458,NaN,NaN
58,1849,3,0.391,2.681,-0.798,0.905,-0.813,0.498,-0.838,0.459,NaN,NaN
59,1849,4,-1.958,3.077,-0.709,0.924,-0.786,0.491,-0.838,0.462,NaN,NaN
60,1849,5,-1.418,2.261,-0.738,0.948,-0.779,0.491,-0.827,0.462,NaN,NaN
61,1849,6,-0.777,2.568,-0.656,0.866,-0.793,0.515,-0.832,0.460,NaN,NaN
62,1849,7,0.742,2.567,-1.042,0.847,-0.796,0.510,-0.836,0.462,NaN,NaN
63,1849,8,0.146,2.474,-1.018,0.860,-0.866,0.507,-0.832,0.460,NaN,NaN
64,1849,9,-2.106,2.285,-0.988,0.892,-0.866,0.516,-0.819,0.454,-0.739,0.401
65,1849,10,0.058,2.330,-0.971,0.981,-0.879,0.533,-0.805,0.447,-0.727,0.401
66,1849,11,-1.725,2.942,-1.000,0.976,-0.854,0.551,-0.774,0.441,-0.718,0.400
67,1849,12,-2.467,2.363,-1.025,0.988,-0.844,0.547,-0.728,0.437,-0.699,0.396
68,1850,1,-3.678,2.684,-1.044,0.971,-0.856,0.543,-0.716,0.443,-0.706,0.393
69,1850,2,0.575,2.737,-1.095,0.928,-0.848,0.538,-0.672,0.434,-0.698,0.389
70,1850,3,0.754,2.984,-0.959,0.947,-0.857,0.538,-0.668,0.434,-0.713,0.385
71,1850,4,-1.762,2.420,-1.179,0.864,-0.847,0.547,-0.658,0.445,-0.716,0.383
72,1850,5,-1.756,2.284,-1.054,0.792,-0.877,0.540,-0.646,0.448,-0.710,0.379
73,1850,6,-1.084,2.242,-0.929,0.815,-0.786,0.539,-0.648,0.447,-0.710,0.377
74,1850,7,0.516,2.348,-0.720,0.812,-0.721,0.552,-0.647,0.446,-0.710,0.374
75,1850,8,-0.460,2.369,-0.755,0.789,-0.744,0.537,-0.642,0.446,-0.709,0.371
76,1850,9,-0.478,2.238,-0.933,0.735,-0.725,0.535,-0.644,0.443,-0.700,0.370
77,1850,10,-2.580,2.333,-1.004,0.695,-0.752,0.546,-0.641,0.438,-0.693,0.371
78,1850,11,-0.232,2.560,-0.782,0.686,-0.736,0.548,-0.643,0.429,-0.693,0.371
79,1850,12,-0.957,2.304,-0.589,0.698,-0.740,0.557,-0.625,0.416,-0.709,0.368
80,1851,1,-1.180,2.583,-0.687,0.693,-0.750,0.558,-0.611,0.411,-0.713,0.365
81,1851,2,0.158,2.434,-0.662,0.695,-0.727,0.562,-0.638,0.413,-0.723,0.363
82,1851,3,-1.384,2.718,-0.605,0.686,-0.718,0.552,-0.649,0.407,-0.714,0.365
83,1851,4,-2.609,2.313,-0.449,0.744,-0.707,0.548,-0.648,0.401,-0.710,0.365
84,1851,5,0.905,2.221,-0.527,0.836,-0.728,0.527,-0.646,0.401,-0.707,0.365
85,1851,6,1.229,2.358,-0.422,0.920,-0.706,0.509,-0.650,0.395,-0.713,0.362
86,1851,7,-0.654,2.309,-0.387,1.030,-0.753,0.494,-0.646,0.392,-0.712,0.360
