,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1840,1,-0.045,1.564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1840,2,-0.816,1.531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1840,3,-1.281,2.154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1840,4,-1.153,1.264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1840,5,-0.624,1.280,-0.932,0.694,NaN,NaN,NaN,NaN,NaN,NaN
5,1840,6,-0.590,1.228,-0.889,0.636,NaN,NaN,NaN,NaN,NaN,NaN
6,1840,7,-0.112,1.175,-0.957,0.661,NaN,NaN,NaN,NaN,NaN,NaN
7,1840,8,-0.804,1.467,-0.945,0.689,NaN,NaN,NaN,NaN,NaN,NaN
8,1840,9,-0.810,1.218,-0.960,0.669,NaN,NaN,NaN,NaN,NaN,NaN
9,1840,10,NaN,NaN,-0.947,0.796,NaN,NaN,NaN,NaN,NaN,NaN
10,1840,11,-1.320,1.119,-0.955,0.846,NaN,NaN,NaN,NaN,NaN,NaN
11,1840,12,-1.588,1.441,-0.935,0.921,NaN,NaN,NaN,NaN,NaN,NaN
12,1841,1,-0.863,2.117,-0.917,0.948,NaN,NaN,NaN,NaN,NaN,NaN
13,1841,2,-0.679,1.852,-0.835,0.957,NaN,NaN,NaN,NaN,NaN,NaN
14,1841,3,-1.458,2.091,-0.834,0.980,NaN,NaN,NaN,NaN,NaN,NaN
15,1841,4,-0.992,2.429,-0.719,1.039,NaN,NaN,NaN,NaN,NaN,NaN
16,1841,5,-0.720,1.132,-0.680,1.125,NaN,NaN,NaN,NaN,NaN,NaN
17,1841,6,-0.353,1.288,-0.581,1.246,NaN,NaN,NaN,NaN,NaN,NaN
18,1841,7,0.104,1.214,-0.528,1.200,NaN,NaN,NaN,NaN,NaN,NaN
19,1841,8,0.184,1.673,-0.458,1.214,NaN,NaN,NaN,NaN,NaN,NaN
20,1841,9,-0.806,1.411,-0.369,1.037,-0.770,0.615,NaN,NaN,NaN,NaN
21,1841,10,-0.138,1.558,-0.346,0.868,-0.776,0.615,NaN,NaN,NaN,NaN
22,1841,11,-0.850,1.845,-0.369,0.840,-0.775,0.612,NaN,NaN,NaN,NaN
23,1841,12,-0.399,2.477,-0.401,0.835,-0.776,0.612,NaN,NaN,NaN,NaN
24,1842,1,-0.231,1.959,-0.497,0.818,-0.788,0.610,NaN,NaN,NaN,NaN
25,1842,2,0.166,1.587,-0.571,0.797,-0.806,0.594,NaN,NaN,NaN,NaN
26,1842,3,-0.388,1.521,-0.588,0.798,-0.808,0.589,NaN,NaN,NaN,NaN
27,1842,4,-0.718,1.385,-0.688,0.748,-0.808,0.574,NaN,NaN,NaN,NaN
28,1842,5,-0.995,1.195,-0.738,0.731,-0.806,0.561,NaN,NaN,NaN,NaN
29,1842,6,-0.739,1.596,-0.726,0.722,-0.797,0.552,NaN,NaN,NaN,NaN
30,1842,7,-1.049,1.291,-0.692,0.757,-0.813,0.549,NaN,NaN,NaN,NaN
31,1842,8,-0.705,1.282,-0.696,0.851,-0.816,0.565,NaN,NaN,NaN,NaN
32,1842,9,-1.014,1.344,-0.750,0.813,-0.817,0.549,NaN,NaN,NaN,NaN
33,1842,10,-1.329,1.213,-0.756,0.791,-0.828,0.545,NaN,NaN,NaN,NaN
34,1842,11,-1.456,1.267,-0.759,0.765,-0.839,0.547,NaN,NaN,NaN,NaN
35,1842,12,-0.254,1.282,-0.731,0.698,-0.843,0.553,NaN,NaN,NaN,NaN
36,1843,1,0.184,1.662,-0.696,0.679,-0.857,0.553,NaN,NaN,NaN,NaN
37,1843,2,0.115,2.024,-0.679,0.675,-0.861,0.550,NaN,NaN,NaN,NaN
38,1843,3,-1.041,1.740,-0.668,0.685,-0.868,0.556,NaN,NaN,NaN,NaN
