,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1849,3,-0.281,1.623,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1849,4,-0.532,1.909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1849,5,-0.842,1.543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1849,6,-0.706,2.015,-0.698,0.806,NaN,NaN,NaN,NaN,NaN,NaN
4,1849,7,-0.251,2.131,-0.777,0.777,NaN,NaN,NaN,NaN,NaN,NaN
5,1849,8,-0.752,1.809,-0.751,0.813,NaN,NaN,NaN,NaN,NaN,NaN
6,1849,9,-1.439,1.641,-0.730,0.857,NaN,NaN,NaN,NaN,NaN,NaN
7,1849,10,-0.500,1.602,-0.665,0.945,NaN,NaN,NaN,NaN,NaN,NaN
8,1849,11,-0.666,2.225,-0.661,0.934,NaN,NaN,NaN,NaN,NaN,NaN
9,1849,12,NaN,NaN,-0.603,0.909,NaN,NaN,NaN,NaN,NaN,NaN
10,1850,1,-1.761,2.050,-0.624,0.858,NaN,NaN,NaN,NaN,NaN,NaN
11,1850,2,-0.243,2.580,-0.589,0.823,NaN,NaN,NaN,NaN,NaN,NaN
12,1850,3,-0.025,2.222,-0.526,0.823,NaN,NaN,NaN,NaN,NaN,NaN
13,1850,4,0.245,1.632,-0.530,0.766,NaN,NaN,NaN,NaN,NaN,NaN
14,1850,5,-0.791,1.576,-0.590,0.705,NaN,NaN,NaN,NaN,NaN,NaN
15,1850,6,-0.017,1.556,-0.561,0.763,NaN,NaN,NaN,NaN,NaN,NaN
16,1850,7,-0.492,1.652,-0.489,0.775,NaN,NaN,NaN,NaN,NaN,NaN
17,1850,8,-0.333,1.804,-0.550,0.732,NaN,NaN,NaN,NaN,NaN,NaN
18,1850,9,-0.686,1.587,-0.612,0.710,NaN,NaN,NaN,NaN,NaN,NaN
19,1850,10,-0.553,1.701,-0.625,0.734,NaN,NaN,NaN,NaN,NaN,NaN
20,1850,11,-1.382,2.196,-0.573,0.786,NaN,NaN,NaN,NaN,NaN,NaN
21,1850,12,-0.701,1.571,-0.575,0.820,NaN,NaN,NaN,NaN,NaN,NaN
22,1851,1,-0.889,1.579,-0.552,0.821,NaN,NaN,NaN,NaN,NaN,NaN
23,1851,2,-0.982,1.821,-0.527,0.815,NaN,NaN,NaN,NaN,NaN,NaN
24,1851,3,-0.761,1.733,-0.474,0.832,NaN,NaN,NaN,NaN,NaN,NaN
25,1851,4,0.088,1.609,-0.402,0.887,NaN,NaN,NaN,NaN,NaN,NaN
26,1851,5,-0.172,1.909,-0.373,0.947,NaN,NaN,NaN,NaN,NaN,NaN
27,1851,6,-0.036,1.859,-0.217,1.027,NaN,NaN,NaN,NaN,NaN,NaN
28,1851,7,-0.217,1.709,-0.163,1.081,NaN,NaN,NaN,NaN,NaN,NaN
29,1851,8,-0.028,1.689,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1851,9,-0.051,1.752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1851,10,0.307,1.986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1851,11,-1.034,1.928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1851,12,1.168,2.497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1852,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1852,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1852,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1852,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1852,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,1852,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,1852,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,1852,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,1852,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,1852,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,1852,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,1852,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,1853,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,1853,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,1853,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
