,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1880,8,-0.285,1.532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1880,9,0.161,1.630,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1880,10,-0.162,0.977,0.051,0.541,NaN,NaN,NaN,NaN,NaN,NaN
3,1880,11,-0.381,0.781,0.091,0.563,NaN,NaN,NaN,NaN,NaN,NaN
4,1880,12,0.226,1.562,0.095,0.552,NaN,NaN,NaN,NaN,NaN,NaN
5,1881,1,-0.087,1.309,0.134,0.591,NaN,NaN,NaN,NaN,NaN,NaN
6,1881,2,0.333,1.274,0.193,0.626,NaN,NaN,NaN,NaN,NaN,NaN
7,1881,3,0.519,2.024,0.194,0.615,NaN,NaN,NaN,NaN,NaN,NaN
8,1881,4,0.679,1.132,0.254,0.676,NaN,NaN,NaN,NaN,NaN,NaN
9,1881,5,0.501,0.944,0.281,0.767,NaN,NaN,NaN,NaN,NaN,NaN
10,1881,6,-0.384,1.030,0.256,0.731,NaN,NaN,NaN,NaN,NaN,NaN
11,1881,7,0.487,0.994,0.292,0.720,NaN,NaN,NaN,NaN,NaN,NaN
12,1881,8,NaN,NaN,0.265,0.660,NaN,NaN,NaN,NaN,NaN,NaN
13,1881,9,0.179,1.440,0.184,0.542,NaN,NaN,NaN,NaN,NaN,NaN
14,1881,10,0.557,1.455,0.131,0.523,NaN,NaN,NaN,NaN,NaN,NaN
15,1881,11,-0.057,1.479,0.089,0.546,-0.257,0.309,NaN,NaN,NaN,NaN
16,1881,12,-0.072,1.272,0.074,0.574,-0.273,0.305,NaN,NaN,NaN,NaN
17,1882,1,0.345,1.258,-0.061,0.469,-0.276,0.311,NaN,NaN,NaN,NaN
18,1882,2,0.004,0.755,-0.133,0.417,-0.271,0.309,NaN,NaN,NaN,NaN
19,1882,3,-0.455,0.814,-0.146,0.383,-0.247,0.328,NaN,NaN,NaN,NaN
20,1882,4,0.049,0.929,-0.219,0.369,-0.255,0.323,NaN,NaN,NaN,NaN
21,1882,5,-0.005,1.064,-0.315,0.339,-0.260,0.322,NaN,NaN,NaN,NaN
22,1882,6,-0.561,0.690,-0.346,0.344,-0.251,0.327,NaN,NaN,NaN,NaN
23,1882,7,-1.144,1.508,-0.375,0.384,-0.244,0.338,NaN,NaN,NaN,NaN
24,1882,8,-0.437,1.329,-0.405,0.455,-0.226,0.343,NaN,NaN,NaN,NaN
25,1882,9,0.019,0.932,-0.363,0.485,-0.226,0.337,NaN,NaN,NaN,NaN
26,1882,10,-0.310,0.982,-0.380,0.503,-0.216,0.367,NaN,NaN,NaN,NaN
27,1882,11,-1.218,0.854,-0.400,0.430,-0.218,0.369,NaN,NaN,NaN,NaN
28,1882,12,-0.437,1.458,-0.359,0.406,-0.220,0.373,NaN,NaN,NaN,NaN
29,1883,1,-0.001,1.151,-0.407,0.347,-0.220,0.371,NaN,NaN,NaN,NaN
30,1883,2,-0.356,1.511,-0.413,0.396,-0.216,0.381,NaN,NaN,NaN,NaN
31,1883,3,0.045,0.998,-0.446,0.398,-0.233,0.361,NaN,NaN,NaN,NaN
32,1883,4,-0.149,1.059,-0.402,0.354,-0.238,0.359,NaN,NaN,NaN,NaN
33,1883,5,-0.249,0.793,-0.391,0.388,-0.236,0.369,NaN,NaN,NaN,NaN
34,1883,6,-0.072,0.787,-0.397,0.360,-0.238,0.351,NaN,NaN,NaN,NaN
35,1883,7,-1.712,2.813,-0.445,0.370,-0.245,0.381,-0.267,0.277,NaN,NaN
36,1883,8,-0.516,0.785,-0.476,0.389,-0.260,0.386,-0.272,0.280,NaN,NaN
37,1883,9,-0.373,0.986,-0.523,0.344,-0.272,0.396,-0.273,0.285,NaN,NaN
38,1883,10,0.212,0.646,-0.542,0.346,-0.278,0.404,-0.274,0.275,NaN,NaN
39,1883,11,-1.081,0.942,-0.593,0.350,-0.291,0.401,-0.278,0.280,NaN,NaN
40,1883,12,-0.509,0.808,-0.652,0.367,-0.282,0.409,-0.271,0.284,NaN,NaN
41,1884,1,-0.578,1.062,-0.519,0.395,-0.276,0.417,-0.267,0.288,NaN,NaN
42,1884,2,-0.736,0.924,-0.470,0.376,-0.285,0.429,-0.261,0.288,NaN,NaN
43,1884,3,-0.519,2.080,-0.408,0.445,-0.296,0.417,-0.251,0.284,NaN,NaN
44,1884,4,-0.370,0.805,-0.481,0.423,-0.302,0.412,-0.251,0.279,NaN,NaN
45,1884,5,-0.866,0.715,-0.491,0.393,-0.313,0.410,-0.248,0.277,NaN,NaN
46,1884,6,-0.773,0.865,-0.449,0.399,-0.328,0.391,-0.251,0.276,NaN,NaN
47,1884,7,-0.120,0.926,-0.422,0.511,-0.347,0.427,-0.252,0.269,NaN,NaN
48,1884,8,0.070,0.821,-0.371,0.597,-0.352,0.436,-0.255,0.262,NaN,NaN
49,1884,9,0.379,2.253,-0.387,0.454,-0.357,0.444,-0.246,0.271,NaN,NaN
50,1884,10,-0.670,0.980,-0.343,0.576,-0.359,0.433,-0.247,0.267,NaN,NaN
51,1884,11,-1.196,0.766,-0.279,0.587,-0.372,0.422,-0.249,0.274,NaN,NaN
52,1884,12,-0.012,0.935,-0.259,0.647,-0.371,0.422,-0.246,0.277,NaN,NaN
53,1885,1,-0.244,1.522,-0.246,0.611,-0.361,0.423,-0.240,0.283,NaN,NaN
54,1885,2,-0.130,1.294,-0.258,0.621,-0.375,0.418,-0.229,0.281,NaN,NaN
55,1885,3,-0.710,0.778,NaN,NaN,-0.385,0.412,-0.228,0.286,NaN,NaN
56,1885,4,0.159,2.436,NaN,NaN,-0.391,0.373,-0.225,0.288,NaN,NaN
57,1885,5,-0.105,0.751,NaN,NaN,-0.376,0.368,-0.235,0.280,NaN,NaN
58,1885,6,NaN,NaN,NaN,NaN,-0.379,0.361,-0.238,0.273,NaN,NaN
59,1885,7,NaN,NaN,NaN,NaN,-0.384,0.349,-0.249,0.256,NaN,NaN
60,1885,8,NaN,NaN,NaN,NaN,-0.382,0.335,-0.261,0.245,NaN,NaN
61,1885,9,NaN,NaN,NaN,NaN,-0.389,0.318,-0.267,0.239,NaN,NaN
62,1885,10,NaN,NaN,NaN,NaN,-0.382,0.319,-0.266,0.236,NaN,NaN
63,1885,11,-0.253,1.053,NaN,NaN,-0.382,0.331,-0.266,0.245,NaN,NaN
64,1885,12,0.100,0.883,NaN,NaN,-0.387,0.343,-0.266,0.245,NaN,NaN
65,1886,1,-0.473,1.715,-0.145,0.801,-0.352,0.376,-0.266,0.257,-0.208,0.141
66,1886,2,-0.548,1.596,-0.148,0.854,-0.338,0.384,-0.267,0.262,-0.207,0.139
67,1886,3,-0.220,2.570,-0.121,0.892,-0.330,0.386,-0.275,0.251,-0.206,0.141
68,1886,4,0.303,1.505,-0.062,0.960,-0.337,0.366,-0.282,0.245,-0.207,0.139
69,1886,5,-0.255,0.750,-0.103,1.002,-0.325,0.371,-0.288,0.238,-0.208,0.137
70,1886,6,0.160,0.738,-0.190,0.979,-0.308,0.380,-0.293,0.242,-0.206,0.135
71,1886,7,0.853,1.524,-0.216,0.989,-0.295,0.397,-0.301,0.237,-0.203,0.135
