,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1824,1,-0.268,1.884,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1824,2,-0.742,1.951,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1824,3,-0.292,1.580,-0.756,0.662,NaN,NaN,NaN,NaN,NaN,NaN
3,1824,4,0.227,1.140,-0.726,0.642,NaN,NaN,NaN,NaN,NaN,NaN
4,1824,5,-0.360,0.749,-0.640,0.600,NaN,NaN,NaN,NaN,NaN,NaN
5,1824,6,-0.464,1.617,-0.555,0.724,NaN,NaN,NaN,NaN,NaN,NaN
6,1824,7,-0.285,1.492,-0.541,0.777,NaN,NaN,NaN,NaN,NaN,NaN
7,1824,8,-1.127,0.681,-0.498,0.679,NaN,NaN,NaN,NaN,NaN,NaN
8,1824,9,-1.047,1.947,-0.470,0.573,NaN,NaN,NaN,NaN,NaN,NaN
9,1824,10,-1.394,1.264,-0.450,0.585,NaN,NaN,NaN,NaN,NaN,NaN
10,1824,11,-0.544,1.705,-0.420,0.516,NaN,NaN,NaN,NaN,NaN,NaN
11,1824,12,-0.358,3.358,-0.402,0.616,NaN,NaN,NaN,NaN,NaN,NaN
12,1825,1,-0.107,2.203,-0.413,0.621,NaN,NaN,NaN,NaN,NaN,NaN
13,1825,2,-0.231,1.611,-0.392,0.594,NaN,NaN,NaN,NaN,NaN,NaN
14,1825,3,0.047,2.207,-0.404,0.631,NaN,NaN,NaN,NaN,NaN,NaN
15,1825,4,0.468,1.369,-0.384,0.648,-0.627,0.491,NaN,NaN,NaN,NaN
16,1825,5,0.001,1.764,-0.368,0.725,-0.602,0.493,NaN,NaN,NaN,NaN
17,1825,6,-0.247,1.306,-0.375,0.726,-0.566,0.486,NaN,NaN,NaN,NaN
18,1825,7,-0.418,1.338,-0.383,0.761,-0.573,0.478,NaN,NaN,NaN,NaN
19,1825,8,-0.872,1.159,-0.447,0.781,-0.572,0.471,NaN,NaN,NaN,NaN
20,1825,9,-1.195,1.183,-0.540,0.680,-0.567,0.458,NaN,NaN,NaN,NaN
21,1825,10,-1.149,1.433,-0.603,0.665,-0.554,0.464,NaN,NaN,NaN,NaN
22,1825,11,-0.357,2.686,-0.619,0.699,-0.541,0.469,NaN,NaN,NaN,NaN
23,1825,12,-0.439,1.476,-0.654,0.668,-0.540,0.479,NaN,NaN,NaN,NaN
24,1826,1,-0.207,1.294,-0.655,0.576,-0.543,0.479,NaN,NaN,NaN,NaN
25,1826,2,-0.995,1.999,-0.675,0.565,-0.530,0.467,NaN,NaN,NaN,NaN
26,1826,3,-1.070,2.390,-0.670,0.629,-0.526,0.440,NaN,NaN,NaN,NaN
27,1826,4,-0.288,1.505,-0.658,0.604,-0.509,0.436,NaN,NaN,NaN,NaN
28,1826,5,-0.193,1.271,-0.642,0.727,-0.486,0.433,NaN,NaN,NaN,NaN
29,1826,6,-0.661,1.255,-0.557,0.770,-0.475,0.417,NaN,NaN,NaN,NaN
30,1826,7,-0.430,0.975,-0.535,0.847,-0.487,0.401,NaN,NaN,NaN,NaN
31,1826,8,-1.114,0.810,-0.460,0.831,-0.491,0.394,NaN,NaN,NaN,NaN
32,1826,9,-1.134,1.378,-0.356,0.673,-0.492,0.372,NaN,NaN,NaN,NaN
33,1826,10,-1.009,1.427,-0.297,0.724,-0.499,0.364,NaN,NaN,NaN,NaN
34,1826,11,-0.164,1.837,-0.272,0.692,-0.496,0.373,NaN,NaN,NaN,NaN
35,1826,12,0.585,1.750,-0.240,0.700,-0.502,0.373,NaN,NaN,NaN,NaN
36,1827,1,0.047,2.390,-0.217,0.687,-0.504,0.376,NaN,NaN,NaN,NaN
37,1827,2,-0.096,1.563,-0.209,0.747,-0.497,0.382,NaN,NaN,NaN,NaN
38,1827,3,0.178,1.593,-0.217,0.743,-0.498,0.364,NaN,NaN,NaN,NaN
39,1827,4,0.432,1.978,-0.219,0.771,-0.488,0.368,NaN,NaN,NaN,NaN
40,1827,5,0.100,1.283,-0.219,0.762,-0.490,0.371,NaN,NaN,NaN,NaN
41,1827,6,NaN,NaN,-0.308,0.695,-0.500,0.373,NaN,NaN,NaN,NaN
42,1827,7,-0.151,1.530,-0.405,0.523,-0.485,0.375,NaN,NaN,NaN,NaN
43,1827,8,-1.018,1.228,-0.487,0.501,-0.465,0.362,NaN,NaN,NaN,NaN
44,1827,9,-1.235,0.818,-0.533,0.636,-0.482,0.353,NaN,NaN,NaN,NaN
45,1827,10,-1.033,1.463,-0.579,0.625,-0.491,0.347,NaN,NaN,NaN,NaN
46,1827,11,-0.162,1.452,-0.601,0.657,-0.510,0.367,NaN,NaN,NaN,NaN
47,1827,12,-0.480,1.578,-0.603,0.794,-0.519,0.369,NaN,NaN,NaN,NaN
48,1828,1,-1.124,1.915,-0.622,0.823,-0.509,0.363,NaN,NaN,NaN,NaN
49,1828,2,-1.074,1.444,-0.571,0.779,-0.506,0.365,NaN,NaN,NaN,NaN
50,1828,3,-0.382,1.485,-0.585,0.712,-0.515,0.371,NaN,NaN,NaN,NaN
51,1828,4,-0.121,1.946,-0.558,0.710,-0.515,0.372,NaN,NaN,NaN,NaN
52,1828,5,-0.156,1.736,-0.560,0.681,-0.489,0.390,NaN,NaN,NaN,NaN
53,1828,6,-0.302,1.692,-0.580,0.673,-0.468,0.390,NaN,NaN,NaN,NaN
54,1828,7,-0.373,1.273,-0.569,0.640,NaN,NaN,NaN,NaN,NaN,NaN
55,1828,8,-0.415,0.897,-0.560,0.617,NaN,NaN,NaN,NaN,NaN,NaN
56,1828,9,-1.399,1.694,-0.561,0.630,NaN,NaN,NaN,NaN,NaN,NaN
