,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1807,8,-1.904,2.350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1807,9,0.327,2.475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1807,10,-0.121,2.205,-0.878,1.261,NaN,NaN,NaN,NaN,NaN,NaN
3,1807,11,0.273,2.325,-0.854,1.235,NaN,NaN,NaN,NaN,NaN,NaN
4,1807,12,1.173,2.393,-0.910,1.257,NaN,NaN,NaN,NaN,NaN,NaN
5,1808,1,-5.892,5.066,-0.923,1.154,NaN,NaN,NaN,NaN,NaN,NaN
6,1808,2,-1.631,3.394,-0.837,1.170,NaN,NaN,NaN,NaN,NaN,NaN
7,1808,3,0.066,3.144,-0.860,1.270,NaN,NaN,NaN,NaN,NaN,NaN
8,1808,4,-0.301,3.168,-0.911,1.377,NaN,NaN,NaN,NaN,NaN,NaN
9,1808,5,-2.411,3.108,-1.096,1.462,NaN,NaN,NaN,NaN,NaN,NaN
10,1808,6,-0.595,2.543,-1.169,1.607,NaN,NaN,NaN,NaN,NaN,NaN
11,1808,7,-0.060,2.222,-0.682,1.824,NaN,NaN,NaN,NaN,NaN,NaN
12,1808,8,NaN,NaN,-0.819,1.814,NaN,NaN,NaN,NaN,NaN,NaN
13,1808,9,NaN,NaN,-0.749,1.816,NaN,NaN,NaN,NaN,NaN,NaN
14,1808,10,NaN,NaN,-0.630,1.700,NaN,NaN,NaN,NaN,NaN,NaN
15,1808,11,-1.955,2.135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,1808,12,0.302,4.590,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1809,1,-0.052,3.601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,1809,2,-3.267,3.269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,1809,3,0.901,3.019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,1809,4,1.134,2.135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,1809,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,1809,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,1809,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
