,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1824,1,0.071,1.777,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1824,2,-0.812,1.629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1824,3,0.203,1.565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1824,4,0.333,0.877,-0.578,0.629,NaN,NaN,NaN,NaN,NaN,NaN
4,1824,5,0.022,0.773,-0.459,0.615,NaN,NaN,NaN,NaN,NaN,NaN
5,1824,6,-0.016,1.274,-0.349,0.603,NaN,NaN,NaN,NaN,NaN,NaN
6,1824,7,0.080,1.246,-0.365,0.636,NaN,NaN,NaN,NaN,NaN,NaN
7,1824,8,-1.149,0.786,-0.309,0.590,NaN,NaN,NaN,NaN,NaN,NaN
8,1824,9,-1.094,1.855,-0.342,0.539,NaN,NaN,NaN,NaN,NaN,NaN
9,1824,10,-1.304,1.220,-0.362,0.599,NaN,NaN,NaN,NaN,NaN,NaN
10,1824,11,-0.367,1.317,-0.379,0.538,NaN,NaN,NaN,NaN,NaN,NaN
11,1824,12,-0.153,2.595,-0.396,0.590,NaN,NaN,NaN,NaN,NaN,NaN
12,1825,1,-0.119,2.033,-0.458,0.593,NaN,NaN,NaN,NaN,NaN,NaN
13,1825,2,-0.138,2.085,-0.471,0.583,NaN,NaN,NaN,NaN,NaN,NaN
14,1825,3,-0.195,1.877,-0.495,0.574,NaN,NaN,NaN,NaN,NaN,NaN
15,1825,4,0.087,1.718,-0.499,0.589,-0.573,0.515,NaN,NaN,NaN,NaN
16,1825,5,-0.175,1.146,-0.522,0.625,-0.560,0.516,NaN,NaN,NaN,NaN
17,1825,6,-0.226,1.294,-0.592,0.589,-0.527,0.503,NaN,NaN,NaN,NaN
18,1825,7,-0.660,1.034,-0.654,0.554,-0.521,0.497,NaN,NaN,NaN,NaN
19,1825,8,-1.312,0.649,-0.657,0.563,-0.501,0.492,NaN,NaN,NaN,NaN
20,1825,9,-1.380,1.182,-0.651,0.602,-0.496,0.473,NaN,NaN,NaN,NaN
21,1825,10,-1.345,1.330,-0.631,0.585,-0.484,0.476,NaN,NaN,NaN,NaN
22,1825,11,-0.654,2.128,-0.622,0.637,-0.476,0.478,NaN,NaN,NaN,NaN
23,1825,12,-0.985,0.959,-0.659,0.578,-0.471,0.481,NaN,NaN,NaN,NaN
24,1826,1,-0.871,0.799,-0.629,0.514,-0.470,0.479,NaN,NaN,NaN,NaN
25,1826,2,-0.173,2.410,-0.618,0.530,-0.458,0.472,NaN,NaN,NaN,NaN
26,1826,3,-0.119,3.496,-0.569,0.635,-0.457,0.451,NaN,NaN,NaN,NaN
27,1826,4,0.326,1.526,-0.547,0.612,-0.441,0.446,NaN,NaN,NaN,NaN
28,1826,5,-0.069,1.219,-0.548,0.720,-0.419,0.447,NaN,NaN,NaN,NaN
29,1826,6,-0.668,1.667,-0.437,0.750,-0.397,0.442,NaN,NaN,NaN,NaN
30,1826,7,-0.303,0.926,-0.398,0.784,-0.420,0.431,NaN,NaN,NaN,NaN
31,1826,8,-1.171,0.741,-0.331,0.664,-0.419,0.429,NaN,NaN,NaN,NaN
32,1826,9,-0.791,1.692,-0.291,0.476,-0.440,0.412,NaN,NaN,NaN,NaN
33,1826,10,-1.088,1.317,-0.251,0.524,-0.453,0.410,NaN,NaN,NaN,NaN
34,1826,11,-0.661,1.710,-0.202,0.517,-0.462,0.420,NaN,NaN,NaN,NaN
35,1826,12,0.338,1.199,-0.155,0.552,-0.475,0.414,NaN,NaN,NaN,NaN
36,1827,1,-0.403,1.798,-0.122,0.565,-0.483,0.416,NaN,NaN,NaN,NaN
37,1827,2,0.634,1.279,-0.080,0.603,-0.476,0.425,NaN,NaN,NaN,NaN
38,1827,3,0.359,1.206,-0.121,0.587,-0.478,0.410,NaN,NaN,NaN,NaN
39,1827,4,0.811,1.904,-0.121,0.609,-0.475,0.414,NaN,NaN,NaN,NaN
40,1827,5,0.514,1.193,-0.107,0.647,-0.490,0.402,NaN,NaN,NaN,NaN
41,1827,6,NaN,NaN,-0.152,0.599,-0.504,0.406,NaN,NaN,NaN,NaN
42,1827,7,0.101,1.703,-0.140,0.519,-0.490,0.407,NaN,NaN,NaN,NaN
43,1827,8,-0.668,1.039,-0.196,0.573,-0.471,0.392,NaN,NaN,NaN,NaN
44,1827,9,-1.282,0.745,-0.260,0.659,-0.481,0.385,NaN,NaN,NaN,NaN
45,1827,10,-1.094,1.405,-0.348,0.627,-0.488,0.372,NaN,NaN,NaN,NaN
46,1827,11,-0.495,1.477,-0.414,0.644,-0.500,0.388,NaN,NaN,NaN,NaN
47,1827,12,-0.202,1.401,-0.414,0.748,-0.505,0.387,NaN,NaN,NaN,NaN
48,1828,1,-0.249,2.049,-0.450,0.737,-0.492,0.380,NaN,NaN,NaN,NaN
49,1828,2,-0.044,1.653,-0.445,0.721,-0.483,0.387,NaN,NaN,NaN,NaN
50,1828,3,-0.410,1.424,-0.466,0.673,-0.488,0.393,NaN,NaN,NaN,NaN
51,1828,4,-0.244,1.833,-0.461,0.652,-0.489,0.396,NaN,NaN,NaN,NaN
52,1828,5,-0.270,1.169,-0.460,0.618,-0.463,0.411,NaN,NaN,NaN,NaN
53,1828,6,-0.112,1.531,-0.456,0.687,-0.430,0.416,NaN,NaN,NaN,NaN
54,1828,7,-0.323,1.268,-0.543,0.669,NaN,NaN,NaN,NaN,NaN,NaN
55,1828,8,-0.615,1.083,-0.601,0.642,NaN,NaN,NaN,NaN,NaN,NaN
56,1828,9,-1.528,1.406,-0.658,0.628,NaN,NaN,NaN,NaN,NaN,NaN
57,1828,10,NaN,NaN,-0.671,0.670,NaN,NaN,NaN,NaN,NaN,NaN
58,1828,11,-0.483,1.257,-0.695,0.699,NaN,NaN,NaN,NaN,NaN,NaN
59,1828,12,-0.152,2.386,-0.751,0.679,NaN,NaN,NaN,NaN,NaN,NaN
60,1829,1,-1.288,1.468,-0.755,0.620,NaN,NaN,NaN,NaN,NaN,NaN
61,1829,2,-0.750,1.604,-0.768,0.604,NaN,NaN,NaN,NaN,NaN,NaN
62,1829,3,-1.086,1.102,-0.740,0.627,NaN,NaN,NaN,NaN,NaN,NaN
63,1829,4,-0.406,1.681,-0.746,0.667,NaN,NaN,NaN,NaN,NaN,NaN
64,1829,5,-0.557,1.701,-0.810,0.591,NaN,NaN,NaN,NaN,NaN,NaN
65,1829,6,-0.788,1.094,-0.882,0.561,NaN,NaN,NaN,NaN,NaN,NaN
66,1829,7,-0.369,1.146,-0.712,0.518,NaN,NaN,NaN,NaN,NaN,NaN
67,1829,8,-0.765,1.773,-0.569,0.538,NaN,NaN,NaN,NaN,NaN,NaN
68,1829,9,-1.187,0.905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69,1829,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,1829,11,-1.258,1.576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71,1829,12,-1.010,2.691,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
72,1830,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73,1830,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
74,1830,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,1830,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
76,1830,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
77,1830,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78,1830,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79,1830,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,1830,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81,1830,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82,1830,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83,1830,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
84,1831,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,1831,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
86,1831,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
87,1831,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
88,1831,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89,1831,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,1831,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91,1831,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
92,1831,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93,1831,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94,1831,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
