,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1750,1,-1.669,2.809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1750,2,-0.032,2.396,-0.573,1.127,NaN,NaN,NaN,NaN,NaN,NaN
2,1750,3,1.473,2.154,-0.540,1.154,NaN,NaN,NaN,NaN,NaN,NaN
3,1750,4,0.119,1.953,-0.525,1.163,NaN,NaN,NaN,NaN,NaN,NaN
4,1750,5,-1.007,1.939,-0.701,1.223,NaN,NaN,NaN,NaN,NaN,NaN
5,1750,6,-0.232,2.034,-0.710,1.247,NaN,NaN,NaN,NaN,NaN,NaN
6,1750,7,0.335,2.810,-0.682,1.274,NaN,NaN,NaN,NaN,NaN,NaN
7,1750,8,0.074,2.510,-0.912,1.240,NaN,NaN,NaN,NaN,NaN,NaN
8,1750,9,-0.414,2.353,-0.982,1.253,NaN,NaN,NaN,NaN,NaN,NaN
9,1750,10,-1.583,2.022,-1.104,1.283,NaN,NaN,NaN,NaN,NaN,NaN
10,1750,11,-3.193,2.184,-1.104,1.237,NaN,NaN,NaN,NaN,NaN,NaN
11,1750,12,-2.385,2.859,-1.137,1.251,NaN,NaN,NaN,NaN,NaN,NaN
12,1751,1,-1.343,3.010,-1.123,1.236,NaN,NaN,NaN,NaN,NaN,NaN
13,1751,2,-2.782,1.993,-1.110,1.237,NaN,NaN,NaN,NaN,NaN,NaN
14,1751,3,0.630,1.947,-1.169,1.225,NaN,NaN,NaN,NaN,NaN,NaN
15,1751,4,-1.346,1.956,-1.188,1.873,NaN,NaN,NaN,NaN,NaN,NaN
16,1751,5,-1.005,1.837,-1.169,2.158,NaN,NaN,NaN,NaN,NaN,NaN
17,1751,6,-0.633,2.069,-1.143,0.803,NaN,NaN,NaN,NaN,NaN,NaN
18,1751,7,0.509,1.848,-1.150,0.826,NaN,NaN,NaN,NaN,NaN,NaN
19,1751,8,0.222,2.570,-0.820,0.778,NaN,NaN,NaN,NaN,NaN,NaN
20,1751,9,-1.115,2.185,-0.869,0.776,NaN,NaN,NaN,NaN,NaN,NaN
21,1751,10,-1.818,8.599,-0.858,0.782,NaN,NaN,NaN,NaN,NaN,NaN
22,1751,11,-2.957,4.806,-0.826,0.750,NaN,NaN,NaN,NaN,NaN,NaN
23,1751,12,-2.080,1.799,-0.659,0.701,NaN,NaN,NaN,NaN,NaN,NaN
24,1752,1,-1.427,2.076,-0.686,0.872,NaN,NaN,NaN,NaN,NaN,NaN
25,1752,2,1.177,1.945,-0.782,0.786,NaN,NaN,NaN,NaN,NaN,NaN
26,1752,3,0.049,2.304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1752,4,-1.215,2.582,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1752,5,-0.623,1.757,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1752,6,1.375,1.585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1752,7,0.180,1.702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1752,8,-0.934,1.709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1752,10,-0.968,2.579,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1752,11,-0.108,3.105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1752,12,-0.964,1.700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1753,1,-2.707,5.079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1753,2,-0.819,6.299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1753,3,1.000,3.881,-0.347,1.258,NaN,NaN,NaN,NaN,NaN,NaN
39,1753,4,-0.384,5.030,-0.300,1.188,NaN,NaN,NaN,NaN,NaN,NaN
40,1753,5,0.071,2.297,-0.428,1.087,NaN,NaN,NaN,NaN,NaN,NaN
41,1753,6,1.561,4.310,-0.432,0.902,NaN,NaN,NaN,NaN,NaN,NaN
42,1753,7,0.505,2.140,-0.308,0.898,NaN,NaN,NaN,NaN,NaN,NaN
