,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1750,1,-0.878,3.011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1750,2,2.753,2.680,0.226,1.281,NaN,NaN,NaN,NaN,NaN,NaN
2,1750,3,2.742,2.100,0.281,1.321,NaN,NaN,NaN,NaN,NaN,NaN
3,1750,4,0.503,1.490,0.209,1.333,NaN,NaN,NaN,NaN,NaN,NaN
4,1750,5,-0.012,1.831,0.013,1.428,NaN,NaN,NaN,NaN,NaN,NaN
5,1750,6,-0.007,1.909,-0.109,1.449,NaN,NaN,NaN,NaN,NaN,NaN
6,1750,7,1.294,3.414,-0.071,1.506,NaN,NaN,NaN,NaN,NaN,NaN
7,1750,8,-0.180,2.497,-0.543,1.468,NaN,NaN,NaN,NaN,NaN,NaN
8,1750,9,0.242,2.301,-0.674,1.501,NaN,NaN,NaN,NaN,NaN,NaN
9,1750,10,-2.498,1.860,-0.782,1.559,NaN,NaN,NaN,NaN,NaN,NaN
10,1750,11,-3.638,2.209,-0.860,1.494,NaN,NaN,NaN,NaN,NaN,NaN
11,1750,12,-1.626,3.113,-0.881,1.522,NaN,NaN,NaN,NaN,NaN,NaN
12,1751,1,-0.421,3.417,-0.989,1.497,NaN,NaN,NaN,NaN,NaN,NaN
13,1751,2,-2.919,1.723,-0.986,1.498,NaN,NaN,NaN,NaN,NaN,NaN
14,1751,3,1.178,1.790,-1.113,1.475,NaN,NaN,NaN,NaN,NaN,NaN
15,1751,4,-0.796,1.672,-1.034,2.312,NaN,NaN,NaN,NaN,NaN,NaN
16,1751,5,-0.944,1.623,-0.944,2.661,NaN,NaN,NaN,NaN,NaN,NaN
17,1751,6,-0.260,2.383,-0.881,0.826,NaN,NaN,NaN,NaN,NaN,NaN
18,1751,7,-0.008,1.677,-0.846,0.863,NaN,NaN,NaN,NaN,NaN,NaN
19,1751,8,-0.146,2.884,-0.588,0.758,NaN,NaN,NaN,NaN,NaN,NaN
20,1751,9,-1.282,2.067,-0.658,0.751,NaN,NaN,NaN,NaN,NaN,NaN
21,1751,10,-1.541,10.730,-0.639,0.779,NaN,NaN,NaN,NaN,NaN,NaN
22,1751,11,-2.557,5.785,-0.639,0.743,NaN,NaN,NaN,NaN,NaN,NaN
23,1751,12,-0.870,1.328,-0.508,0.643,NaN,NaN,NaN,NaN,NaN,NaN
24,1752,1,-0.012,1.869,-0.477,0.873,NaN,NaN,NaN,NaN,NaN,NaN
25,1752,2,0.182,1.349,-0.483,0.731,NaN,NaN,NaN,NaN,NaN,NaN
26,1752,3,0.333,2.152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1752,4,-0.567,2.774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1752,5,-0.938,1.537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1752,6,1.316,0.956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1752,7,0.354,1.209,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1752,8,-0.207,1.142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1752,10,-0.720,2.685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1752,11,0.203,3.540,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1752,12,0.232,1.156,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1753,1,-2.724,5.951,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1753,2,-0.056,6.990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1753,3,1.365,4.211,-0.115,1.570,NaN,NaN,NaN,NaN,NaN,NaN
39,1753,4,0.470,5.522,-0.070,1.499,NaN,NaN,NaN,NaN,NaN,NaN
40,1753,5,0.046,2.147,-0.244,1.366,NaN,NaN,NaN,NaN,NaN,NaN
41,1753,6,1.019,5.190,-0.368,0.988,NaN,NaN,NaN,NaN,NaN,NaN
42,1753,7,0.099,1.672,-0.185,0.857,NaN,NaN,NaN,NaN,NaN,NaN
43,1753,8,-1.260,4.332,-0.288,0.855,NaN,NaN,NaN,NaN,NaN,NaN
44,1753,9,-0.048,2.027,-0.677,0.950,NaN,NaN,NaN,NaN,NaN,NaN
45,1753,10,-0.181,3.825,-0.780,0.974,NaN,NaN,NaN,NaN,NaN,NaN
46,1753,11,-1.892,3.511,-0.694,1.086,NaN,NaN,NaN,NaN,NaN,NaN
47,1753,12,-1.252,9.489,-0.799,1.035,NaN,NaN,NaN,NaN,NaN,NaN
48,1754,1,-0.528,6.399,-0.916,1.199,NaN,NaN,NaN,NaN,NaN,NaN
49,1754,2,-1.299,7.890,-0.831,1.280,NaN,NaN,NaN,NaN,NaN,NaN
50,1754,3,-3.295,3.359,-0.901,1.461,NaN,NaN,NaN,NaN,NaN,NaN
51,1754,4,-0.771,4.186,-0.874,1.631,NaN,NaN,NaN,NaN,NaN,NaN
52,1754,5,1.080,7.747,-0.732,1.929,NaN,NaN,NaN,NaN,NaN,NaN
53,1754,6,-0.248,6.373,-0.683,1.879,NaN,NaN,NaN,NaN,NaN,NaN
54,1754,7,-1.295,2.848,-0.971,1.956,NaN,NaN,NaN,NaN,NaN,NaN
55,1754,8,-0.252,2.215,-1.185,1.861,NaN,NaN,NaN,NaN,NaN,NaN
56,1754,9,-0.885,3.157,-1.046,1.862,NaN,NaN,NaN,NaN,NaN,NaN
57,1754,10,0.148,2.287,-0.757,1.879,NaN,NaN,NaN,NaN,NaN,NaN
58,1754,11,-0.189,3.581,-0.906,1.678,NaN,NaN,NaN,NaN,NaN,NaN
59,1754,12,-0.661,2.070,-0.709,1.618,NaN,NaN,NaN,NaN,NaN,NaN
60,1755,1,-3.984,5.209,-0.587,1.843,NaN,NaN,NaN,NaN,NaN,NaN
61,1755,2,-3.871,5.438,-0.704,1.887,NaN,NaN,NaN,NaN,NaN,NaN
62,1755,3,-1.624,3.183,-0.769,2.012,-0.441,1.367,NaN,NaN,NaN,NaN
63,1755,4,2.699,4.528,-0.873,2.311,-0.493,1.420,NaN,NaN,NaN,NaN
64,1755,5,-0.706,4.265,-0.937,2.412,-0.489,1.387,NaN,NaN,NaN,NaN
65,1755,6,2.110,8.800,-0.858,1.974,-0.516,1.477,NaN,NaN,NaN,NaN
66,1755,7,0.172,4.424,-0.321,1.646,-0.525,1.353,NaN,NaN,NaN,NaN
67,1755,8,-1.657,2.515,0.163,2.364,-0.527,1.326,NaN,NaN,NaN,NaN
68,1755,9,-1.662,3.054,0.308,2.443,-0.552,1.297,NaN,NaN,NaN,NaN
69,1755,10,-1.102,5.911,-0.059,2.158,-0.579,1.291,NaN,NaN,NaN,NaN
70,1755,11,-0.959,3.539,-0.107,1.833,-0.545,1.271,NaN,NaN,NaN,NaN
71,1755,12,0.288,7.010,-0.161,1.706,-0.551,1.285,NaN,NaN,NaN,NaN
72,1756,1,2.463,2.986,-0.087,1.593,-0.583,1.317,NaN,NaN,NaN,NaN
73,1756,2,1.934,6.153,-0.028,1.884,-0.558,1.266,NaN,NaN,NaN,NaN
74,1756,3,0.120,8.849,0.146,1.745,-0.586,1.285,NaN,NaN,NaN,NaN
75,1756,4,-1.703,1.797,0.138,1.921,-0.619,1.257,NaN,NaN,NaN,NaN
76,1756,5,-1.287,5.638,0.001,1.987,-0.603,1.217,NaN,NaN,NaN,NaN
77,1756,6,1.466,6.123,-0.307,2.115,-0.587,1.334,NaN,NaN,NaN,NaN
78,1756,7,1.052,1.730,-0.766,2.131,-0.542,1.387,NaN,NaN,NaN,NaN
79,1756,8,-0.950,3.899,-0.939,2.135,-0.482,1.489,NaN,NaN,NaN,NaN
80,1756,9,0.425,2.646,-0.985,1.671,-0.410,1.511,NaN,NaN,NaN,NaN
81,1756,10,-1.189,4.650,-0.759,2.010,-0.389,1.499,NaN,NaN,NaN,NaN
82,1756,11,-2.603,1.288,-0.691,2.488,-0.416,1.504,NaN,NaN,NaN,NaN
83,1756,12,-3.414,8.959,-0.749,2.545,-0.396,1.441,NaN,NaN,NaN,NaN
84,1757,1,-3.042,6.319,-0.563,3.063,-0.337,1.415,NaN,NaN,NaN,NaN
85,1757,2,-0.144,6.178,-0.449,2.963,-0.324,1.408,NaN,NaN,NaN,NaN
86,1757,3,-0.434,4.217,-0.568,3.110,-0.317,1.392,NaN,NaN,NaN,NaN
87,1757,4,1.013,7.951,-0.787,2.797,-0.316,1.402,NaN,NaN,NaN,NaN
88,1757,5,-0.476,5.295,-0.532,2.709,-0.367,1.458,NaN,NaN,NaN,NaN
89,1757,6,0.768,6.676,-0.366,2.103,-0.419,1.451,NaN,NaN,NaN,NaN
90,1757,7,3.286,9.968,-0.383,2.171,-0.403,1.429,NaN,NaN,NaN,NaN
91,1757,8,0.423,5.991,-0.384,1.901,-0.354,1.472,NaN,NaN,NaN,NaN
92,1757,9,-1.001,5.296,-0.362,1.725,-0.348,1.418,-0.351,1.314,NaN,NaN
93,1757,10,-3.821,7.785,-0.540,1.832,-0.384,1.338,-0.378,1.309,NaN,NaN
94,1757,11,0.453,2.396,-0.327,1.946,-0.372,1.294,-0.397,1.318,NaN,NaN
95,1757,12,-1.423,9.015,-0.336,1.998,-0.390,1.225,-0.427,1.092,NaN,NaN
96,1758,1,-3.247,9.449,-0.762,2.341,-0.393,1.228,-0.447,1.093,NaN,NaN
97,1758,2,-0.152,4.944,-0.778,2.313,-0.379,1.243,-0.432,1.093,NaN,NaN
