,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1750,1,-0.524,2.967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1750,2,1.957,2.275,-0.123,1.229,NaN,NaN,NaN,NaN,NaN,NaN
2,1750,3,1.934,2.205,-0.092,1.261,NaN,NaN,NaN,NaN,NaN,NaN
3,1750,4,0.145,1.836,-0.171,1.277,NaN,NaN,NaN,NaN,NaN,NaN
4,1750,5,-0.482,1.720,-0.422,1.325,NaN,NaN,NaN,NaN,NaN,NaN
5,1750,6,-0.553,1.827,-0.512,1.362,NaN,NaN,NaN,NaN,NaN,NaN
6,1750,7,0.747,2.718,-0.507,1.369,NaN,NaN,NaN,NaN,NaN,NaN
7,1750,8,-0.116,2.363,-0.894,1.349,NaN,NaN,NaN,NaN,NaN,NaN
8,1750,9,-0.198,2.262,-0.985,1.371,NaN,NaN,NaN,NaN,NaN,NaN
9,1750,10,-2.959,2.024,-1.079,1.399,NaN,NaN,NaN,NaN,NaN,NaN
10,1750,11,-3.838,2.156,-1.131,1.359,NaN,NaN,NaN,NaN,NaN,NaN
11,1750,12,-2.260,2.852,-1.155,1.368,NaN,NaN,NaN,NaN,NaN,NaN
12,1751,1,-0.460,3.050,-1.213,1.369,NaN,NaN,NaN,NaN,NaN,NaN
13,1751,2,-2.685,1.889,-1.239,1.371,NaN,NaN,NaN,NaN,NaN,NaN
14,1751,3,0.843,1.836,-1.353,1.369,NaN,NaN,NaN,NaN,NaN,NaN
15,1751,4,-0.983,1.820,-1.290,2.059,NaN,NaN,NaN,NaN,NaN,NaN
16,1751,5,-1.113,1.729,-1.174,2.373,NaN,NaN,NaN,NaN,NaN,NaN
17,1751,6,-0.844,1.874,-1.087,0.793,NaN,NaN,NaN,NaN,NaN,NaN
18,1751,7,0.057,1.709,-1.123,0.823,NaN,NaN,NaN,NaN,NaN,NaN
19,1751,8,-0.427,2.426,-0.818,0.788,NaN,NaN,NaN,NaN,NaN,NaN
20,1751,9,-1.566,2.119,-0.860,0.786,NaN,NaN,NaN,NaN,NaN,NaN
21,1751,10,-2.203,9.102,-0.872,0.793,NaN,NaN,NaN,NaN,NaN,NaN
22,1751,11,-2.444,5.183,-0.845,0.760,NaN,NaN,NaN,NaN,NaN,NaN
23,1751,12,-1.224,1.489,-0.705,0.713,NaN,NaN,NaN,NaN,NaN,NaN
24,1752,1,-0.882,1.799,-0.675,0.823,NaN,NaN,NaN,NaN,NaN,NaN
25,1752,2,0.975,1.820,-0.669,0.734,NaN,NaN,NaN,NaN,NaN,NaN
26,1752,3,0.330,2.134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1752,4,-1.123,2.525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1752,5,-0.786,1.716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1752,6,0.828,1.371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1752,7,0.417,1.463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1752,8,-0.353,1.430,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1752,10,-1.329,2.694,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1752,11,0.311,3.272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1752,12,-0.239,1.381,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1753,1,-2.035,5.343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1753,2,-0.029,6.160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1753,3,1.346,3.728,-0.297,1.409,NaN,NaN,NaN,NaN,NaN,NaN
39,1753,4,-0.315,4.835,-0.235,1.339,NaN,NaN,NaN,NaN,NaN,NaN
40,1753,5,-0.168,2.011,-0.396,1.218,NaN,NaN,NaN,NaN,NaN,NaN
41,1753,6,0.444,4.632,-0.558,0.933,NaN,NaN,NaN,NaN,NaN,NaN
42,1753,7,-0.118,1.929,-0.414,0.854,NaN,NaN,NaN,NaN,NaN,NaN
43,1753,8,-1.303,3.857,-0.525,0.869,NaN,NaN,NaN,NaN,NaN,NaN
44,1753,9,-0.127,2.189,-0.853,0.917,NaN,NaN,NaN,NaN,NaN,NaN
45,1753,10,-0.585,3.461,-0.813,0.903,NaN,NaN,NaN,NaN,NaN,NaN
46,1753,11,-1.620,3.033,-0.723,0.996,NaN,NaN,NaN,NaN,NaN,NaN
47,1753,12,-2.183,8.183,-0.799,0.984,NaN,NaN,NaN,NaN,NaN,NaN
48,1754,1,-0.307,5.798,-0.875,1.116,NaN,NaN,NaN,NaN,NaN,NaN
49,1754,2,-1.358,7.083,-0.822,1.203,NaN,NaN,NaN,NaN,NaN,NaN
50,1754,3,-2.590,3.003,-0.913,1.377,NaN,NaN,NaN,NaN,NaN,NaN
51,1754,4,0.165,3.490,-0.884,1.515,NaN,NaN,NaN,NaN,NaN,NaN
52,1754,5,0.905,6.506,-0.761,1.747,NaN,NaN,NaN,NaN,NaN,NaN
53,1754,6,-0.470,5.387,-0.636,1.687,NaN,NaN,NaN,NaN,NaN,NaN
54,1754,7,-1.031,2.636,-0.843,1.767,NaN,NaN,NaN,NaN,NaN,NaN
55,1754,8,-0.664,2.211,-0.965,1.650,NaN,NaN,NaN,NaN,NaN,NaN
56,1754,9,-1.221,2.955,-0.893,1.663,NaN,NaN,NaN,NaN,NaN,NaN
57,1754,10,-0.232,2.161,-0.774,1.655,NaN,NaN,NaN,NaN,NaN,NaN
58,1754,11,-0.146,3.122,-0.906,1.480,NaN,NaN,NaN,NaN,NaN,NaN
59,1754,12,-0.687,1.930,-0.753,1.410,NaN,NaN,NaN,NaN,NaN,NaN
60,1755,1,-2.786,4.874,-0.650,1.603,NaN,NaN,NaN,NaN,NaN,NaN
61,1755,2,-2.822,4.651,-0.728,1.610,NaN,NaN,NaN,NaN,NaN,NaN
62,1755,3,-1.723,2.756,-0.762,1.680,-0.516,1.007,NaN,NaN,NaN,NaN
63,1755,4,1.587,4.072,-0.788,1.939,-0.560,1.048,NaN,NaN,NaN,NaN
64,1755,5,-0.680,3.487,-0.851,1.981,-0.568,1.013,NaN,NaN,NaN,NaN
65,1755,6,1.364,7.257,-0.857,1.641,-0.594,1.186,NaN,NaN,NaN,NaN
66,1755,7,0.212,3.989,-0.460,1.335,-0.614,1.080,NaN,NaN,NaN,NaN
67,1755,8,-1.604,2.201,-0.024,1.890,-0.622,1.043,NaN,NaN,NaN,NaN
68,1755,9,-1.623,2.699,0.107,1.999,-0.655,1.016,NaN,NaN,NaN,NaN
69,1755,10,-0.552,5.134,-0.125,1.725,-0.675,1.010,NaN,NaN,NaN,NaN
70,1755,11,-0.896,3.247,-0.145,1.479,-0.661,0.994,NaN,NaN,NaN,NaN
71,1755,12,-0.765,6.182,-0.196,1.387,-0.669,1.016,NaN,NaN,NaN,NaN
72,1756,1,1.985,3.050,-0.176,1.309,-0.698,1.042,NaN,NaN,NaN,NaN
73,1756,2,2.401,5.210,-0.154,1.566,-0.689,0.997,NaN,NaN,NaN,NaN
74,1756,3,-0.141,7.610,-0.023,1.465,-0.720,1.012,NaN,NaN,NaN,NaN
75,1756,4,-1.204,1.823,-0.121,1.647,-0.757,0.984,NaN,NaN,NaN,NaN
76,1756,5,-0.913,5.291,-0.257,1.695,-0.743,0.950,NaN,NaN,NaN,NaN
77,1756,6,0.744,5.150,-0.484,1.823,-0.727,1.054,NaN,NaN,NaN,NaN
78,1756,7,0.456,1.816,-0.896,1.866,-0.691,1.098,NaN,NaN,NaN,NaN
79,1756,8,-1.338,3.594,-1.075,1.872,-0.629,1.184,NaN,NaN,NaN,NaN
80,1756,9,-0.053,2.458,-1.125,1.424,-0.578,1.204,NaN,NaN,NaN,NaN
81,1756,10,-1.733,4.430,-0.991,1.699,-0.588,1.191,NaN,NaN,NaN,NaN
82,1756,11,-2.524,1.527,-0.942,2.094,-0.619,1.190,NaN,NaN,NaN,NaN
83,1756,12,-3.492,7.875,-0.928,2.124,-0.605,1.133,NaN,NaN,NaN,NaN
84,1757,1,-2.961,5.650,-0.749,2.507,-0.574,1.111,NaN,NaN,NaN,NaN
85,1757,2,0.258,5.206,-0.567,2.432,-0.560,1.103,NaN,NaN,NaN,NaN
86,1757,3,-0.735,3.581,-0.586,2.568,-0.550,1.088,NaN,NaN,NaN,NaN
87,1757,4,0.393,6.664,-0.769,2.312,-0.558,1.092,NaN,NaN,NaN,NaN
88,1757,5,-0.321,4.386,-0.574,2.247,-0.602,1.135,NaN,NaN,NaN,NaN
89,1757,6,0.920,5.597,-0.436,1.732,-0.660,1.136,NaN,NaN,NaN,NaN
90,1757,7,2.596,8.243,-0.455,1.738,-0.676,1.119,NaN,NaN,NaN,NaN
91,1757,8,0.845,5.338,-0.523,1.501,-0.634,1.157,NaN,NaN,NaN,NaN
92,1757,9,-0.278,4.606,-0.514,1.366,-0.635,1.113,-0.610,1.056,NaN,NaN
93,1757,10,-3.930,6.541,-0.674,1.466,-0.667,1.040,-0.637,1.052,NaN,NaN
94,1757,11,-0.182,2.669,-0.589,1.536,-0.668,1.004,-0.652,1.063,NaN,NaN
95,1757,12,-1.832,7.818,-0.671,1.572,-0.693,0.950,-0.668,0.890,NaN,NaN
96,1758,1,-3.190,7.899,-1.038,1.877,-0.712,0.955,-0.680,0.888,NaN,NaN
97,1758,2,-0.556,4.457,-1.175,1.829,-0.706,0.971,-0.673,0.888,NaN,NaN
98,1758,3,-0.634,3.758,-1.315,1.812,-0.685,0.960,-0.697,0.899,NaN,NaN
99,1758,4,-1.521,7.284,-1.222,1.467,-0.713,0.929,-0.703,0.901,NaN,NaN
100,1758,5,0.694,2.308,-1.273,1.883,-0.711,0.946,-0.719,0.911,NaN,NaN
101,1758,6,-0.065,3.591,-1.224,1.946,-0.700,0.891,-0.729,0.909,NaN,NaN
102,1758,7,-1.808,4.890,-0.799,1.972,-0.743,0.976,-0.730,0.918,NaN,NaN
103,1758,8,-0.801,2.083,-0.560,2.166,-0.760,0.920,-0.725,0.915,NaN,NaN
104,1758,9,-1.958,2.075,-0.468,2.392,-0.728,0.917,-0.733,0.928,NaN,NaN
105,1758,10,-2.807,3.040,-0.376,2.081,-0.710,0.905,-0.746,0.930,NaN,NaN
106,1758,11,-0.794,5.819,-0.511,1.967,-0.680,0.861,-0.738,0.944,NaN,NaN
107,1758,12,-1.244,4.244,-0.476,2.232,-0.671,0.862,-0.720,0.970,NaN,NaN
108,1759,1,1.905,3.367,-0.259,2.350,-0.671,0.901,-0.714,0.965,NaN,NaN
109,1759,2,2.311,7.824,-0.177,2.007,-0.638,0.898,-0.694,0.972,NaN,NaN
110,1759,3,0.474,2.072,-0.062,1.957,-0.635,0.906,-0.681,0.977,NaN,NaN
111,1759,4,-0.415,5.207,0.111,2.046,-0.666,0.900,-0.689,0.981,NaN,NaN
112,1759,5,-0.929,1.460,-0.054,1.991,-0.635,0.909,-0.693,0.992,NaN,NaN
113,1759,6,0.352,1.947,-0.297,1.016,-0.640,0.900,-0.699,0.983,NaN,NaN
