,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1824,1,-0.105,1.829,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1824,2,-0.757,1.816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1824,3,-0.224,1.634,-0.712,0.650,NaN,NaN,NaN,NaN,NaN,NaN
3,1824,4,0.178,1.018,-0.672,0.626,NaN,NaN,NaN,NaN,NaN,NaN
4,1824,5,-0.251,0.734,-0.580,0.589,NaN,NaN,NaN,NaN,NaN,NaN
5,1824,6,-0.384,1.514,-0.487,0.675,NaN,NaN,NaN,NaN,NaN,NaN
6,1824,7,-0.207,1.436,-0.480,0.722,NaN,NaN,NaN,NaN,NaN,NaN
7,1824,8,-1.142,0.689,-0.429,0.634,NaN,NaN,NaN,NaN,NaN,NaN
8,1824,9,-0.999,1.937,-0.415,0.536,NaN,NaN,NaN,NaN,NaN,NaN
9,1824,10,-1.294,1.234,-0.406,0.569,NaN,NaN,NaN,NaN,NaN,NaN
10,1824,11,-0.417,1.575,-0.392,0.499,NaN,NaN,NaN,NaN,NaN,NaN
11,1824,12,-0.239,3.108,-0.384,0.586,NaN,NaN,NaN,NaN,NaN,NaN
12,1825,1,-0.026,2.116,-0.402,0.589,NaN,NaN,NaN,NaN,NaN,NaN
13,1825,2,-0.144,1.785,-0.389,0.572,NaN,NaN,NaN,NaN,NaN,NaN
14,1825,3,-0.055,2.144,-0.402,0.600,NaN,NaN,NaN,NaN,NaN,NaN
15,1825,4,0.283,1.434,-0.392,0.622,-0.598,0.489,NaN,NaN,NaN,NaN
16,1825,5,-0.085,1.548,-0.388,0.693,-0.578,0.492,NaN,NaN,NaN,NaN
17,1825,6,-0.280,1.312,-0.414,0.683,-0.543,0.483,NaN,NaN,NaN,NaN
18,1825,7,-0.428,1.154,-0.447,0.689,-0.548,0.477,NaN,NaN,NaN,NaN
19,1825,8,-0.989,0.896,-0.500,0.708,-0.540,0.471,NaN,NaN,NaN,NaN
20,1825,9,-1.148,1.167,-0.569,0.653,-0.535,0.457,NaN,NaN,NaN,NaN
