,Country,Anomaly,Unc.
0,Albania,-1.0996666666666668,1.3783333333333332
1,Algeria,,
2,Andorra,-1.2020000000000002,1.4952499999999997
3,Austria,-1.1351666666666669,1.639083333333333
4,Bahamas,,
5,Belarus,-1.17075,1.5425000000000002
6,Belgium,-1.1079999999999999,1.4291666666666665
7,Bosnia and Herz,-1.0401666666666667,1.5343333333333333
8,Bulgaria,-1.1790833333333335,1.47175
9,Canada,-0.9470000000000001,0.9905
10,Croatia,-1.0264166666666668,1.6024166666666664
11,Czechia,-1.1954166666666666,1.81125
12,Denmark,-0.9257500000000002,1.6065833333333333
13,Estonia,-0.9885,1.6099166666666667
14,Faeroe Is,-0.8363333333333333,1.6856666666666669
15,Finland,-0.90125,1.6590833333333332
16,France,-1.2522499999999999,1.47625
17,Gaza Strip,-1.0000833333333334,1.1620833333333334
18,Georgia,,
19,Germany,-1.1465833333333333,1.5028333333333332
20,Greece,-1.1821666666666666,1.2904166666666668
21,Greenland,-1.0976666666666666,1.4165
22,Guernsey,-1.0364166666666668,1.5763333333333334
23,Hungary,-1.1408333333333331,1.6254166666666665
24,Iceland,-0.7968333333333333,1.4248333333333332
25,Ireland,-1.0450833333333334,1.4419166666666667
26,Isle of Man,-0.80225,1.60025
27,Italy,-1.074,1.4380833333333332
28,Jersey,-1.0364166666666668,1.5763333333333334
29,Latvia,-1.0145,1.602
30,Liechtenstein,-1.2017499999999999,1.5754166666666667
31,Lithuania,-1.0465833333333334,1.6173333333333335
32,Luxembourg,-1.2081666666666668,1.454
33,Macedonia,-1.1263333333333334,1.4090833333333335
34,Malta,-1.0564999999999998,1.204
35,Mauritius,,
36,Mayotte,,
37,Moldova,-1.3555833333333334,1.6346666666666667
38,Montenegro,-1.0620833333333335,1.4539166666666665
39,Morocco,-0.8994285714285715,0.9284285714285715
40,Netherlands,-1.061,1.506
41,Norway,-0.7309166666666668,1.6468333333333331
42,Poland,-1.0799166666666666,1.6008333333333333
43,Portugal,-1.1036666666666666,1.1316666666666668
44,Reunion,,
45,Romania,-1.2380833333333334,1.5479166666666666
46,San Marino,-1.0006666666666668,1.5607500000000003
47,Serbia,-0.9548333333333335,1.7465000000000002
48,Slovakia,-1.2054166666666668,1.6135000000000002
49,Slovenia,-1.0075,1.6664166666666667
50,Spain,-1.1331666666666667,1.26325
51,Sri Lanka,-0.9135555555555557,1.1717777777777778
52,St. Pierre and Miquelon,-1.29775,1.3795833333333334
53,Svalbard and Jan Mayen,-0.6408333333333333,2.1209166666666666
54,Sweden,-0.7765,1.6908333333333336
55,Switzerland,-1.28275,1.5153333333333332
56,Tunisia,-0.9744166666666666,1.1875833333333332
57,Turkey,-1.2491666666666665,1.39675
58,Ukraine,-1.3265833333333332,1.551
59,United Kingdom,-1.03925,1.5404999999999998
60,United States,-0.9976666666666666,1.159
61,Åland,-0.9114999999999999,1.1864999999999999
