,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1824,1,0.403,1.371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1824,2,-0.775,2.393,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1824,3,0.603,1.111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1824,4,0.495,1.148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1824,5,0.255,1.308,-0.247,0.435,NaN,NaN,NaN,NaN,NaN,NaN
5,1824,6,0.225,2.037,-0.135,0.414,NaN,NaN,NaN,NaN,NaN,NaN
6,1824,7,0.271,1.613,-0.188,0.409,NaN,NaN,NaN,NaN,NaN,NaN
7,1824,8,NaN,NaN,-0.128,0.439,NaN,NaN,NaN,NaN,NaN,NaN
8,1824,9,-0.983,2.238,-0.190,0.411,NaN,NaN,NaN,NaN,NaN,NaN
9,1824,10,-1.067,0.935,-0.230,0.451,NaN,NaN,NaN,NaN,NaN,NaN
10,1824,11,-0.135,1.178,-0.253,0.460,NaN,NaN,NaN,NaN,NaN,NaN
11,1824,12,0.089,1.856,-0.273,0.484,NaN,NaN,NaN,NaN,NaN,NaN
12,1825,1,-0.232,1.840,-0.354,0.495,NaN,NaN,NaN,NaN,NaN,NaN
13,1825,2,-0.055,1.441,-0.365,0.526,NaN,NaN,NaN,NaN,NaN,NaN
14,1825,3,-0.146,1.348,-0.387,0.470,NaN,NaN,NaN,NaN,NaN,NaN
15,1825,4,0.023,1.210,-0.383,0.463,NaN,NaN,NaN,NaN,NaN,NaN
16,1825,5,-0.020,1.356,-0.411,0.464,-0.401,0.449,NaN,NaN,NaN,NaN
17,1825,6,-0.024,1.286,-0.520,0.466,-0.363,0.441,NaN,NaN,NaN,NaN
18,1825,7,-0.692,1.937,-0.599,0.540,-0.338,0.434,NaN,NaN,NaN,NaN
19,1825,8,-1.143,2.510,-0.542,0.541,-0.297,0.439,NaN,NaN,NaN,NaN
