,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1891,1,-1.169,0.597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1891,2,-1.290,0.693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1891,3,-0.449,0.720,-0.666,0.367,NaN,NaN,NaN,NaN,NaN,NaN
3,1891,4,-0.483,0.474,-0.743,0.358,NaN,NaN,NaN,NaN,NaN,NaN
4,1891,5,-0.228,0.665,-0.704,0.342,NaN,NaN,NaN,NaN,NaN,NaN
5,1891,6,-0.471,0.726,-0.679,0.337,NaN,NaN,NaN,NaN,NaN,NaN
6,1891,7,-0.559,0.529,-0.695,0.339,NaN,NaN,NaN,NaN,NaN,NaN
7,1891,8,-0.805,0.565,-0.728,0.322,NaN,NaN,NaN,NaN,NaN,NaN
8,1891,9,-1.136,0.555,-0.818,0.310,NaN,NaN,NaN,NaN,NaN,NaN
9,1891,10,-0.815,0.492,-0.810,0.330,NaN,NaN,NaN,NaN,NaN,NaN
10,1891,11,-0.516,0.637,-0.812,0.348,NaN,NaN,NaN,NaN,NaN,NaN
11,1891,12,-0.227,0.522,-0.734,0.380,NaN,NaN,NaN,NaN,NaN,NaN
12,1892,1,-1.364,0.838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1892,2,-1.678,0.716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1892,3,-1.537,0.669,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1892,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,1892,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1892,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,1892,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,1892,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,1892,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,1892,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,1892,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,1892,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,1893,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,1893,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,1893,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1893,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1893,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1893,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1893,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1893,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1893,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1893,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1893,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1893,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1894,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1894,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1894,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,1894,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,1894,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,1894,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,1894,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,1894,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,1894,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,1894,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,1894,11,-1.497,0.842,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,1894,12,-0.984,0.659,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,1895,1,-0.642,0.644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,1895,2,-0.826,0.885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,1895,3,-0.860,0.670,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,1895,4,-0.279,0.640,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,1895,5,-0.058,0.603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,1895,6,-0.125,0.649,-0.507,0.318,NaN,NaN,NaN,NaN,NaN,NaN
54,1895,7,-0.444,0.662,-0.553,0.331,NaN,NaN,NaN,NaN,NaN,NaN
55,1895,8,-0.472,0.634,-0.526,0.338,NaN,NaN,NaN,NaN,NaN,NaN
56,1895,9,NaN,NaN,-0.532,0.338,NaN,NaN,NaN,NaN,NaN,NaN
57,1895,10,NaN,NaN,-0.532,0.320,NaN,NaN,NaN,NaN,NaN,NaN
58,1895,11,-0.953,0.688,-0.596,0.316,NaN,NaN,NaN,NaN,NaN,NaN
59,1895,12,-0.048,0.596,-0.616,0.323,NaN,NaN,NaN,NaN,NaN,NaN
60,1896,1,-1.195,0.663,-0.619,0.343,NaN,NaN,NaN,NaN,NaN,NaN
61,1896,2,-0.499,0.692,-0.653,0.355,NaN,NaN,NaN,NaN,NaN,NaN
62,1896,3,-0.930,0.623,-0.647,0.369,NaN,NaN,NaN,NaN,NaN,NaN
63,1896,4,-0.282,0.698,-0.731,0.357,NaN,NaN,NaN,NaN,NaN,NaN
64,1896,5,-0.825,0.561,-0.693,0.368,NaN,NaN,NaN,NaN,NaN,NaN
65,1896,6,-0.370,0.775,-0.710,0.371,NaN,NaN,NaN,NaN,NaN,NaN
66,1896,7,-0.481,0.777,-0.622,0.383,NaN,NaN,NaN,NaN,NaN,NaN
67,1896,8,-0.883,0.747,-0.590,0.375,NaN,NaN,NaN,NaN,NaN,NaN
68,1896,9,-0.818,0.765,-0.539,0.382,NaN,NaN,NaN,NaN,NaN,NaN
69,1896,10,-1.490,1.099,-0.571,0.390,NaN,NaN,NaN,NaN,NaN,NaN
70,1896,11,-0.491,0.830,-0.521,0.403,NaN,NaN,NaN,NaN,NaN,NaN
71,1896,12,-0.253,0.678,-0.435,0.383,NaN,NaN,NaN,NaN,NaN,NaN
72,1897,1,-0.144,0.749,-0.355,0.364,NaN,NaN,NaN,NaN,NaN,NaN
73,1897,2,-0.116,0.670,-0.279,0.350,NaN,NaN,NaN,NaN,NaN,NaN
74,1897,3,-0.312,0.651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,1897,4,-0.667,0.822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
76,1897,5,-0.227,0.600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
77,1897,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78,1897,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79,1897,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,1897,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81,1897,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82,1897,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83,1897,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
84,1898,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,1898,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
86,1898,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
87,1898,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
88,1898,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89,1898,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,1898,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91,1898,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
92,1898,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93,1898,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94,1898,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,1898,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96,1899,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
