,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1885,11,-0.868,0.725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1885,12,-0.317,0.936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1886,1,-1.145,0.868,-0.441,0.314,NaN,NaN,NaN,NaN,NaN,NaN
3,1886,2,-0.804,0.885,-0.467,0.307,NaN,NaN,NaN,NaN,NaN,NaN
4,1886,3,-0.870,0.886,-0.438,0.301,NaN,NaN,NaN,NaN,NaN,NaN
5,1886,4,-0.204,0.600,-0.426,0.307,NaN,NaN,NaN,NaN,NaN,NaN
6,1886,5,-0.198,0.673,-0.400,0.334,NaN,NaN,NaN,NaN,NaN,NaN
7,1886,6,0.124,0.804,-0.427,0.338,NaN,NaN,NaN,NaN,NaN,NaN
8,1886,7,0.138,0.652,-0.453,0.343,NaN,NaN,NaN,NaN,NaN,NaN
9,1886,8,-0.262,0.667,-0.448,0.347,NaN,NaN,NaN,NaN,NaN,NaN
10,1886,9,-0.221,0.599,-0.453,0.301,NaN,NaN,NaN,NaN,NaN,NaN
11,1886,10,-0.480,0.688,-0.460,0.296,NaN,NaN,NaN,NaN,NaN,NaN
12,1886,11,-0.557,0.729,-0.508,0.284,NaN,NaN,NaN,NaN,NaN,NaN
13,1886,12,-0.645,0.896,-0.613,0.289,NaN,NaN,NaN,NaN,NaN,NaN
14,1887,1,-1.460,0.806,-0.677,0.287,NaN,NaN,NaN,NaN,NaN,NaN
15,1887,2,-0.745,0.872,-0.736,0.288,-0.412,0.199,NaN,NaN,NaN,NaN
16,1887,3,-0.930,0.876,-0.759,0.294,-0.407,0.197,NaN,NaN,NaN,NaN
17,1887,4,-0.286,0.658,-0.755,0.294,-0.397,0.204,NaN,NaN,NaN,NaN
18,1887,5,-0.777,0.899,-0.723,0.302,-0.392,0.212,NaN,NaN,NaN,NaN
19,1887,6,-1.136,0.778,-0.741,0.311,-0.391,0.213,NaN,NaN,NaN,NaN
20,1887,7,-0.633,0.949,-0.670,0.291,-0.385,0.207,NaN,NaN,NaN,NaN
21,1887,8,-0.968,0.811,-0.654,0.293,-0.390,0.193,NaN,NaN,NaN,NaN
22,1887,9,-0.493,0.686,-0.596,0.313,-0.402,0.190,NaN,NaN,NaN,NaN
23,1887,10,-0.436,0.660,-0.606,0.319,-0.407,0.181,NaN,NaN,NaN,NaN
24,1887,11,-0.163,0.871,-0.611,0.351,-0.421,0.164,NaN,NaN,NaN,NaN
25,1887,12,-0.866,0.627,-0.562,0.356,-0.434,0.148,NaN,NaN,NaN,NaN
26,1888,1,-0.614,0.804,-0.539,0.337,-0.451,0.141,NaN,NaN,NaN,NaN
27,1888,2,-0.544,0.841,-0.503,0.308,-0.462,0.135,NaN,NaN,NaN,NaN
28,1888,3,-0.239,0.889,-0.490,0.319,-0.462,0.134,NaN,NaN,NaN,NaN
29,1888,4,-0.399,0.740,-0.485,0.297,-0.465,0.131,NaN,NaN,NaN,NaN
30,1888,5,-0.842,0.639,-0.480,0.281,-0.468,0.138,-0.512,0.117,NaN,NaN
31,1888,6,-0.543,0.688,-0.412,0.284,-0.478,0.144,-0.515,0.128,NaN,NaN
32,1888,7,-0.358,0.696,-0.407,0.284,-0.477,0.143,-0.514,0.131,NaN,NaN
33,1888,8,-0.533,0.749,-0.316,0.282,-0.484,0.138,-0.511,0.137,NaN,NaN
34,1888,9,NaN,NaN,-0.284,0.279,-0.482,0.131,-0.511,0.141,NaN,NaN
35,1888,10,-0.371,0.720,-0.249,0.282,-0.485,0.126,-0.512,0.146,NaN,NaN
36,1888,11,-0.109,0.627,-0.171,0.289,-0.492,0.127,-0.506,0.147,NaN,NaN
37,1888,12,-0.052,0.897,-0.091,0.281,-0.507,0.121,-0.506,0.147,NaN,NaN
38,1889,1,-0.551,0.711,-0.011,0.294,-0.513,0.118,-0.506,0.152,NaN,NaN
39,1889,2,0.550,0.686,0.046,0.310,-0.516,0.115,-0.504,0.152,NaN,NaN
40,1889,3,0.145,0.604,0.061,0.320,-0.519,0.114,-0.496,0.155,NaN,NaN
41,1889,4,0.020,0.640,0.081,0.369,-0.520,0.115,-0.495,0.155,NaN,NaN
