,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1876,2,-0.413,1.368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1876,3,0.055,1.414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1876,4,-0.690,1.059,-0.584,0.462,NaN,NaN,NaN,NaN,NaN,NaN
3,1876,5,-0.184,0.897,-0.533,0.435,NaN,NaN,NaN,NaN,NaN,NaN
4,1876,6,-0.915,0.903,-0.426,0.439,NaN,NaN,NaN,NaN,NaN,NaN
5,1876,7,-0.628,0.905,-0.405,0.445,NaN,NaN,NaN,NaN,NaN,NaN
6,1876,8,-0.412,0.931,-0.357,0.454,NaN,NaN,NaN,NaN,NaN,NaN
7,1876,9,-0.350,0.909,-0.393,0.456,NaN,NaN,NaN,NaN,NaN,NaN
8,1876,10,-0.082,0.917,-0.351,0.434,NaN,NaN,NaN,NaN,NaN,NaN
9,1876,11,-0.559,1.121,-0.322,0.448,NaN,NaN,NaN,NaN,NaN,NaN
10,1876,12,-0.352,1.001,-0.284,0.428,NaN,NaN,NaN,NaN,NaN,NaN
11,1877,1,-0.326,1.311,-0.183,0.416,NaN,NaN,NaN,NaN,NaN,NaN
12,1877,2,0.167,1.301,-0.067,0.430,NaN,NaN,NaN,NaN,NaN,NaN
13,1877,3,-0.388,1.172,-0.049,0.436,NaN,NaN,NaN,NaN,NaN,NaN
14,1877,4,-0.181,0.979,-0.024,0.453,-0.120,0.269,NaN,NaN,NaN,NaN
15,1877,5,0.159,1.008,0.102,0.422,-0.115,0.274,NaN,NaN,NaN,NaN
16,1877,6,-0.453,1.209,0.109,0.392,-0.106,0.283,NaN,NaN,NaN,NaN
17,1877,7,0.585,0.915,0.216,0.425,-0.099,0.287,NaN,NaN,NaN,NaN
18,1877,8,0.983,0.990,0.247,0.418,-0.099,0.295,NaN,NaN,NaN,NaN
19,1877,9,-0.141,1.085,0.370,0.394,-0.077,0.306,NaN,NaN,NaN,NaN
20,1877,10,0.218,1.290,0.451,0.407,-0.076,0.304,NaN,NaN,NaN,NaN
21,1877,11,0.958,1.023,0.479,0.411,-0.070,0.300,NaN,NaN,NaN,NaN
22,1877,12,-0.269,1.051,0.462,0.448,-0.085,0.298,NaN,NaN,NaN,NaN
23,1878,1,0.961,1.659,0.537,0.498,-0.095,0.297,NaN,NaN,NaN,NaN
24,1878,2,0.528,1.105,0.520,0.512,-0.071,0.308,NaN,NaN,NaN,NaN
25,1878,3,1.095,0.902,0.638,0.516,-0.058,0.301,NaN,NaN,NaN,NaN
26,1878,4,0.786,1.074,0.741,0.536,-0.067,0.300,NaN,NaN,NaN,NaN
27,1878,5,0.501,1.010,0.715,0.537,-0.037,0.300,NaN,NaN,NaN,NaN
