,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1859,11,-0.552,1.152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1859,12,-0.411,1.515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1860,1,-0.989,1.406,-0.492,0.509,NaN,NaN,NaN,NaN,NaN,NaN
3,1860,2,-0.199,1.044,-0.400,0.440,NaN,NaN,NaN,NaN,NaN,NaN
4,1860,3,-1.151,1.702,-0.457,0.470,NaN,NaN,NaN,NaN,NaN,NaN
5,1860,4,-0.539,1.127,-0.463,0.470,NaN,NaN,NaN,NaN,NaN,NaN
6,1860,5,-0.136,1.498,-0.533,0.479,NaN,NaN,NaN,NaN,NaN,NaN
7,1860,6,-0.006,1.291,-0.623,0.544,NaN,NaN,NaN,NaN,NaN,NaN
8,1860,7,-0.596,1.368,-0.663,0.545,NaN,NaN,NaN,NaN,NaN,NaN
9,1860,8,0.728,1.911,-0.779,0.710,NaN,NaN,NaN,NaN,NaN,NaN
10,1860,9,-1.189,1.421,-0.780,0.838,NaN,NaN,NaN,NaN,NaN,NaN
11,1860,10,-0.517,1.414,-0.794,0.852,NaN,NaN,NaN,NaN,NaN,NaN
12,1860,11,-1.394,1.642,-0.826,0.946,NaN,NaN,NaN,NaN,NaN,NaN
13,1860,12,-1.484,2.071,-0.825,0.960,NaN,NaN,NaN,NaN,NaN,NaN
14,1861,1,-1.473,1.685,-0.792,1.013,-0.593,0.347,NaN,NaN,NaN,NaN
15,1861,2,-1.593,2.301,-0.851,0.924,-0.598,0.351,NaN,NaN,NaN,NaN
16,1861,3,-1.162,1.964,-0.749,0.860,-0.610,0.362,NaN,NaN,NaN,NaN
17,1861,4,-0.705,1.572,-0.753,0.855,-0.616,0.364,NaN,NaN,NaN,NaN
18,1861,5,-0.526,1.178,-0.694,0.789,-0.635,0.374,NaN,NaN,NaN,NaN
19,1861,6,0.013,1.024,-0.629,0.675,-0.627,0.399,NaN,NaN,NaN,NaN
20,1861,7,-0.202,1.258,-0.649,0.691,-0.624,0.393,NaN,NaN,NaN,NaN
21,1861,8,0.019,0.957,-0.610,0.577,-0.616,0.408,NaN,NaN,NaN,NaN
22,1861,9,0.037,1.509,-0.617,0.538,-0.629,0.415,NaN,NaN,NaN,NaN
23,1861,10,-0.563,1.442,-0.629,0.531,-0.653,0.432,NaN,NaN,NaN,NaN
24,1861,11,-0.689,1.129,-0.593,0.511,-0.658,0.439,NaN,NaN,NaN,NaN
25,1861,12,-0.707,1.265,-0.613,0.580,-0.665,0.449,NaN,NaN,NaN,NaN
26,1862,1,-1.715,1.686,-0.611,0.533,-0.662,0.460,NaN,NaN,NaN,NaN
27,1862,2,-1.116,1.210,-0.685,0.552,-0.657,0.469,NaN,NaN,NaN,NaN
28,1862,3,-1.256,1.399,-0.780,0.561,-0.652,0.462,NaN,NaN,NaN,NaN
29,1862,4,-0.845,1.689,-0.837,0.500,-0.650,0.456,NaN,NaN,NaN,NaN
30,1862,5,-0.092,1.075,-0.875,0.547,-0.653,0.451,NaN,NaN,NaN,NaN
31,1862,6,-0.223,1.248,-0.879,0.594,-0.653,0.462,NaN,NaN,NaN,NaN
32,1862,7,-0.179,1.058,-0.738,0.534,-0.639,0.463,NaN,NaN,NaN,NaN
33,1862,8,-0.876,1.253,-0.670,0.479,-0.644,0.468,NaN,NaN,NaN,NaN
34,1862,9,-1.099,0.988,-0.658,0.467,-0.628,0.463,NaN,NaN,NaN,NaN
35,1862,10,-1.250,1.409,-0.616,0.446,-0.627,0.449,NaN,NaN,NaN,NaN
36,1862,11,-1.138,1.427,-0.659,0.454,-0.625,0.461,NaN,NaN,NaN,NaN
37,1862,12,-0.754,1.783,-0.654,0.481,-0.624,0.476,NaN,NaN,NaN,NaN
38,1863,1,-0.031,1.458,-0.651,0.480,-0.604,0.471,NaN,NaN,NaN,NaN
39,1863,2,-0.299,2.168,-0.627,0.513,-0.606,0.464,NaN,NaN,NaN,NaN
40,1863,3,-1.109,1.494,-0.646,0.532,-0.589,0.471,NaN,NaN,NaN,NaN
41,1863,4,-0.339,1.127,-0.612,0.504,-0.575,0.452,NaN,NaN,NaN,NaN
42,1863,5,-0.607,0.972,-0.608,0.485,-0.562,0.451,NaN,NaN,NaN,NaN
43,1863,6,-0.165,1.339,-0.596,0.573,-0.546,0.451,NaN,NaN,NaN,NaN
44,1863,7,-0.146,1.049,-0.653,0.592,-0.515,0.448,NaN,NaN,NaN,NaN
45,1863,8,-0.592,0.986,-0.675,0.697,-0.496,0.429,NaN,NaN,NaN,NaN
46,1863,9,-1.328,1.333,-0.689,0.709,-0.487,0.424,NaN,NaN,NaN,NaN
47,1863,10,-0.832,1.004,-0.788,0.809,-0.481,0.419,NaN,NaN,NaN,NaN
48,1863,11,-1.100,1.173,-0.734,0.840,-0.470,0.419,NaN,NaN,NaN,NaN
49,1863,12,-0.605,2.232,-0.742,0.883,-0.474,0.427,NaN,NaN,NaN,NaN
50,1864,1,-0.712,1.448,-0.765,0.929,-0.468,0.419,NaN,NaN,NaN,NaN
51,1864,2,-0.562,1.805,-0.724,0.949,-0.468,0.412,NaN,NaN,NaN,NaN
52,1864,3,-1.285,1.590,-0.630,0.896,-0.474,0.414,NaN,NaN,NaN,NaN
53,1864,4,-1.528,1.959,-0.586,0.848,-0.472,0.412,NaN,NaN,NaN,NaN
54,1864,5,0.045,1.218,-0.555,0.758,-0.460,0.418,NaN,NaN,NaN,NaN
55,1864,6,-0.266,1.311,-0.539,0.652,-0.451,0.425,NaN,NaN,NaN,NaN
56,1864,7,-0.415,1.320,-0.491,0.670,-0.423,0.415,NaN,NaN,NaN,NaN
57,1864,8,-0.096,1.355,-0.488,0.592,-0.415,0.421,NaN,NaN,NaN,NaN
58,1864,9,-0.200,1.180,-0.394,0.564,-0.410,0.412,NaN,NaN,NaN,NaN
59,1864,10,-0.307,1.058,-0.310,0.519,-0.403,0.397,NaN,NaN,NaN,NaN
60,1864,11,-0.725,1.206,-0.314,0.488,-0.409,0.404,NaN,NaN,NaN,NaN
61,1864,12,-0.422,1.515,-0.288,0.491,NaN,NaN,NaN,NaN,NaN,NaN
62,1865,1,-0.133,1.242,-0.203,0.522,NaN,NaN,NaN,NaN,NaN,NaN
63,1865,2,-0.521,1.031,-0.144,0.535,NaN,NaN,NaN,NaN,NaN,NaN
64,1865,3,-0.160,1.303,-0.139,0.528,NaN,NaN,NaN,NaN,NaN,NaN
65,1865,4,-0.517,1.357,-0.088,0.529,NaN,NaN,NaN,NaN,NaN,NaN
66,1865,5,-0.010,0.920,-0.077,0.533,NaN,NaN,NaN,NaN,NaN,NaN
67,1865,6,0.051,1.125,-0.085,0.548,NaN,NaN,NaN,NaN,NaN,NaN
68,1865,7,0.608,1.525,-0.043,0.577,NaN,NaN,NaN,NaN,NaN,NaN
69,1865,8,0.610,1.206,-0.037,0.633,NaN,NaN,NaN,NaN,NaN,NaN
70,1865,9,-0.145,1.244,-0.074,0.664,NaN,NaN,NaN,NaN,NaN,NaN
71,1865,10,0.310,1.151,-0.063,0.698,NaN,NaN,NaN,NaN,NaN,NaN
72,1865,11,-0.592,1.224,-0.048,0.730,NaN,NaN,NaN,NaN,NaN,NaN
73,1865,12,-0.516,1.497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
74,1866,1,0.361,1.348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,1866,2,-0.450,2.016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
76,1866,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
77,1866,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78,1866,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79,1866,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,1866,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81,1866,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82,1866,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83,1866,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
84,1866,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,1866,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
86,1867,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
87,1867,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
88,1867,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89,1867,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,1867,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91,1867,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
92,1867,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93,1867,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94,1867,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,1867,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96,1867,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97,1867,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98,1868,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
99,1868,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,1868,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
101,1868,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
