,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1842,9,-1.433,1.206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1842,10,-1.186,1.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1842,11,-0.796,1.365,-0.668,0.584,NaN,NaN,NaN,NaN,NaN,NaN
3,1842,12,-0.074,1.437,-0.669,0.558,NaN,NaN,NaN,NaN,NaN,NaN
4,1843,1,0.123,1.319,-0.643,0.534,NaN,NaN,NaN,NaN,NaN,NaN
5,1843,2,0.578,1.679,-0.642,0.531,NaN,NaN,NaN,NaN,NaN,NaN
6,1843,3,-0.856,1.415,-0.611,0.535,NaN,NaN,NaN,NaN,NaN,NaN
7,1843,4,-0.784,1.051,-0.577,0.541,NaN,NaN,NaN,NaN,NaN,NaN
8,1843,5,-1.191,1.417,-0.619,0.536,NaN,NaN,NaN,NaN,NaN,NaN
9,1843,6,-0.897,1.164,-0.703,0.506,NaN,NaN,NaN,NaN,NaN,NaN
10,1843,7,-0.392,0.941,-0.749,0.521,NaN,NaN,NaN,NaN,NaN,NaN
11,1843,8,-0.800,0.949,-0.907,0.494,NaN,NaN,NaN,NaN,NaN,NaN
12,1843,9,-1.059,1.199,-0.897,0.472,NaN,NaN,NaN,NaN,NaN,NaN
13,1843,10,-0.775,1.190,-0.947,0.487,NaN,NaN,NaN,NaN,NaN,NaN
14,1843,11,-1.303,1.204,-0.959,0.476,NaN,NaN,NaN,NaN,NaN,NaN
15,1843,12,-1.074,1.935,-0.956,0.455,NaN,NaN,NaN,NaN,NaN,NaN
16,1844,1,-0.440,1.467,-0.963,0.459,NaN,NaN,NaN,NaN,NaN,NaN
17,1844,2,-1.319,1.307,-0.958,0.452,NaN,NaN,NaN,NaN,NaN,NaN
18,1844,3,-0.729,1.278,-0.984,0.457,NaN,NaN,NaN,NaN,NaN,NaN
19,1844,4,-1.387,1.091,-1.000,0.476,NaN,NaN,NaN,NaN,NaN,NaN
20,1844,5,-1.330,1.076,-1.007,0.448,NaN,NaN,NaN,NaN,NaN,NaN
21,1844,6,-0.863,1.027,-1.042,0.465,NaN,NaN,NaN,NaN,NaN,NaN
22,1844,7,-0.480,0.875,-1.070,0.470,NaN,NaN,NaN,NaN,NaN,NaN
23,1844,8,-0.739,1.105,-1.080,0.519,NaN,NaN,NaN,NaN,NaN,NaN
24,1844,9,-1.372,1.136,-1.056,0.520,NaN,NaN,NaN,NaN,NaN,NaN
25,1844,10,-0.971,0.968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,1844,11,-1.376,1.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1844,12,-1.499,1.511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1845,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1845,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1845,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1845,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1845,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1845,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1845,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1845,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1845,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1845,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1845,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,1845,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,1846,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,1846,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,1846,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,1846,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,1846,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,1846,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,1846,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,1846,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,1846,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,1846,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,1846,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,1846,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,1847,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,1847,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,1847,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,1847,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56,1847,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57,1847,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58,1847,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,1847,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,1847,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61,1847,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62,1847,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63,1847,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64,1848,1,-1.504,1.472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,1848,2,-0.732,1.833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66,1848,3,-1.056,0.890,-0.973,0.448,NaN,NaN,NaN,NaN,NaN,NaN
67,1848,4,-0.809,1.020,-0.982,0.446,NaN,NaN,NaN,NaN,NaN,NaN
68,1848,5,-0.666,1.236,-0.991,0.430,NaN,NaN,NaN,NaN,NaN,NaN
69,1848,6,-0.885,1.437,-0.881,0.397,NaN,NaN,NaN,NaN,NaN,NaN
70,1848,7,-0.069,0.926,-0.832,0.409,NaN,NaN,NaN,NaN,NaN,NaN
71,1848,8,-0.452,1.050,-0.851,0.401,NaN,NaN,NaN,NaN,NaN,NaN
72,1848,9,-1.001,0.867,-0.822,0.467,NaN,NaN,NaN,NaN,NaN,NaN
73,1848,10,-1.021,1.067,-0.814,0.460,NaN,NaN,NaN,NaN,NaN,NaN
74,1848,11,-0.912,0.929,-0.808,0.447,NaN,NaN,NaN,NaN,NaN,NaN
75,1848,12,-1.469,1.286,-0.821,0.462,NaN,NaN,NaN,NaN,NaN,NaN
76,1849,1,-0.910,1.808,-0.834,0.496,NaN,NaN,NaN,NaN,NaN,NaN
77,1849,2,-0.957,1.434,-0.832,0.526,NaN,NaN,NaN,NaN,NaN,NaN
78,1849,3,-0.718,1.515,-0.835,0.559,NaN,NaN,NaN,NaN,NaN,NaN
79,1849,4,-0.707,1.725,-0.812,0.541,-0.691,0.281,NaN,NaN,NaN,NaN
80,1849,5,-0.594,0.983,-0.795,0.590,-0.689,0.272,NaN,NaN,NaN,NaN
81,1849,6,-1.046,1.292,-0.795,0.496,-0.704,0.274,NaN,NaN,NaN,NaN
82,1849,7,-0.218,1.322,-0.834,0.457,-0.715,0.281,NaN,NaN,NaN,NaN
83,1849,8,-0.430,1.027,-0.823,0.477,-0.728,0.283,NaN,NaN,NaN,NaN
84,1849,9,-1.035,1.059,-0.826,0.479,-0.735,0.304,NaN,NaN,NaN,NaN
85,1849,10,-0.743,0.902,-0.859,0.566,-0.746,0.310,NaN,NaN,NaN,NaN
86,1849,11,-0.709,1.919,-0.916,0.546,-0.740,0.318,NaN,NaN,NaN,NaN
87,1849,12,-1.468,1.313,-0.879,0.533,-0.736,0.317,NaN,NaN,NaN,NaN
88,1850,1,-1.387,1.250,-0.836,0.483,-0.739,0.309,NaN,NaN,NaN,NaN
89,1850,2,-0.816,2.238,-0.814,0.473,-0.738,0.304,NaN,NaN,NaN,NaN
90,1850,3,-0.761,1.581,-0.769,0.481,-0.739,0.298,NaN,NaN,NaN,NaN
91,1850,4,-1.108,1.016,-0.746,0.446,-0.731,0.291,NaN,NaN,NaN,NaN
92,1850,5,-1.267,0.989,-0.736,0.390,-0.739,0.287,NaN,NaN,NaN,NaN
93,1850,6,-0.612,0.950,-0.640,0.377,-0.701,0.287,NaN,NaN,NaN,NaN
94,1850,7,0.303,0.910,-0.603,0.371,-0.696,0.291,NaN,NaN,NaN,NaN
95,1850,8,-0.164,0.956,-0.611,0.334,-0.699,0.262,NaN,NaN,NaN,NaN
96,1850,9,-0.498,0.994,-0.619,0.343,-0.691,0.267,NaN,NaN,NaN,NaN
97,1850,10,-0.464,0.983,-0.610,0.347,-0.688,0.261,NaN,NaN,NaN,NaN
98,1850,11,-0.594,1.309,-0.472,0.343,-0.677,0.270,NaN,NaN,NaN,NaN
99,1850,12,-0.311,1.118,-0.428,0.353,-0.660,0.275,NaN,NaN,NaN,NaN
100,1851,1,-0.946,1.305,-0.468,0.365,-0.652,0.267,NaN,NaN,NaN,NaN
101,1851,2,-0.914,1.153,-0.464,0.373,-0.642,0.267,NaN,NaN,NaN,NaN
102,1851,3,NaN,NaN,-0.453,0.410,-0.631,0.269,NaN,NaN,NaN,NaN
103,1851,4,-0.989,1.187,-0.457,0.408,-0.626,0.268,NaN,NaN,NaN,NaN
104,1851,5,0.378,1.224,-0.490,0.402,-0.634,0.260,NaN,NaN,NaN,NaN
105,1851,6,-0.079,1.160,-0.539,0.401,-0.625,0.258,NaN,NaN,NaN,NaN
106,1851,7,-0.173,0.946,-0.502,0.461,-0.619,0.250,NaN,NaN,NaN,NaN
107,1851,8,-0.122,0.913,-0.477,0.459,-0.623,0.243,NaN,NaN,NaN,NaN
108,1851,9,-0.359,1.155,-0.541,0.494,-0.626,0.234,NaN,NaN,NaN,NaN
109,1851,10,-0.511,1.393,-0.534,0.468,-0.637,0.249,NaN,NaN,NaN,NaN
110,1851,11,-0.990,1.257,-0.604,0.472,-0.631,0.251,NaN,NaN,NaN,NaN
111,1851,12,-0.898,1.227,-0.633,0.498,-0.623,0.246,NaN,NaN,NaN,NaN
112,1852,1,-0.503,1.317,-0.622,0.542,-0.620,0.245,NaN,NaN,NaN,NaN
113,1852,2,-0.618,0.985,-0.651,0.553,-0.617,0.246,NaN,NaN,NaN,NaN
114,1852,3,-1.622,1.170,-0.665,0.573,-0.611,0.246,NaN,NaN,NaN,NaN
