,Country,Link
0,Afghanistan,http://berkeleyearth.lbl.gov/regions/afghanistan
1,Åland,http://berkeleyearth.lbl.gov/regions/åland
2,Albania,http://berkeleyearth.lbl.gov/regions/albania
3,Algeria,http://berkeleyearth.lbl.gov/regions/algeria
4,American Samoa,http://berkeleyearth.lbl.gov/regions/american-samoa
5,Andorra,http://berkeleyearth.lbl.gov/regions/andorra
6,Angola,http://berkeleyearth.lbl.gov/regions/angola
7,Anguilla,http://berkeleyearth.lbl.gov/regions/anguilla
8,Antarctica,http://berkeleyearth.lbl.gov/regions/antarctica
9,Antigua and Barbuda,http://berkeleyearth.lbl.gov/regions/antigua-and-barbuda
10,Argentina,http://berkeleyearth.lbl.gov/regions/argentina
11,Armenia,http://berkeleyearth.lbl.gov/regions/armenia
12,Aruba,http://berkeleyearth.lbl.gov/regions/aruba
13,Australia,http://berkeleyearth.lbl.gov/regions/australia
14,Austria,http://berkeleyearth.lbl.gov/regions/austria
15,Azerbaijan,http://berkeleyearth.lbl.gov/regions/azerbaijan
16,Bahamas,http://berkeleyearth.lbl.gov/regions/bahamas
17,Bahrain,http://berkeleyearth.lbl.gov/regions/bahrain
18,Baker Island,http://berkeleyearth.lbl.gov/regions/baker-island
19,Bangladesh,http://berkeleyearth.lbl.gov/regions/bangladesh
20,Barbados,http://berkeleyearth.lbl.gov/regions/barbados
21,Belarus,http://berkeleyearth.lbl.gov/regions/belarus
22,Belgium,http://berkeleyearth.lbl.gov/regions/belgium
23,Belize,http://berkeleyearth.lbl.gov/regions/belize
24,Benin,http://berkeleyearth.lbl.gov/regions/benin
25,Bhutan,http://berkeleyearth.lbl.gov/regions/bhutan
26,Bolivia,http://berkeleyearth.lbl.gov/regions/bolivia
27,"Bonaire, Saint Eustatius and Saba","http://berkeleyearth.lbl.gov/regions/bonaire,-saint-eustatius-and-saba"
28,Bosnia and Herzegovina,http://berkeleyearth.lbl.gov/regions/bosnia-and-herzegovina
29,Botswana,http://berkeleyearth.lbl.gov/regions/botswana
30,Brazil,http://berkeleyearth.lbl.gov/regions/brazil
31,British Virgin Islands,http://berkeleyearth.lbl.gov/regions/british-virgin-islands
32,Bulgaria,http://berkeleyearth.lbl.gov/regions/bulgaria
33,Burkina Faso,http://berkeleyearth.lbl.gov/regions/burkina-faso
34,Burma,http://berkeleyearth.lbl.gov/regions/burma
