,Country,Anomaly,Unc.
0,Afghanistan,,
1,Albania,0.38,1.162
2,Algeria,,
3,American Samoa,,
4,Andorra,0.529,1.93
5,Angola,,
6,Anguilla,,
7,Antarctica,,
8,Antigua and Barbuda,,
9,Argentina,,
10,Armenia,,
11,Aruba,,
12,Australia,,
13,Austria,1.205,2.113
14,Azerbaijan,,
15,Bahamas,-0.239,1.577
16,Bahrain,,
17,Bangladesh,,
18,Barbados,,
19,Belarus,0.95,1.86
20,Belgium,1.001,2.095
21,Belize,,
22,Benin,,
23,Bhutan,,
24,Bolivia,,
25,Bosnia and Herzegovina,0.787,1.547
26,Botswana,,
27,Brazil,,
28,British Virgin Islands,,
29,Bulgaria,0.43700000000000006,1.3259999999999998
30,Burkina Faso,,
31,Burundi,,
32,Cambodia,,
33,Cameroon,,
34,Canada,,
35,Cape Verde,,
36,Cayman Islands,,
37,Central African Republic,,
38,Chad,,
39,Chile,,
40,China,,
41,Colombia,,
42,Comoros,,
43,Congo,,
44,Costa Rica,,
45,Croatia,0.94,1.739
46,Cuba,,
47,Curaçao,,
48,Cyprus,,
49,Czechia,1.3130000000000002,2.778
50,Côte d'Ivoire,,
51,Dem. Rep. Congo,,
52,Denmark,0.909,2.066
53,Djibouti,,
54,Dominica,,
55,Dominican Republic,,
56,Ecuador,,
57,Egypt,,
58,El Salvador,,
59,Equatorial Guinea,,
60,Eritrea,,
61,Estonia,1.202,1.8519999999999999
62,eSwatini,,
63,Ethiopia,,
64,Falkland Islands (Islas Malvinas),,
65,Faroe Islands,0.239,2.491
66,Fiji,,
67,Finland,0.73,1.871
68,France,0.8109999999999999,2.108
69,French Guiana,,
70,French Polynesia,,
71,French Southern and Antarctic Lands,,
72,Gabon,,
73,Gambia,,
74,Georgia,,
75,Germany,1.245,2.037
76,Ghana,,
77,Greece,0.11599999999999999,1.031
78,Greenland,,
79,Grenada,,
80,Guadeloupe,,
81,Guam,,
82,Guatemala,,
83,Guernsey,0.609,2.528
84,Guinea,,
85,Guinea-Bissau,,
86,Guyana,,
87,Haiti,,
88,Heard Island and McDonald Islands,,
89,Honduras,,
90,Hong Kong,,
91,Hungary,1.015,1.83
92,Iceland,,
93,India,,
94,Indonesia,,
95,Iran,,
96,Iraq,,
97,Ireland,0.292,2.0669999999999997
98,Isle of Man,0.462,2.654
99,Israel,,
100,Italy,0.654,1.5
101,Jamaica,,
102,Japan,,
103,Jersey,0.609,2.528
104,Jordan,,
105,Kazakhstan,,
106,Kenya,,
107,Kiribati,,
108,Kuwait,,
109,Kyrgyzstan,,
110,Laos,,
111,Latvia,1.182,1.881
112,Lebanon,,
113,Lesotho,,
114,Liberia,,
115,Libya,,
116,Liechtenstein,1.195,2.19
117,Lithuania,1.102,1.952
118,Luxembourg,1.101,2.12
119,Macau,,
120,Macedonia,0.39899999999999997,1.222
121,Madagascar,,
122,Malawi,,
123,Malaysia,,
124,Mali,,
125,Malta,-0.057,0.6829999999999999
126,Martinique,,
127,Mauritania,,
128,Mauritius,,
129,Mayotte,,
130,Mexico,,
131,Micronesia,,
132,Moldova,0.5820000000000001,1.618
133,Monaco,0.7879999999999999,2.005
134,Mongolia,,
135,Montenegro,0.5820000000000001,1.307
136,Montserrat,,
137,Morocco,-0.107,1.2109999999999999
138,Mozambique,,
139,Myanmar,,
140,Namibia,,
141,Nepal,,
142,Netherlands,0.951,2.015
143,New Caledonia,,
144,New Zealand,,
145,Nicaragua,,
146,Niger,,
147,Nigeria,,
148,Niue,,
149,North Korea,,
150,Northern Mariana Islands,,
151,Norway,0.33899999999999997,1.956
152,Oman,,
153,Pakistan,,
154,Palau,,
155,Palestina,,
156,Panama,,
157,Papua New Guinea,,
158,Paraguay,,
159,Peru,,
160,Philippines,,
161,Poland,1.069,2.035
162,Portugal,0.049,1.567
163,Puerto Rico,,
164,Qatar,,
165,Reunion,,
166,Romania,0.6559999999999999,1.56
167,Russia,,
168,Rwanda,,
169,Saint Barthélemy,,
170,Saint Kitts and Nevis,,
171,Saint Lucia,,
172,Saint Martin,,
173,Saint Pierre and Miquelon,-0.512,1.921
174,Saint Vincent and the Grenadines,,
175,Samoa,,
176,San Marino,0.903,1.73
177,Sao Tome and Principe,,
178,Saudi Arabia,,
179,Senegal,,
180,Serbia,0.845,2.229
181,Seychelles,,
182,Sierra Leone,,
183,Singapore,,
184,Sint Maarten,,
185,Slovakia,1.063,1.955
186,Slovenia,1.067,1.9140000000000001
187,Solomon Islands,,
188,Somalia,,
189,South Africa,,
190,South Georgia and the South Sandwich Isla,,
191,South Korea,,
192,Spain,0.2,1.66
193,Sri Lanka,,
194,Sudan,,
195,Suriname,,
196,Svalbard and Jan Mayen,-0.013999999999999999,2.544
197,Sweden,0.6629999999999999,2.003
198,Switzerland,1.112,2.114
199,Syria,,
200,Taiwan,,
201,Tajikistan,,
202,Tanzania,,
203,Thailand,,
204,Timor-Leste,,
205,Togo,,
206,Tonga,,
207,Trinidad and Tobago,,
208,Tunisia,-0.045,0.794
209,Turkey,,
210,Turkmenistan,,
211,Turks and Caicas Islands,,
212,Uganda,,
213,Ukraine,0.618,1.685
214,United Arab Emirates,,
215,United Kingdom,0.495,2.193
216,United States of America,,
217,Uruguay,,
218,Uzbekistan,,
219,Venezuela,,
220,Vietnam,,
221,Virgin Islands,,
222,Western Sahara,,
223,Yemen,,
224,Zambia,,
225,Zimbabwe,,
226,Åland,1.101,3.2880000000000003
227,Global Land,0.028999999999999998,1.073
