Country,Anomaly
Afghanistan,-0.379
Albania,-0.37
Algeria,-0.313
American Samoa,
Andorra,-0.479
Angola,-0.261
Anguilla,-0.455
Antarctica,
Antigua and Barbuda,-0.48100000000000004
Argentina,-0.491
Armenia,-0.37799999999999995
Aruba,-0.516
Australia,-0.239
Austria,-0.402
Azerbaijan,-0.40399999999999997
Bahamas,-0.376
Bahrain,-0.295
Bangladesh,-0.342
Barbados,-0.507
Belarus,-0.325
Belgium,-0.486
Belize,-0.604
Benin,-0.48200000000000004
Bhutan,-0.332
Bolivia,-0.511
Bosnia and Herzegovina,-0.337
Botswana,-0.409
Brazil,-0.4
British Virgin Islands,-0.457
Bulgaria,-0.373
Burkina Faso,-0.41200000000000003
Burundi,
Cambodia,-0.402
Cameroon,-0.49700000000000005
Canada,-0.478
Cape Verde,-0.38299999999999995
Cayman Islands,-0.473
Central African Republic,
Chad,
Chile,-0.502
China,-0.43
Colombia,-0.522
Comoros,-0.37
Congo,-0.474
Costa Rica,-0.531
Croatia,-0.361
Cuba,-0.465
Curaçao,-0.632
Cyprus,-0.444
Czechia,-0.49200000000000005
Côte d'Ivoire,-0.784
Dem. Rep. Congo,-0.359
Denmark,-0.386
Djibouti,-0.158
Dominica,-0.493
Dominican Republic,-0.451
Ecuador,
Egypt,-0.48200000000000004
El Salvador,-0.565
Equatorial Guinea,-0.508
Eritrea,-0.27899999999999997
Estonia,-0.304
eSwatini,-0.424
Ethiopia,-0.196
Falkland Islands (Islas Malvinas),-0.565
Faroe Islands,-0.529
Fiji,-0.45899999999999996
Finland,-0.41700000000000004
France,-0.488
French Guiana,-0.597
French Polynesia,-0.6559999999999999
French Southern and Antarctic Lands,
Gabon,-0.473
Gambia,-0.254
Georgia,-0.42
Germany,-0.478
Ghana,-0.489
Greece,-0.447
Greenland,-1.329
Grenada,-0.513
Guadeloupe,-0.46399999999999997
Guam,
Guatemala,-0.604
Guernsey,-0.46799999999999997
Guinea,-0.366
Guinea-Bissau,-0.303
Guyana,-0.539
Haiti,-0.43799999999999994
Heard Island and McDonald Islands,
Honduras,-0.544
Hong Kong,-0.7070000000000001
Hungary,-0.433
Iceland,-0.6609999999999999
India,-0.256
Indonesia,-0.541
Iran,-0.308
Iraq,-0.431
Ireland,-0.451
Isle of Man,-0.377
Israel,-0.47100000000000003
Italy,-0.369
Jamaica,-0.469
Japan,-0.637
Jersey,-0.46799999999999997
Jordan,-0.5
Kazakhstan,-0.5479999999999999
Kenya,
Kiribati,
Kuwait,-0.36
Kyrgyzstan,-0.556
Laos,-0.384
Latvia,-0.285
Lebanon,-0.45399999999999996
Lesotho,-0.507
Liberia,-0.435
Libya,-0.41
Liechtenstein,-0.377
Lithuania,-0.298
Luxembourg,-0.49
Macau,-0.7040000000000001
Macedonia,-0.38
Madagascar,-0.43799999999999994
Malawi,
Malaysia,-0.483
Mali,-0.33799999999999997
Malta,-0.281
Martinique,-0.47600000000000003
Mauritania,-0.228
Mauritius,-0.405
Mayotte,-0.46399999999999997
Mexico,-0.59
Micronesia,
Moldova,-0.364
Monaco,-0.45899999999999996
Mongolia,-0.355
Montenegro,-0.32899999999999996
Montserrat,-0.461
Morocco,-0.314
Mozambique,-0.444
Myanmar,-0.47200000000000003
Namibia,-0.34700000000000003
Nepal,-0.36
Netherlands,-0.485
New Caledonia,-0.522
New Zealand,-0.521
Nicaragua,-0.526
Niger,-0.413
Nigeria,-0.48200000000000004
Niue,-0.674
North Korea,-0.478
Northern Mariana Islands,
Norway,-0.382
Oman,-0.262
Pakistan,-0.311
Palau,
Palestina,-0.55
Panama,-0.507
Papua New Guinea,
Paraguay,-0.43200000000000005
Peru,
Philippines,-0.5660000000000001
Poland,-0.381
Portugal,-0.415
Puerto Rico,-0.48
Qatar,-0.276
Reunion,-0.54
Romania,-0.382
Russia,-0.20800000000000002
Rwanda,
Saint Barthélemy,-0.542
Saint Kitts and Nevis,-0.485
Saint Lucia,-0.511
Saint Martin,-0.455
Saint Pierre and Miquelon,-0.639
Saint Vincent and the Grenadines,-0.514
Samoa,
San Marino,-0.348
Sao Tome and Principe,-0.6409999999999999
Saudi Arabia,-0.369
Senegal,-0.252
Serbia,-0.45799999999999996
Seychelles,
Sierra Leone,-0.397
Singapore,-0.47
Sint Maarten,-0.455
Slovakia,-0.451
Slovenia,-0.361
Solomon Islands,
Somalia,-0.204
South Africa,-0.49700000000000005
South Georgia and the South Sandwich Isla,
South Korea,-0.544
Spain,-0.434
Sri Lanka,-0.11599999999999999
Sudan,-0.371
Suriname,-0.531
Svalbard and Jan Mayen,-0.527
Sweden,-0.345
Switzerland,-0.47700000000000004
Syria,-0.467
Taiwan,-0.6829999999999999
Tajikistan,-0.61
Tanzania,-0.34
Thailand,-0.376
Timor-Leste,-0.51
Togo,-0.501
Tonga,-0.429
Trinidad and Tobago,-0.508
Tunisia,-0.218
Turkey,-0.45399999999999996
Turkmenistan,-0.44
Turks and Caicas Islands,-0.41600000000000004
Uganda,
Ukraine,-0.387
United Arab Emirates,-0.262
United Kingdom,-0.452
United States of America,-0.499
Uruguay,-0.518
Uzbekistan,-0.491
Venezuela,-0.547
Vietnam,-0.408
Virgin Islands,-0.47700000000000004
Western Sahara,-0.251
Yemen,-0.231
Zambia,
Zimbabwe,-0.42200000000000004
Åland,-0.363
Global Land,-0.39399999999999996
