Country,Anomaly
Afghanistan,-0.151
Albania,0.379
Algeria,0.158
American Samoa,-0.044000000000000004
Andorra,0.185
Angola,-0.015
Anguilla,0.022000000000000002
Antarctica,-0.8540000000000001
Antigua and Barbuda,0.013000000000000001
Argentina,-0.025
Armenia,0.998
Aruba,0.10800000000000001
Australia,0.10800000000000001
Austria,-0.6659999999999999
Azerbaijan,1.001
Bahamas,-0.073
Bahrain,0.5529999999999999
Bangladesh,-0.308
Barbados,0.11599999999999999
Belarus,-0.081
Belgium,-0.875
Belize,-0.091
Benin,-0.244
Bhutan,-0.424
Bolivia,-0.214
Bosnia and Herzegovina,-0.17600000000000002
Botswana,0.243
Brazil,-0.131
British Virgin Islands,0.0
Bulgaria,0.48200000000000004
Burkina Faso,-0.233
Burundi,-0.278
Cambodia,-0.14
Cameroon,-0.19699999999999998
Canada,-0.107
Cape Verde,0.168
Cayman Islands,0.012
Central African Republic,-0.391
Chad,-0.41600000000000004
Chile,0.146
China,-0.158
Colombia,-0.049
Comoros,-0.094
Congo,0.004
Costa Rica,-0.16899999999999998
Croatia,-0.39299999999999996
Cuba,0.008
Curaçao,0.047
Cyprus,0.713
Czechia,-0.618
Côte d'Ivoire,-0.043
Dem. Rep. Congo,-0.121
Denmark,-0.6
Djibouti,-0.205
Dominica,0.08199999999999999
Dominican Republic,-0.017
Ecuador,-0.14400000000000002
Egypt,0.563
El Salvador,-0.331
Equatorial Guinea,-0.08900000000000001
Eritrea,-0.071
Estonia,-0.14300000000000002
eSwatini,0.33799999999999997
Ethiopia,-0.326
Falkland Islands (Islas Malvinas),0.439
Faroe Islands,-0.518
Fiji,-0.057999999999999996
Finland,-0.326
France,-0.307
French Guiana,0.06
French Polynesia,-0.145
French Southern and Antarctic Lands,-0.036000000000000004
Gabon,-0.09
Gambia,0.113
Georgia,1.185
Germany,-0.753
Ghana,-0.184
Greece,0.5579999999999999
Greenland,0.9329999999999999
Grenada,0.113
Guadeloupe,0.075
Guam,0.051
Guatemala,-0.19899999999999998
Guernsey,-0.556
Guinea,-0.111
Guinea-Bissau,-0.013000000000000001
Guyana,-0.10300000000000001
Haiti,-0.059000000000000004
Heard Island and McDonald Islands,-0.23199999999999998
Honduras,-0.198
Hong Kong,-0.019
Hungary,-0.406
Iceland,-0.182
India,-0.502
Indonesia,-0.121
Iran,0.29
Iraq,0.972
Ireland,-0.6709999999999999
Isle of Man,-0.7859999999999999
Israel,0.76
Italy,0.039
Jamaica,-0.10800000000000001
Japan,0.184
Jersey,-0.556
Jordan,0.914
Kazakhstan,1.274
Kenya,-0.272
Kiribati,-0.062
Kuwait,0.7090000000000001
Kyrgyzstan,0.182
Laos,-0.131
Latvia,-0.247
Lebanon,0.857
Lesotho,0.256
Liberia,-0.11900000000000001
Libya,0.172
Liechtenstein,-0.519
Lithuania,-0.385
Luxembourg,-0.8240000000000001
Macau,0.033
Macedonia,0.336
Madagascar,-0.046
Malawi,-0.165
Malaysia,-0.13699999999999998
Mali,-0.025
Malta,0.31
Martinique,0.084
Mauritania,0.273
Mauritius,-0.337
Mayotte,-0.016
Mexico,0.281
Micronesia,0.024
Moldova,0.376
Monaco,0.018000000000000002
Mongolia,-0.062
Montenegro,0.183
Montserrat,0.073
Morocco,0.424
Mozambique,-0.006999999999999999
Myanmar,-0.11199999999999999
Namibia,0.128
Nepal,-0.516
Netherlands,-0.89
New Caledonia,0.09699999999999999
New Zealand,0.608
Nicaragua,-0.196
Niger,-0.242
Nigeria,-0.256
Niue,-0.203
North Korea,-0.023
Northern Mariana Islands,0.028999999999999998
Norway,-0.79
Oman,0.11599999999999999
Pakistan,-0.222
Palau,-0.158
Palestina,0.341
Panama,-0.054000000000000006
Papua New Guinea,0.012
Paraguay,-0.621
Peru,-0.187
Philippines,-0.10800000000000001
Poland,-0.555
Portugal,0.429
Puerto Rico,-0.045
Qatar,0.457
Reunion,-0.252
Romania,0.19399999999999998
Russia,1.022
Rwanda,-0.196
Saint Barthélemy,-0.016
Saint Kitts and Nevis,0.013000000000000001
Saint Lucia,0.106
Saint Martin,0.022000000000000002
Saint Pierre and Miquelon,-0.133
Saint Vincent and the Grenadines,0.098
Samoa,-0.038
San Marino,-0.177
Sao Tome and Principe,-0.071
Saudi Arabia,0.466
Senegal,0.113
Serbia,0.032
Seychelles,-0.017
Sierra Leone,-0.11599999999999999
Singapore,-0.262
Sint Maarten,0.022000000000000002
Slovakia,-0.539
Slovenia,-0.611
Solomon Islands,0.065
Somalia,-0.185
South Africa,0.26
South Georgia and the South Sandwich Isla,0.364
South Korea,-0.067
Spain,0.41100000000000003
Sri Lanka,-0.111
Sudan,0.021
Suriname,-0.036000000000000004
Svalbard and Jan Mayen,-1.0979999999999999
Sweden,-0.705
Switzerland,-0.32899999999999996
Syria,1.0759999999999998
Taiwan,-0.17300000000000001
Tajikistan,-0.166
Tanzania,-0.174
Thailand,-0.10800000000000001
Timor-Leste,-0.011000000000000001
Togo,-0.196
Tonga,-0.15
Trinidad and Tobago,0.09699999999999999
Tunisia,0.187
Turkey,1.126
Turkmenistan,0.376
Turks and Caicas Islands,-0.141
Uganda,-0.33
Ukraine,0.45799999999999996
United Arab Emirates,0.34700000000000003
United Kingdom,-0.7340000000000001
United States of America,-0.019
Uruguay,-0.43700000000000006
Uzbekistan,0.49
Venezuela,-0.001
Vietnam,-0.171
Virgin Islands,-0.017
Western Sahara,0.445
Yemen,-0.057
Zambia,-0.165
Zimbabwe,0.214
Åland,-0.609
Global Land,0.025
