,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1848,5,-0.405,2.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1848,6,-0.924,1.907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1848,7,-0.211,2.077,-0.852,0.731,NaN,NaN,NaN,NaN,NaN,NaN
3,1848,8,-0.562,1.870,-0.822,0.763,NaN,NaN,NaN,NaN,NaN,NaN
4,1848,9,-1.369,1.971,-0.755,0.778,NaN,NaN,NaN,NaN,NaN,NaN
5,1848,10,-0.981,1.808,-0.789,0.777,NaN,NaN,NaN,NaN,NaN,NaN
6,1848,11,-0.769,1.893,-0.799,0.778,NaN,NaN,NaN,NaN,NaN,NaN
7,1848,12,-1.799,2.167,-0.811,0.779,NaN,NaN,NaN,NaN,NaN,NaN
8,1849,1,-0.158,2.006,-0.802,0.792,NaN,NaN,NaN,NaN,NaN,NaN
9,1849,2,-0.713,2.105,-0.776,0.812,NaN,NaN,NaN,NaN,NaN,NaN
10,1849,3,-0.468,2.099,-0.787,0.782,NaN,NaN,NaN,NaN,NaN,NaN
11,1849,4,-1.111,2.340,-0.759,0.798,NaN,NaN,NaN,NaN,NaN,NaN
12,1849,5,-0.523,1.867,-0.778,0.832,NaN,NaN,NaN,NaN,NaN,NaN
13,1849,6,-1.063,2.027,-0.772,0.774,NaN,NaN,NaN,NaN,NaN,NaN
14,1849,7,-0.103,2.050,-0.927,0.762,NaN,NaN,NaN,NaN,NaN,NaN
15,1849,8,-0.253,1.971,-0.907,0.762,NaN,NaN,NaN,NaN,NaN,NaN
16,1849,9,-1.506,1.864,-0.879,0.794,NaN,NaN,NaN,NaN,NaN,NaN
17,1849,10,-0.644,1.877,-0.887,0.851,NaN,NaN,NaN,NaN,NaN,NaN
18,1849,11,-0.993,2.477,-0.943,0.826,NaN,NaN,NaN,NaN,NaN,NaN
19,1849,12,-1.735,1.945,-0.946,0.846,NaN,NaN,NaN,NaN,NaN,NaN
