,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1791,5,-0.774,2.631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1791,6,-0.778,1.738,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1791,7,-0.421,1.461,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1791,8,0.437,1.811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1791,9,-0.182,1.890,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1791,10,-0.630,2.165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,1791,11,0.285,2.586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,1791,12,-0.175,2.434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,1792,1,-1.151,5.183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,1792,2,0.318,3.483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1792,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1792,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1792,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1792,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1792,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1792,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,1792,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1792,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,1792,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,1792,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,1793,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,1793,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,1793,3,0.006,2.229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,1793,4,0.261,2.937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,1793,5,-0.133,1.685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,1793,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,1793,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1793,8,-0.245,3.523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1793,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1793,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1793,11,-0.811,4.678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1793,12,-0.973,2.017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1794,1,0.277,3.077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1794,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1794,3,0.633,1.751,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1794,4,1.083,3.037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1794,5,0.659,2.180,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1794,6,-1.914,1.522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1794,7,-1.257,1.936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,1794,8,-0.294,2.003,0.022,0.917,NaN,NaN,NaN,NaN,NaN,NaN
40,1794,9,0.067,3.139,0.021,0.984,NaN,NaN,NaN,NaN,NaN,NaN
41,1794,10,0.209,1.501,0.008,0.997,NaN,NaN,NaN,NaN,NaN,NaN
42,1794,11,-0.230,1.698,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,1794,12,-0.568,1.956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,1795,1,0.894,2.014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,1795,2,0.985,2.741,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,1795,3,0.617,2.331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,1795,4,0.932,2.187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,1795,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,1795,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,1795,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,1795,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,1795,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,1795,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,1795,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,1795,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56,1796,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57,1796,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58,1796,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,1796,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,1796,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61,1796,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62,1796,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63,1796,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64,1796,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,1796,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66,1796,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
67,1796,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68,1797,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69,1797,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,1797,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71,1797,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
