,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1816,3,-0.396,2.421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1816,4,-1.302,3.038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1816,5,-0.397,1.950,-1.667,0.871,NaN,NaN,NaN,NaN,NaN,NaN
3,1816,6,-0.804,1.328,-1.618,0.901,NaN,NaN,NaN,NaN,NaN,NaN
4,1816,7,-1.963,1.806,-1.641,1.136,NaN,NaN,NaN,NaN,NaN,NaN
5,1816,8,-1.159,0.987,-1.432,1.123,NaN,NaN,NaN,NaN,NaN,NaN
6,1816,9,-2.274,1.426,-1.535,1.244,NaN,NaN,NaN,NaN,NaN,NaN
7,1816,10,-3.016,5.704,-1.447,1.233,NaN,NaN,NaN,NaN,NaN,NaN
8,1816,11,-2.453,6.777,-1.583,1.298,NaN,NaN,NaN,NaN,NaN,NaN
9,1816,12,-1.837,1.828,-1.709,1.290,NaN,NaN,NaN,NaN,NaN,NaN
10,1817,1,-0.736,4.544,-1.685,1.382,NaN,NaN,NaN,NaN,NaN,NaN
11,1817,2,-0.854,3.016,-1.666,1.355,NaN,NaN,NaN,NaN,NaN,NaN
12,1817,3,-1.628,2.641,-1.713,1.392,NaN,NaN,NaN,NaN,NaN,NaN
13,1817,4,-0.246,1.383,-1.648,1.174,NaN,NaN,NaN,NaN,NaN,NaN
14,1817,5,-2.022,1.793,-1.562,0.951,-1.488,0.522,NaN,NaN,NaN,NaN
15,1817,6,-2.319,1.841,-1.561,1.004,-1.556,0.524,NaN,NaN,NaN,NaN
16,1817,7,-1.678,1.405,-1.575,0.952,-1.604,0.516,NaN,NaN,NaN,NaN
17,1817,8,-0.933,1.548,-1.607,1.053,-1.632,0.598,NaN,NaN,NaN,NaN
18,1817,9,-2.831,1.918,-1.558,1.050,-1.617,0.590,NaN,NaN,NaN,NaN
19,1817,10,-2.238,2.730,-1.570,0.900,-1.600,0.605,NaN,NaN,NaN,NaN
20,1817,11,-1.425,2.291,-1.442,0.764,-1.593,0.596,NaN,NaN,NaN,NaN
21,1817,12,-1.820,3.419,-1.324,0.843,-1.566,0.601,NaN,NaN,NaN,NaN
22,1818,1,-0.909,2.927,-1.329,0.915,-1.573,0.619,NaN,NaN,NaN,NaN
23,1818,2,-1.235,1.974,-1.344,0.971,-1.582,0.617,NaN,NaN,NaN,NaN
24,1818,3,-1.038,2.073,-1.346,1.066,-1.588,0.603,NaN,NaN,NaN,NaN
25,1818,4,-0.394,5.894,-1.356,1.051,-1.582,0.569,NaN,NaN,NaN,NaN
26,1818,5,-0.487,3.507,-1.396,1.226,-1.571,0.573,NaN,NaN,NaN,NaN
27,1818,6,-0.901,4.197,-1.380,1.391,-1.561,0.568,NaN,NaN,NaN,NaN
28,1818,7,-1.741,2.451,-1.555,1.463,-1.556,0.564,NaN,NaN,NaN,NaN
29,1818,8,-1.106,1.917,-1.615,1.694,-1.487,0.576,-1.180,0.332,NaN,NaN
30,1818,9,-2.853,1.452,-1.620,1.270,-1.483,0.620,-1.197,0.333,NaN,NaN
31,1818,10,-2.361,2.731,-1.772,1.036,-1.464,0.599,-1.199,0.331,NaN,NaN
32,1818,11,-1.903,5.080,-1.847,0.978,-1.463,0.595,-1.215,0.333,NaN,NaN
